,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2145,1922,588,1846,1119,847,1445,592,1436,649,2427,159,1366,2208,2434,1372,1501,1371,1032,310,2277,546,2049,106,658,947,328,2028,839,2176,362,1729,2163,1272,1701,926,1739,688,811,83,2309,2334,711,447,1266,953,1567,651,452,1638
1,511,899,1887,571,77,1449,160,1351,1801,1056,1095,1270,2422,273,2490,2182,1630,1584,1427,1083,2090,1949,36,1335,23,1303,1158,2229,1885,593,560,869,714,1717,1252,1554,841,577,1830,2098,2485,1655,1409,2423,1452,1579,32,482,884,293
2,487,1759,802,2450,418,387,833,1760,1476,1446,50,1430,1448,111,699,933,2390,517,2437,595,2116,674,1031,162,93,1787,2175,1253,901,2140,465,146,1738,1113,1890,2255,1880,1804,2232,2482,887,501,1302,1005,991,1361,1529,1720,1839,625
3,132,1461,1906,824,1109,506,1244,439,1419,1700,1475,2354,1165,1121,1990,95,1087,1171,2052,2280,1269,1125,2005,1706,375,105,532,2218,81,1234,1516,832,1978,1805,2394,573,432,1443,976,220,587,1090,896,2201,1049,1658,1524,2500,1128,1543
4,1444,1556,524,483,2135,720,2133,1772,659,2199,1598,1585,744,1847,1733,1462,1615,789,557,151,873,1281,632,2374,405,177,62,1693,1950,1741,2204,805,369,1074,1685,575,2400,348,1617,507,1423,2018,2270,2207,349,289,904,1035,2372,1180
5,2420,1873,307,2336,1980,663,838,238,514,1418,1092,1221,618,584,2493,2287,1062,1671,1065,690,1017,1044,1304,366,1152,772,572,1469,2144,1051,148,1989,2126,65,1061,2268,734,1826,456,556,2146,2130,2329,137,1239,1122,1868,1137,1928,999
6,1600,1800,910,1824,2396,16,2224,918,2489,2074,1879,892,386,1979,1791,545,347,365,1363,2131,540,653,1891,1575,1486,1240,1736,1514,1468,648,2036,489,1819,153,1428,354,979,2008,115,700,2110,438,635,1007,989,2033,1271,1535,1456,290
7,2048,1933,1914,1198,972,1228,767,644,1605,211,1732,879,1258,1260,2316,190,636,174,662,2384,1493,624,1149,149,1425,19,41,85,1737,1991,2056,1749,1019,1984,2335,1996,250,1305,626,1682,2083,1055,1544,1530,948,497,2093,1569,1219,2261
8,2425,784,1929,530,252,1325,1505,2290,586,1333,288,2221,1955,1506,316,2386,1454,1633,1999,519,1609,1983,318,1362,2397,38,538,1657,2367,1250,2318,210,1360,2414,2274,398,413,1827,343,525,666,423,1288,1515,750,1498,218,1195,2125,10
9,1230,834,591,1646,2432,2223,1330,1586,1367,1956,2039,1390,1712,1307,2444,317,2412,1822,2253,202,187,1538,1029,590,1513,1243,596,656,2234,2451,74,2024,80,1763,1755,2245,422,2491,1855,766,42,1154,3,169,2216,232,1064,561,410,69
10,1187,1170,1287,1608,2121,2059,1957,1385,1669,1517,914,2418,605,503,7,518,2409,2231,2250,858,197,718,2002,2391,2435,800,2440,396,2301,774,130,1224,145,2108,1504,165,1110,1003,1156,541,2016,1782,1481,915,1603,203,61,1315,529,407
11,828,627,2050,189,1463,2371,1488,1963,214,2429,1403,1594,1328,908,1921,614,283,1402,1860,1861,2166,762,1740,2047,1217,2164,1747,1968,801,2150,894,861,695,494,2307,176,253,1322,2020,481,302,414,1388,1793,925,830,898,461,1129,1324
