,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,272,264,655,1735,1290,1912,736,975,567,1215,2370,2149,1508,827,1866,306,2012,994,1096,1528,1071,2120,1773,2058,1375,1069,516,327,1146,390,1915,2086,488,2345,344,1111,622,1124,484,2424,1716,338,650,2109,1650,1751,1043,490,2069,1644
1,2010,2368,92,1326,876,2260,388,1578,669,1725,474,2428,1383,419,1139,1719,475,48,2328,1344,1015,508,2263,89,1151,1679,505,880,1898,2159,2284,1251,1150,964,2066,2195,612,628,1235,1591,1490,1649,1274,1707,1131,116,479,215,2152,1140
2,1833,1582,848,2178,2405,1238,831,68,1881,168,1841,938,1911,550,684,2115,2111,1308,2293,851,329,803,843,2305,770,952,129,1724,284,735,2464,1727,1176,2057,759,1932,5,341,1625,2462,1011,1704,404,1148,2148,819,134,2105,971,1025
3,1123,1347,1628,1368,907,1397,196,2406,1845,2067,646,117,1437,1526,1973,2278,2038,708,1358,966,647,795,257,1853,1226,2455,1190,1969,1897,322,1186,1774,2459,821,292,1563,1718,780,531,1439,1353,1477,223,804,1453,1807,266,445,63,2129
4,874,59,287,1961,1415,1497,2043,1310,224,330,2099,2421,300,1975,1286,471,712,794,2298,1034,829,916,2291,458,440,2303,1193,412,1588,581,1392,778,1381,1052,1858,937,1510,2259,1643,1332,1977,616,633,2051,2403,2385,1254,917,670,1076
5,1457,2275,2325,2,1399,2351,51,2355,1962,2492,566,1340,2254,536,733,56,30,1233,1653,816,1656,535,15,1133,246,1153,1551,2189,1502,1820,722,1485,939,2349,1886,842,923,1002,985,2317,498,1642,395,1009,1022,1981,1511,44,940,2347
6,1806,2383,2470,872,361,1496,1904,26,1893,2168,45,2210,2419,1200,893,974,1936,1097,52,1047,1568,100,1012,107,1037,1613,417,429,1070,719,1103,1207,1220,1837,2147,1460,1875,374,2167,1406,2205,677,1781,1848,1291,82,1542,932,788,1259
7,507,805,789,2135,1585,2204,1950,2372,2133,349,1615,2400,1281,1617,2207,2018,177,1685,289,524,1741,1733,1693,744,2270,1556,348,405,369,483,1462,1074,659,904,720,151,575,557,1444,1772,1847,632,62,1180,1423,873,1035,1598,2199,2374
8,541,1224,2231,2121,2418,130,2301,529,1957,1603,2409,1110,718,1156,915,1782,800,1504,203,1287,774,7,396,605,1481,1170,1003,2435,145,1608,518,2108,1669,61,2059,858,165,2250,1187,1385,503,2002,2440,407,2016,197,1315,914,1517,2391
9,525,210,1633,252,2221,2318,2367,2125,1505,750,1454,413,1983,343,1515,423,38,2274,1498,1929,1250,316,1657,1955,1288,784,1827,2397,1360,530,2386,2414,586,218,1325,519,398,1999,2425,2290,1506,318,538,10,666,1609,1195,288,1333,1362
