,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,300,1650,6312,4140,4247,2943,4703,3861,1243,3238,6158,735,2204,2860,3288,6140,1852,3508,6252,5101,4900,6299,3131,3427,3004,422,2901,3001,247,2519,4883,4501,2589,1133,5794,5854,1260,5646,1034,3730,2452,4931,797,1481,1909,5781,2711,2717,3482,6310,364,949,3921,3556,2261,5601,981,3358,6314,603,1941,5281,3964,738,6101,4511,2704,4161,3985,4228,354,5900,2543,1340,2178,1749,3667,1407,181,1618
1,1768,3699,2808,4195,2766,4299,3203,533,5436,2081,1932,2640,2525,4563,2864,378,6390,4810,823,3098,6085,185,5992,4674,685,1818,1359,1919,5658,169,4936,6131,3303,5978,2620,5842,3265,860,5318,423,3966,2938,3503,5018,546,6306,139,74,5957,4378,468,3563,1617,6360,2395,3818,4965,4901,570,5684,1477,1456,1338,6262,326,4263,4208,1244,6343,447,6356,4583,4747,270,3953,1383,5116,2199,237,4635
2,2814,510,19,1806,6174,2233,3955,5664,6146,3423,6309,2181,3491,4985,5068,1494,5846,1717,127,6395,6318,535,2000,4851,3600,2794,2806,5265,2713,2257,6166,4797,5091,4614,2683,1515,5178,2648,5006,4188,3483,208,2928,2578,496,4995,2549,5546,2416,4349,2516,2336,1419,836,4295,1594,5056,4448,2882,3857,3760,1353,4415,3735,2560,4802,268,3135,255,2523,4712,477,3295,2407,2834,3385,886,33,4984,2052
3,3595,5043,5045,4405,3057,3185,1989,4156,391,2229,6002,5214,123,4450,4637,1570,528,5348,952,3750,5537,4088,684,1292,3164,1554,2124,1823,3226,1725,2665,3193,1543,173,5156,5844,5171,1616,5228,1195,3354,1240,2437,1417,5619,2127,4848,4775,5256,2857,2059,1093,3524,245,967,5739,1600,2972,6067,4838,5229,4910,412,3678,1225,2304,4216,2789,3881,4758,2476,5741,3420,1376,2449,3028,1330,5819,5161,6134
4,2263,4440,787,2384,799,4233,4521,1483,4272,1661,6398,2606,4221,4269,498,4937,2312,3109,2632,833,3838,4122,6263,3112,4692,2043,1913,1258,2751,15,4234,23,4458,4684,5479,890,4064,4666,4772,3308,458,2183,5805,4755,4023,987,938,1099,307,3609,2027,2061,720,2459,2208,5201,1739,3601,5013,1701,4781,5773,2870,5578,3170,5822,2310,2738,6391,5898,3941,2264,6120,2245,5127,2143,1979,1790,4608,4355
5,1332,6305,4029,2145,3842,2996,4389,4709,3845,3656,4092,3545,2011,916,5676,4277,6005,3032,4870,2854,6105,1113,4595,1365,1045,3793,556,6316,5590,885,6048,2645,2852,1179,1322,2966,6082,1902,6156,5639,5683,2699,5263,5937,1323,4845,716,3258,1759,1019,4565,3526,606,3662,99,1607,2021,1516,4045,1676,2422,1597,2356,3890,3756,5266,544,6050,867,5815,2140,591,4885,4085,4207,3049,908,201,1685,3221
6,6297,2193,1942,2018,3025,5710,1177,5541,4341,2206,5443,254,516,1799,2672,4622,133,2779,1629,2840,5308,5735,126,5290,2022,969,5419,4119,1788,4698,3283,581,3426,3186,5358,5409,4844,2868,1992,5888,6164,3778,2435,6013,1184,2117,4765,532,3770,5273,5749,1667,2401,4928,5272,379,3535,5493,12,5378,6324,1455,2820,874,5027,3612,1119,6347,1293,3191,709,649,1886,4664,530,4808,2132,4094,1425,2790
7,4792,5187,6097,3679,5299,1123,785,1560,3759,3369,1833,3231,3496,3870,3580,5202,2872,3281,515,1757,4086,3172,941,6162,1662,4569,1658,3326,4136,2279,3204,5519,3950,1433,4976,3321,2226,4645,4334,5418,918,1101,3922,1762,269,2080,2970,3741,5023,2974,3438,261,937,2479,5629,3514,3220,4562,5497,5002,4044,5232,2088,4815,2573,1648,5932,2628,4063,688,4676,1860,1940,6159,1061,1972,1026,202,6052,1778
8,6160,5515,4239,3843,1193,324,1988,4035,3464,4057,5167,5321,1586,2084,750,2514,1399,3924,3641,1122,5576,1252,1885,1610,4288,488,3727,6258,3868,2604,2676,1995,1722,5408,5550,2911,4132,5371,3871,2795,1863,5779,4600,5350,5250,1158,5397,6021,4759,555,1091,4377,780,190,4046,273,1283,2288,826,4316,3505,1238,3755,2682,4891,600,5874,5349,656,6113,2856,5586,1092,2774,2804,2595,5449,2190,5019,497
9,1507,897,175,2460,2627,2542,5238,4058,4673,1167,1784,5626,6261,1324,4368,2529,3498,1262,5447,5372,2083,1358,5695,4539,6074,620,2340,5853,2478,5279,92,5679,2316,3982,1643,4727,431,887,5905,1189,2281,6368,1581,3224,638,6302,821,1222,5915,3945,4865,1497,282,6221,4555,5902,3963,472,5549,2272,3635,3685,3102,1008,1922,2322,1459,820,4687,5650,1827,3585,1183,3949,5979,625,4819,3294,5680,2949
