,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,4840,1752,1522,5093,4881,121,5956,2969,2321,5534,4134,1859,1436,2383,5934,2028,1462,1000,1203,1514,5000,5081,1973,1345,1678,956,5687,5523,5877,5907,566,3293,16,4362,3718,360,1241,3161,788,3954,3911,6041,1967,5788,1067,3832,5428,2227,1776,4000,601,4572,2600,3458,5960,2535,2346,1160,2105,2891,319,2710,3713,5472,1480,5035,1520,6099,3215,5004,5401,5320,5561,1105,4721,3643,2967,5861,3977,224
1,3431,598,1955,1171,4570,4770,5558,3072,1053,5079,3533,1720,1402,3943,5961,892,1959,3965,4503,6087,616,3712,3450,298,3222,3642,5369,3490,1216,3884,872,6295,5657,404,6319,4517,4399,2023,5849,1837,3539,4516,957,5203,1944,1253,24,3902,2353,6304,983,2957,1990,3352,503,164,3680,4813,4467,1534,2496,3445,1058,4624,6311,6228,3914,4557,456,5638,2593,2536,4404,1295,3042,4724,1857,2389,4176,3566
2,3822,3888,2070,2610,6293,3619,2725,1151,4144,5988,4306,4789,2971,5434,4913,4037,3959,5310,3264,2550,5461,2291,4735,2858,3154,205,6060,4245,1378,838,2239,5895,1337,2799,1774,2580,6267,2636,6211,2337,1871,4575,6381,4947,2765,4005,3408,3827,3698,2469,4070,66,1401,63,6375,1686,775,4779,3932,3440,3518,2253,1623,859,1846,6009,5507,105,147,511,106,2558,2823,2629,1832,3627,2625,1808,5564,2414
3,3549,3094,2839,6168,28,5119,6183,2481,1266,1958,2385,4767,1953,800,5617,5454,6385,4847,5671,4668,1589,1593,3665,4173,1488,5871,5154,5726,6344,2892,376,56,5200,5196,1427,5453,828,4617,3517,830,4835,769,4038,449,2398,3084,6359,972,82,1851,3176,2270,2463,1937,578,4421,911,2903,4585,3796,1,3179,4111,6260,2342,4923,6382,1531,2411,2349,463,2345,265,4317,5894,2708,1887,5141,5160,1267
4,675,904,1021,3240,4567,755,3346,5294,3435,1001,5038,2386,83,1555,4392,6022,5940,5953,1127,4388,2387,3637,6100,2137,3908,877,5357,4369,5632,2770,6313,1546,2184,5293,1741,4993,3074,1564,1756,2740,1829,2861,2900,310,5140,3693,3461,5474,4694,5075,3806,77,1470,277,3844,500,3734,3181,4159,6340,3984,5743,5807,2300,2915,5777,2597,4718,4141,5581,4493,3700,122,395,1104,380,2396,2667,1074,3821
5,4627,3751,5837,557,4244,6264,4884,2936,3455,3877,2164,595,1197,6286,884,770,212,717,5422,1265,4278,4681,6059,5204,2408,5346,4452,2036,5338,3604,2812,2004,1168,1963,3752,2492,3124,991,4209,5033,1386,3467,521,287,5630,2734,583,1348,1364,1844,1733,4680,4121,5997,730,3578,2243,2329,5335,5511,2120,5724,2157,3142,1204,5026,636,1361,4768,2392,4717,2813,3350,6004,2445,5986,5669,3967,723,5517
6,4348,678,4992,1362,5184,6043,2409,6125,6198,1740,5916,876,38,1037,3703,1777,3466,4509,3733,708,6240,5884,1318,2951,5848,796,1049,140,2101,5375,707,4642,5798,446,5258,85,2382,5995,2703,1689,337,763,3149,3863,6157,3894,4068,5948,4719,1094,645,5255,5887,5413,213,1654,4443,2363,4588,1930,1898,1085,4978,6384,5482,6088,1403,163,2696,320,2553,5723,3773,5941,252,1363,5627,2826,2191,2662
7,3474,5760,3480,4242,1599,2314,4371,1960,1169,1186,5622,4215,6251,5552,1873,4829,5778,229,5410,2012,1969,6232,3729,2242,725,4213,11,1502,2358,4049,6172,5072,2125,630,1982,4532,3792,3409,2210,2659,3207,275,3089,4008,2222,4033,3012,2756,6129,4168,40,4426,6289,2661,3190,2015,1840,3406,4314,3497,5169,5809,5365,1009,1994,4039,6248,2482,3091,2709,3936,112,1518,69,5274,1405,2248,5459,369,2219
8,3987,6377,4020,1468,850,907,1698,3099,2594,5289,3705,390,4872,6358,4028,653,6116,396,4297,4256,2885,3275,3853,1649,5704,2381,3239,5782,2641,719,4879,231,3064,3695,728,1879,4246,922,4322,4099,1866,1684,3934,5728,46,1280,5950,3689,3439,5292,240,193,4836,3158,2289,5771,3487,2964,1802,1498,5599,330,2403,2511,6208,2470,2305,1917,4390,5047,2450,2207,5761,5920,931,2959,4142,5420,2791,5580
9,4778,4678,3546,2884,1079,1562,4175,3197,5126,3988,4892,2104,5212,4791,3302,4849,1727,3256,3764,4999,3125,136,3086,2029,6104,3664,89,1461,609,3041,5642,4258,841,721,1435,5359,2461,5847,727,2361,2371,5049,795,3919,6259,4958,2486,2693,4905,4651,840,2561,5017,1442,1355,822,2475,5608,3290,1217,485,2994,875,2615,2764,761,4994,3129,4520,6265,5104,4201,2367,4525,4771,2053,1728,2556,3728,5987
