,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,1410,44,1400,4412,190,4031,3679,982,4570,1907,429,3655,352,1043,3052,2090,4842,4512,1210,557,2683,243,4089,3351,335,4625,2256,86,2084,1570,2614,3628,1018,2772,331,3150,4590,2766,3799,4043,3264,2487,9,3492,4757,332,4519,4235,3029,3483,3183,2099,2915,1720,2837,2338,2567,745,3363,205,3231,3896,3069,878,1872,3591,4442,2953,345,1279
1,3813,4329,3,4469,2303,2352,3704,2677,350,2402,1876,3079,286,2771,3138,2307,1295,2826,1520,4257,4837,3166,2548,1450,798,181,3870,1780,564,1953,1697,2560,3638,3543,378,356,1699,4278,573,3858,3111,4689,490,1778,4003,3336,4119,3296,2605,1199,1176,3838,3646,4612,3278,638,2740,327,3092,399,1478,1234,3699,4838,2438,3874,2100,1891,1766,2361
2,2494,1593,2329,3290,1936,3668,1240,1781,182,984,1213,771,2007,4708,2453,3034,1439,4271,2641,817,1712,3207,1190,4190,3422,3057,1445,770,1020,4009,3449,4836,2424,1405,258,4024,385,1767,3863,780,4308,4868,2980,3223,874,4397,3409,558,488,468,2519,3802,3308,1502,4464,339,3151,2481,904,4130,4090,685,4550,3710,4264,351,3160,4047,1694,2747
3,838,3436,1094,1261,122,1073,2349,3564,2960,3408,3563,1814,1330,747,198,2926,113,2374,3601,1219,3688,4797,1991,2308,2435,3192,186,3642,2992,1980,1522,491,3725,2139,2917,2801,822,1973,2466,1735,2623,2491,2032,2847,4847,4774,3530,2337,2357,3814,3478,4663,4149,1398,4875,4413,1138,2663,3441,3589,3287,2569,1025,1122,1879,2264,2165,2637,2648,688
4,1012,3184,1491,3013,3305,4116,837,2842,3924,4459,2043,2372,4826,2430,3191,2582,1898,3868,2872,4152,1566,451,2849,2601,4153,2381,4045,945,1701,3048,4490,2692,517,1091,701,4640,1141,3975,4481,614,3272,1203,1158,3339,3155,4819,2035,288,1188,2607,4487,3417,3273,2289,4170,340,1725,1220,2775,819,2354,285,314,1546,1765,2812,1870,4827,1076,608
5,3991,1301,2310,3472,4326,4605,1440,1304,1364,1446,2807,2630,4752,321,2694,3546,2558,2893,1507,3401,515,1369,4,50,3578,3217,4488,4416,2514,3200,236,3831,924,3003,3248,4710,2718,995,2148,649,1072,1482,3746,3987,698,795,2947,769,3090,3035,3194,4855,1024,940,4088,2258,30,2004,1142,1105,2762,2618,4830,4335,3852,3586,4028,367,4372,43
6,2103,2431,4778,2204,3791,1086,1492,4363,1896,2268,4061,3760,2048,430,238,2533,1971,3526,535,1407,3465,3682,3319,4049,678,1052,4111,661,2967,2735,1921,2653,1786,4070,2962,2332,3571,4428,2154,1777,1269,1727,4059,1496,2783,2324,3984,3033,867,2585,1716,2376,1639,3505,4790,1108,3925,1564,2914,3993,3391,2118,157,1775,1559,1511,465,1747,4526,1335
7,1573,1078,1927,4780,2097,4040,90,2382,1144,376,2459,184,1798,4627,2027,836,2174,4112,1121,4669,543,4018,1847,4035,2351,203,3979,3511,4250,774,4417,1863,1106,3316,2959,3545,4699,2145,1845,175,533,863,3139,783,4783,4345,4504,4411,4805,3948,1237,3797,2796,1695,2717,4330,495,3983,1719,185,2981,123,1092,1856,3400,1865,977,3931,3738,1429
8,2490,492,4638,1933,1944,3256,900,1034,2672,956,4714,3967,3501,3548,3969,3420,4505,4608,1291,1406,3555,3211,3108,3709,2944,3774,853,3834,2994,514,683,2552,358,2426,1370,250,4311,815,4080,670,4399,275,720,609,1198,4309,1939,669,1914,3178,3451,4279,2210,1290,3242,3803,971,1415,3110,4141,2941,3410,4740,2362,460,666,2819,1788,2082,1890
9,4158,368,4802,4681,2896,3134,3648,1009,2020,1132,442,4242,3691,322,615,3136,2143,1868,4251,664,1768,801,2026,1124,2126,3494,3822,4038,320,4859,1126,869,4462,2899,2384,3049,537,1432,2530,4225,4517,4159,595,2064,3801,3605,840,202,2643,2841,1186,2128,2257,3320,602,677,1412,4662,2647,2414,4483,328,4105,3179,1477,3311,2982,234,4622,3129
