,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,5373,4212,740,438,4738,4757,4475,992,5422,3025,6118,4080,3949,4293,3508,4945,2182,4155,4072,37,2519,4178,3476,3654,2984,1792,5190,1695,6054,3832,6236,1868,48,6029,5513,6085,3383,6271,413,3419,508,3300,1328,304,6167,2312,4355,2195,34,40,2694,1691,2993,2743,6332,1580,5140,1266,290,5504,591,1573,3416,4009,4219,1639,150,4501,321,3616,5715,2678,2481,3502,6002,5752,685,3214,2248,2802
1,1653,3902,5085,5653,35,1806,3047,5710,5533,1360,4064,5416,5505,5878,5320,879,5010,4836,3427,3191,1789,3117,5330,6349,3519,4620,4005,807,3511,170,1147,1801,1382,373,5304,1228,1381,6147,2840,5705,633,251,657,4924,1383,1180,1044,6387,3745,4156,3992,3158,5418,704,474,228,4174,5992,142,1380,548,1927,6369,4916,1413,2671,5663,31,2764,4102,4815,4830,2063,3142,5959,3851,2727,806,5997,3589
2,3007,2224,2921,4417,3446,988,1025,6096,4689,1659,517,2533,3816,2432,1159,2930,3093,3713,1838,4106,2048,1546,4426,3318,3195,4616,2610,189,3607,5024,1321,5802,5590,5471,4383,3883,5234,2928,1355,4576,6015,5686,4435,5927,1956,1708,1501,2412,6255,4606,978,4915,835,1977,1378,4773,4741,3472,6170,3155,2368,70,2153,5412,2281,4320,5146,403,5490,4229,2045,2015,3250,2958,2546,427,1711,531,5714,2345
3,1966,2973,4498,6383,3463,340,4504,146,1827,198,829,1338,5536,3385,3031,1452,1441,4449,3408,6322,5378,1361,604,4033,1464,4253,5161,5883,5113,476,1077,955,3255,1511,6079,3891,530,3670,247,4811,4790,2407,5923,104,6222,6331,2411,1437,2004,3878,3005,3984,108,1141,5251,511,3578,4348,773,3483,5678,4324,1814,5783,3294,635,4258,4336,4619,1889,4299,5426,5662,1779,6333,117,4340,4290,3431,4803
4,3246,2453,5116,999,2995,5474,1053,587,576,5863,5064,2429,4459,1790,1533,3889,2702,1009,4113,4284,3398,6307,2662,5342,1216,2462,5489,3639,4580,4604,6396,6156,4538,3004,707,676,5443,4557,5346,3848,3059,1126,2604,2284,1140,1568,5995,5702,2393,320,1400,3092,9,4121,1254,3228,3006,3652,3994,4160,5417,4742,1012,929,3168,5951,1095,1224,3163,6176,2579,1,2144,3460,1528,2339,5495,2838,2701,5967
5,4171,3615,4936,3723,102,5908,1197,4438,5121,2444,4578,5291,2100,823,5860,970,5341,4199,2553,1162,1656,6264,2322,2945,1601,77,2548,1466,5726,343,3510,3964,639,4868,1004,5423,4510,2434,4798,1953,3368,2285,3844,2530,2246,947,1314,4895,4570,459,5868,2443,3338,4710,2654,1427,1900,1235,3050,1131,1793,5366,6,5129,2606,5586,5825,5278,3361,1565,6091,5950,18,4894,4515,2300,4052,3424,1252,6232
6,4524,1449,5115,3541,3627,206,4331,1184,5572,5916,1423,2329,3070,4176,5201,1872,6060,3256,1758,584,5029,4145,2801,3991,433,4409,6279,2337,4814,3149,351,6301,5659,1916,2139,603,4097,2199,2264,4863,2394,2705,226,1081,4809,5358,1287,5293,2836,1669,2483,1876,3420,2273,91,4271,5185,3426,4880,4736,4789,4525,2999,1155,4636,450,3877,3189,5577,1342,2335,2143,5728,1028,3906,2632,5596,3855,614,2392
7,3447,4227,794,1886,1607,6174,4241,2537,3716,3527,5127,6191,3295,2051,5847,2046,1275,6302,2324,839,482,4280,4415,43,6375,5037,374,4572,3515,977,2378,2249,907,3700,3201,6393,1816,177,4630,500,1930,478,689,6135,1196,5436,3475,2863,3444,2912,1658,5014,5788,5707,4328,4016,1006,4266,260,2967,1393,728,6378,4307,5673,3734,3455,5374,1849,5369,3595,5898,182,395,6326,2331,5978,1114,4135,784
8,2347,4724,792,1122,169,168,6314,1931,6020,3888,2881,809,2745,1324,3245,295,3856,5838,3846,3487,6104,4429,4041,453,4561,5419,6201,4270,1614,4384,715,4309,3120,3260,4956,4234,6192,3826,3684,3537,5414,2824,5939,5784,5290,6043,2947,1468,5538,2761,1049,3967,1234,753,2968,1891,1333,1104,1936,5718,2282,4938,2043,176,241,5498,2162,4396,269,6123,1482,258,6051,4303,1906,2611,1686,1645,3204,3695
9,5703,3929,2614,3865,2474,6365,2859,1739,1815,1170,3282,2207,3122,2338,4075,2865,3634,5828,3471,1850,3056,6046,5867,4719,2173,712,2177,6040,1434,4153,2793,3648,770,2237,3717,5461,1830,539,1052,6127,5042,3035,2570,3685,3705,5708,3910,5095,1271,3072,4359,2646,5321,3915,4658,2067,1947,5405,4980,3933,6348,4074,1288,916,5206,2241,4602,702,2616,3926,2295,526,2050,4093,1302,1108,2053,1274,174,3166
