,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,1453,273,788,2712,558,2887,2649,3115,5596,1706,409,402,3132,5259,5425,1212,4267,6106,2811,2777,3461,4028,201,1518,2772,4486,2045,739,3260,3044,3422,3264,1598,4315,4428,167,1089,4357,6051,3248,3329,5535,6017,5188,5742,2638,4870,5737,3198,4836,5013,3205,3694,5137,5055,819,5120,1923,3492,5315,2458,5139,1160,121,894,3061,5324,5157,1493,3184,4021,1048,3949,2559,5646,1694,4840,2430,4953,16
1,2896,3231,5890,2589,2653,4611,1576,4491,5481,2222,2680,3474,4538,2144,3277,4527,205,392,4707,5675,2762,4738,1128,4153,3969,3780,2747,6146,3324,4733,4831,4563,3267,2677,5100,4928,5532,2293,2891,3594,3701,5541,5565,1369,4304,3595,4171,2661,2519,5728,4119,4912,499,106,650,1990,3080,3637,6132,1005,328,4536,1286,4921,44,1209,3244,681,1695,5564,2341,1667,1400,1367,4601,1818,2352,4384,611,2292
2,6139,1558,2542,2364,966,1108,4575,617,3681,4407,3109,5376,5963,4498,4854,5509,3091,4667,5226,2734,1603,1711,472,4649,4189,963,5051,5599,2393,559,5556,4406,1597,171,6138,2504,4531,1532,1762,3540,3164,102,6053,4812,5885,5895,1941,3214,319,2163,1201,5636,2866,296,2004,5130,1841,3951,2899,5173,2984,4499,2342,4037,5108,1441,2391,3280,350,2450,2999,3341,6147,2588,5569,1345,899,4137,336,3342
3,1840,3883,5592,2206,3174,1960,4525,1860,5001,466,6091,2727,3785,5273,6327,3710,445,83,3529,659,5209,5607,5129,5880,4478,4858,2181,1401,2678,3504,310,3634,3262,2451,2300,6130,2439,5121,4566,3142,1687,4926,3661,6298,1231,1416,2901,3928,5122,3303,308,2764,5672,4513,1805,4229,5214,954,4184,2043,4797,4534,1945,401,2435,4034,138,2500,6093,4451,116,3015,3923,856,5292,313,1795,4607,734,486
4,3107,379,3241,5241,562,5143,3147,3939,3272,2185,1835,294,5478,4295,3213,4702,2776,4258,6316,3360,6240,1872,5246,2192,1104,1131,4712,271,3326,550,1110,3500,2359,1440,2997,3446,3361,2937,1247,645,3734,748,5083,2800,1949,183,6046,3391,4732,5112,2245,6277,5555,924,1381,5359,2242,4393,1226,1780,3160,4160,6228,5975,1874,2973,2383,3531,5608,5213,208,4161,3665,2972,5825,3488,42,3129,3885,5971
5,3554,4570,1188,825,1182,3898,5435,2687,4490,4471,2037,1951,4533,4409,5550,4191,2079,483,2930,1842,2966,2270,5454,331,1653,2470,2485,4081,6359,40,1718,4323,498,5915,642,156,1732,2327,1468,2337,1578,5397,1035,3337,2119,5518,534,6265,5321,1446,2153,1181,2468,3416,5632,5367,6262,575,3266,4003,3718,2432,6342,5128,5711,4883,4678,5181,2672,1055,4418,5446,691,3841,5375,1215,1643,4429,5853,2926
6,3166,6363,2266,1238,2716,4204,839,959,1545,5928,1370,2794,412,1599,4750,3472,1974,1287,2595,6144,3728,3103,5573,5351,1954,2568,5730,3296,5242,6193,3402,1037,6001,3055,1824,774,5347,3027,3323,1765,343,5014,406,209,1712,6088,5621,191,1509,4225,1626,2400,2765,2729,4656,2756,1217,4002,5407,1541,4194,3758,3144,5127,1975,783,4880,1867,1152,2954,3309,1404,4769,4399,1790,5580,6237,5995,5244,5148
7,2480,1734,1681,6357,5380,2343,756,5865,4454,5775,808,5717,1394,3136,1155,4914,3636,1720,978,5814,3884,1912,237,4743,5288,2767,5125,5937,627,5072,468,5436,564,619,3448,762,5313,3887,2876,1918,6286,3770,432,5428,3024,4669,2429,5401,4185,2498,2398,231,5939,5474,1528,4888,168,2894,5788,250,2992,357,1816,5756,3919,1087,2679,5831,6142,2684,6171,2013,5017,906,2402,1105,3886,1755,2370,2492
8,4015,4571,4630,2795,27,3538,1648,5455,320,717,1172,351,1929,4324,1214,5729,1972,3414,6131,3566,4965,416,5366,721,3828,1827,4751,4146,5159,451,1611,6024,1601,3271,2121,5323,3751,938,4950,2002,4963,1942,838,1374,952,784,1039,4208,4244,2619,6361,3954,2488,186,2506,3890,2839,1745,5394,4726,5142,5439,4236,4101,2183,1437,2520,5054,6160,2713,4346,1537,6154,3967,236,5597,5102,1007,6392,4925
9,4504,680,4905,1666,4779,1971,3523,1280,2507,3400,5442,4279,3310,4164,6049,1637,3912,5030,317,5526,3298,3078,4657,2094,2702,2304,2019,5616,1107,2650,3169,918,2294,1406,5786,5534,2904,5990,2855,3315,2820,4047,4876,4260,3455,315,2273,4524,5917,169,2058,3768,4603,1445,180,6006,6148,73,5758,323,6315,3239,5810,4176,1340,98,5105,758,4646,4819,852,2943,5536,361,876,4544,3090,695,1091,4151
