,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,688,1187,953,180,1001,200,1539,889,1261,463,901,1106,476,695,717,20,272,453,694,445,574,1566,1532,1133,578,1386,1441,317,1116,1450,335,649,714,1501,743,273,253,832,1311,176
1,1561,197,562,1499,647,865,1358,1350,715,380,1037,1250,1094,1251,154,867,333,522,1407,910,604,874,722,1277,1058,53,762,941,1246,992,1464,110,164,216,1209,385,245,625,383,731
2,1083,215,908,1406,1137,827,1304,530,545,346,389,1069,509,455,355,1598,248,623,85,33,1198,1404,515,542,432,409,1417,1179,1514,232,792,642,1373,1300,761,1118,454,1362,1272,439
3,863,1105,1245,641,212,142,252,16,294,1140,1550,772,950,1015,1142,73,1429,1353,654,436,233,1324,684,1471,739,839,1222,1521,1438,784,4,144,1344,619,1540,748,137,946,14,985
4,413,1099,1147,811,451,1183,1390,511,1008,1314,984,698,926,51,217,896,1095,1129,1214,1329,22,613,1430,1508,1130,124,208,1426,749,681,1518,58,1115,318,1276,45,254,287,156,1236
5,263,360,1462,921,468,815,68,1414,1567,907,892,7,948,962,427,1101,223,516,1237,862,682,152,579,885,1234,809,1165,1202,974,1185,940,48,1176,1038,1019,930,890,595,1016,81
6,1515,1466,922,1240,206,1287,837,178,1053,234,297,1178,1109,936,1063,82,1400,13,153,399,621,489,602,744,945,919,968,543,1425,1174,400,656,1571,774,587,422,1385,1316,210,701
7,661,1161,2,870,1587,1559,1511,229,1484,797,1273,1494,1482,1040,846,1066,1352,127,236,270,923,464,721,190,1126,944,1217,43,292,622,344,556,1336,786,764,624,106,412,75,1428
8,608,639,1113,589,708,1005,269,1134,1233,1490,699,1485,1082,70,1000,1389,1124,988,163,241,775,485,709,567,1048,433,664,418,1463,693,458,1224,813,173,1279,1368,381,1323,689,28
9,450,415,937,1201,831,371,801,361,281,873,1269,213,990,548,1175,426,6,814,931,979,1405,1228,1189,348,796,860,1510,658,651,575,1281,1581,457,293,1158,247,747,1512,1597,55
10,1549,331,1157,998,577,313,80,1427,181,1074,1073,1152,854,442,1322,1093,465,794,645,1170,1098,103,290,9,1031,555,1596,21,964,1160,593,1087,231,1162,607,605,1507,490,1364,850
11,612,876,1248,1543,1103,1379,1076,480,228,470,341,298,97,1572,15,897,284,1431,291,161,319,1028,1310,1392,700,983,304,1480,1145,1413,395,1307,143,829,166,488,891,1579,193,1553
12,86,726,134,1194,705,615,194,1313,1449,201,1032,1483,977,657,912,1565,1024,1533,600,1143,330,130,1331,531,1525,479,1260,165,148,702,301,524,932,539,551,893,1045,568,1112,1411
13,911,1036,288,339,554,394,703,325,858,1500,1265,1278,740,1181,553,816,1349,255,1294,573,753,141,44,662,1583,1576,289,995,1593,1489,755,1204,793,1355,78,336,374,67,1138,583
14,1378,203,478,594,1574,980,1232,235,886,916,737,1547,262,1089,475,1026,1286,788,306,379,1351,8,431,924,1034,648,707,1492,101,113,1478,271,1257,671,791,1342,111,316,1398,1205
15,1440,675,724,34,172,1419,138,975,1009,1502,636,783,720,925,650,1123,483,108,123,24,512,1317,878,842,1580,239,37,1159,1022,735,1401,1496,5,835,824,1472,1584,883,1084,452
16,795,1301,1210,653,1207,1446,38,310,118,95,738,1372,322,1213,461,958,635,462,1132,1047,513,902,1148,188,265,871,864,268,375,1357,547,1474,986,819,840,1568,996,1004,125,1397
17,1308,219,338,1054,1195,1192,598,388,1146,1552,920,1163,1065,11,1524,1303,1586,730,72,927,563,259,909,830,898,989,1291,929,1044,211,585,719,157,386,905,207,295,917,855,780
18,349,1203,677,1442,1023,132,430,1422,1542,275,18,277,66,972,1309,690,771,1328,1359,1333,314,1254,712,1382,250,1495,63,965,139,1339,754,1365,887,440,779,448,372,674,1548,222
19,266,853,1050,378,716,756,308,1225,83,836,376,429,760,1104,444,88,1190,1366,1017,1381,517,628,777,597,41,1169,1221,629,1042,1520,1136,966,507,506,258,1208,934,1021,1191,1526
20,186,1363,841,971,280,1,1318,434,105,191,1399,1085,1590,1578,481,1041,437,1452,1167,1259,285,1457,397,1014,1029,683,120,685,12,1010,1156,1091,888,1097,283,768,117,496,659,1594
21,493,550,147,276,342,1018,1577,49,828,10,410,1079,1388,1477,56,1454,1570,752,1182,1530,803,1582,1238,196,859,544,763,251,36,991,904,570,900,1522,843,817,1223,1110,98,582
22,1555,686,1420,69,244,697,1096,978,742,852,1296,71,420,1013,189,324,407,1077,414,820,1527,1075,303,408,1312,564,309,1046,970,1150,746,875,1330,495,226,282,1332,1560,603,1537
23,362,769,1060,1271,305,79,1270,1258,135,76,765,327,261,29,1295,638,541,1340,1487,286,1320,520,1144,1120,1092,370,928,1493,185,849,1589,1465,584,1544,359,954,1007,264,1078,601
24,778,364,1122,350,1384,591,366,474,696,1370,1435,1371,347,1081,237,857,23,249,1394,365,74,1439,128,505,1491,1497,218,32,150,1299,1476,1538,981,1039,1002,1470,1027,560,345,895
25,580,906,728,1498,1011,1247,581,1282,449,766,630,367,808,179,668,192,1536,384,321,632,1280,119,1139,1283,710,377,356,903,1375,1107,274,1534,1448,732,976,221,822,1135,935,529
26,733,1239,340,460,750,438,999,1376,678,1275,559,54,323,1516,315,238,1293,473,1043,1433,1341,1319,1380,417,727,499,1125,1305,1415,84,406,492,592,1412,1395,673,77,168,1346,312
27,532,1556,1264,711,1253,1408,667,1528,498,1090,256,918,1235,781,631,955,87,1184,300,61,1216,1288,1180,633,155,1503,246,1121,634,456,519,404,1072,19,102,1564,1111,672,411,799
28,1563,704,302,115,1171,1469,640,616,1102,167,1367,745,146,736,307,1177,114,491,802,652,787,825,1108,1252,609,1387,725,596,558,1117,497,204,1068,1432,879,1562,1391,1057,337,243
29,884,1173,982,443,30,729,810,1327,1445,718,790,1326,225,670,1255,880,1268,552,1062,537,882,1458,392,1345,174,734,311,423,518,17,446,441,1423,486,933,1231,1475,586,1361,278
30,869,713,170,99,1531,1416,943,1468,1131,1262,1070,31,1119,1575,1437,126,805,1402,851,614,1421,326,1298,561,706,299,1523,1306,334,328,47,508,25,46,527,1256,60,1154,1479,184
31,1569,1383,758,209,1061,296,1356,866,1088,1369,162,187,1529,94,957,352,39,1456,1290,1263,484,487,100,428,214,1360,1424,198,1274,804,1504,1230,89,617,112,96,1461,1086,627,1141
32,1035,821,644,626,1418,1557,104,1396,1168,419,52,353,242,576,1473,1409,997,1030,1546,1451,202,868,914,199,536,175,643,64,785,861,1588,169,92,533,798,1285,847,1467,606,1071
33,398,1059,514,1166,1289,812,1266,183,523,952,590,109,969,1193,1200,1215,90,1100,1338,131,1197,403,91,1453,416,947,1012,1541,526,535,1513,776,691,373,566,122,1554,140,939,1128
34,1393,121,151,665,959,358,205,1196,1509,477,1164,833,1149,502,332,224,1506,1284,1055,1447,669,57,571,549,357,741,401,666,687,396,510,59,467,1325,1486,1551,1517,637,1410,1434
35,782,329,525,1003,951,1067,1218,1151,963,1321,789,655,1545,363,1519,447,1249,540,182,956,1155,826,1172,1315,599,1199,424,107,1505,913,501,500,588,845,133,1347,26,521,469,320
36,267,546,767,872,425,260,1242,770,35,482,382,421,466,1080,1455,1599,116,230,1337,1188,1592,65,405,1056,973,806,227,1244,538,877,1211,818,1535,676,1600,899,1459,402,354,1343
37,569,387,1436,1227,145,220,257,557,42,171,1443,1052,565,620,1595,618,1049,1403,177,1229,393,1212,351,494,1025,369,807,1460,504,136,1374,1267,834,800,1354,343,856,503,1585,1591
38,62,1020,1051,1558,1006,528,1220,240,1219,1481,994,680,967,158,942,663,1377,93,987,938,751,881,848,435,50,1153,1292,838,459,660,129,757,773,1573,1488,692,471,646,368,572
39,611,1064,1243,844,391,949,759,159,723,1206,40,1302,1297,610,915,534,961,195,472,1186,1334,1444,1348,1335,993,1033,960,390,1114,3,149,1241,679,894,823,160,1226,1127,279,27
