,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1592,850,1152,1050,546,608,807,371,809,525,516,694,662,729,1538,466,301,1336,1345,1156,216,14,650,1295,486,362,645,931,1230,1452,394,289,1073,886,1215,1428,739,336,125,1201
1,281,262,179,1159,1585,917,44,1305,363,1108,1479,946,1468,1282,728,180,1424,873,669,716,1323,1456,199,1056,597,7,128,401,237,843,1299,628,1150,619,624,407,1224,83,1475,1296
2,156,1259,42,164,629,1035,840,579,421,1506,167,329,490,1320,343,877,823,743,1271,538,980,312,954,1371,18,195,1436,668,847,1324,1062,775,1595,1578,1241,1128,757,1413,430,404
3,812,1494,487,945,554,1088,161,354,1442,368,1249,891,1136,209,145,32,607,766,326,885,143,861,1285,648,1275,239,981,949,1423,1482,1162,983,621,463,1358,874,944,245,542,1591
4,1388,625,859,98,332,961,1593,346,1114,31,311,1279,1008,1048,1515,77,647,92,1053,938,1264,1539,297,1478,1112,357,279,1130,1197,1400,17,291,895,80,733,846,522,1520,1174,574
5,921,1116,59,1033,620,521,384,1437,1464,388,1341,340,203,6,1042,1280,854,1496,45,1457,1292,876,1195,10,1421,653,1549,426,1274,585,610,551,33,334,1533,835,1019,957,705,155
6,171,1100,221,2,86,536,1322,1597,1126,1353,1460,1069,763,222,1561,1395,1004,238,1009,878,399,813,1143,512,898,617,274,38,1308,121,1106,27,1361,1221,612,1522,240,1278,989,428
7,233,439,433,698,1193,12,505,306,1234,132,450,867,1495,511,1489,1565,194,489,754,1357,200,1509,690,99,820,900,1263,1484,1007,146,1393,848,1235,1590,909,960,305,782,397,1127
8,1146,1102,1168,1147,1105,993,1131,623,666,57,412,278,1141,1025,714,1094,307,1367,455,232,1309,348,532,429,686,1566,644,920,183,1487,991,1066,257,593,699,256,1398,498,1507,488
9,227,391,1553,570,328,229,646,901,1349,84,65,1351,634,1425,604,737,72,881,1521,564,13,856,211,879,1355,1312,460,456,755,63,1559,1306,255,1333,1403,1419,1517,1330,1359,47
10,988,506,385,788,70,367,333,1020,1563,1541,49,261,1212,600,176,1510,1410,1500,408,787,1210,1377,62,313,1179,185,795,594,1554,369,1058,1164,437,1113,682,1344,337,469,1294,1010
11,880,561,1060,1584,747,3,748,135,530,270,1580,1149,910,1465,1173,605,1269,9,151,589,533,1368,438,197,1335,1575,707,675,481,373,1414,789,1467,1220,742,1023,206,85,475,1499
12,182,295,1490,1233,1160,679,320,941,94,457,1250,1121,321,555,1085,480,792,1205,1370,1503,1446,865,319,1385,1389,441,773,130,580,948,52,494,1523,1238,1125,25,565,587,35,1567
13,1246,87,1000,324,794,1380,1052,1319,422,906,1092,136,1178,661,912,131,575,78,1587,400,1115,483,1581,55,1449,639,971,1430,802,106,702,615,1300,535,740,1254,701,588,376,1298
14,750,1384,1081,1342,800,1381,1531,380,1481,764,293,353,537,117,298,1101,220,1560,548,1466,614,398,304,1031,432,1328,1352,178,497,601,683,816,453,958,804,591,1283,513,1415,382
15,20,1027,1200,883,344,942,331,352,1447,1365,871,1119,1177,386,114,1399,471,225,1183,1176,654,1483,849,986,317,472,642,1071,1289,1091,393,581,282,547,448,578,246,1227,1382,1450
16,1529,550,713,137,1132,1055,218,1470,872,975,504,1244,974,1076,101,544,191,677,738,1390,996,144,691,405,864,1237,1594,633,91,687,611,681,374,1505,700,888,1429,1170,253,977
17,1463,1588,830,138,244,1376,517,112,1291,1405,411,410,566,1284,51,825,462,1129,1277,345,175,1321,1548,573,534,793,1354,290,1075,5,73,1582,252,1574,163,76,1422,1189,1240,1057
18,476,1253,1226,219,1198,777,569,704,284,61,470,177,315,1110,1579,1409,1473,1242,1440,1350,1059,832,1392,626,292,1090,582,659,1427,21,1169,592,129,1124,709,953,715,127,172,1018
19,992,821,969,618,1472,1231,56,1462,126,956,358,477,196,53,1041,631,1026,1012,473,431,1192,1573,104,1082,212,774,1534,1039,1038,330,64,154,1540,1511,928,377,1513,1451,224,979
20,1262,752,1302,1107,1576,539,446,508,1084,1028,918,474,1065,963,1439,1418,375,731,1329,576,359,1417,927,890,58,1286,351,824,339,768,703,1044,187,95,684,549,390,118,1196,943
21,674,451,4,442,745,1445,670,502,102,1122,556,1550,759,1167,1140,467,1232,923,148,896,1207,395,280,1079,1186,1099,922,1219,162,1024,1325,678,50,970,34,1379,1214,1236,1290,276
22,272,790,1078,1434,478,325,402,903,140,1518,798,1458,1138,260,479,1067,718,1266,722,1378,296,68,310,1268,663,515,228,468,347,1332,1064,1558,1408,583,46,1356,651,1037,1258,940
23,392,184,1097,1229,622,1272,1070,808,545,892,902,1083,93,1096,1139,207,786,553,39,217,1519,186,1093,967,1545,1544,1314,283,822,215,799,641,1165,936,19,40,1492,1362,1185,667
24,905,801,595,1155,1577,1191,1166,1297,15,1133,1257,1374,1001,396,403,231,814,965,1537,630,285,107,1438,265,28,1498,939,811,113,1184,1228,771,1527,115,829,192,16,1145,528,558
25,796,841,1431,1175,726,168,1248,1471,263,1030,1005,141,995,736,884,899,1524,751,972,26,188,123,1317,1148,250,719,96,1348,1171,727,1180,732,1497,870,1514,105,543,697,300,413
26,584,1303,507,485,1134,420,934,1476,288,1213,985,316,181,193,350,857,387,454,266,509,711,1301,11,1202,110,166,1063,1569,1014,1307,1485,973,632,753,1508,897,907,844,1583,1142
27,1486,1493,1402,189,1543,1163,1267,501,717,444,756,1568,267,159,746,1068,1406,598,464,772,108,1453,389,1182,990,1469,157,366,449,241,74,1433,1029,364,89,930,693,417,1375,803
28,1461,562,660,1536,1477,299,1360,1459,845,1373,769,152,671,552,66,349,1111,269,133,833,1570,22,1542,434,1488,1251,381,893,613,1118,721,1245,720,303,443,82,1199,652,1104,302
29,1310,805,637,71,951,982,251,1443,484,599,1109,568,23,1206,1043,1040,785,1426,356,258,1455,1054,712,294,1011,590,571,767,976,1526,913,1003,419,423,109,1383,1571,866,268,762
30,819,730,277,1017,69,685,1013,355,149,496,286,1334,1326,249,649,1211,440,950,959,1411,36,165,435,925,1407,1416,1432,1311,1047,1546,379,1154,968,418,1222,815,924,111,1281,603
31,834,1089,493,828,664,1209,1340,445,1137,271,863,932,1032,318,1369,1243,908,520,1188,919,869,1223,1404,672,482,911,1181,817,749,778,1600,724,559,627,214,122,173,567,223,523
32,1572,839,424,776,361,427,1313,425,531,882,198,342,635,1153,60,1117,1547,725,616,48,204,124,1435,723,1555,933,160,1016,414,1343,827,1420,1255,1034,1454,1260,640,1448,43,741
