,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,3684,5595,4935,983,7367,7786,5130,7046,6030,20,3979,6153,590,4173,6700,2850,4268,4543,7752,934,4012,2953,7526,3430,4952,794,1227,1720,5220,2681,2464,6171,3292,2536,1111,4405,2855,2453,2522,881,845,7541,7656,7147,6335,7273,1113,7807,4807,4261,5887,2236,5847,208,2134,3851,6969,7293,2808,3962,419,7596,6638,728,5119,276,1174,4490,1714,5753,1202,1660,1882,601,7311,6011,5508,7949,387,3140,1903,2955,3123,7061,8099,5126,6746,824,4947,4500
1,7847,4109,4471,4816,2981,1548,2233,1984,3726,1194,7059,5023,277,4511,7085,6128,4912,510,4005,3183,1034,5456,1827,5547,2642,3901,905,5198,7400,3177,6098,6716,2675,2187,6738,7414,207,823,1973,4391,977,4192,5704,179,6127,3480,5811,1146,2213,6771,929,2758,4288,177,3953,5044,2869,3078,3878,5410,3433,5325,5898,7950,6672,7809,2504,7219,2658,815,2650,5596,7644,7107,383,5725,7171,3442,2084,995,6851,3950,1573,5994,3824,6751,6137,7516,1705,4269
2,7198,92,4717,1576,7196,5250,3463,3472,1998,8,4667,4575,3220,7984,579,4868,2558,3977,7359,7536,2212,2779,2528,4880,4014,7558,5655,7654,2563,3440,698,4432,2172,1543,7657,2112,1392,798,5188,484,7088,2434,4523,6703,2281,7443,6866,2826,6677,6509,1826,1121,1105,7331,5040,7135,2669,4948,4696,1033,1535,2684,2529,8024,3302,4135,5791,6965,3225,4960,2139,7321,5675,2145,4174,7090,553,2356,1596,191,2077,6526,3147,5777,7154,1427,5258,5735,6766,1982
3,2099,680,5393,6760,5403,6932,1307,8082,139,3526,7254,6221,3681,6661,3373,3398,7641,5379,1703,7784,4987,7461,3709,1314,7702,4127,2566,4112,3655,7258,7831,8006,5746,1835,7584,6228,4644,4857,7179,398,3634,2016,2074,6317,1899,462,3551,6304,2848,850,1357,1506,938,1210,5895,2776,496,226,1308,6093,6879,801,7444,6155,3777,2008,2266,6698,4694,3489,4513,3339,7562,4128,2615,1852,8083,6114,452,2407,2923,1066,4068,305,499,6668,4301,3580,6785,2699
4,3794,3543,1780,950,7710,666,2347,6038,195,7564,1371,6339,777,4021,6265,2907,302,6544,2730,2257,2798,5805,1167,4690,6754,6736,4627,4815,6567,4103,4931,6462,2724,2303,6994,4439,7943,4732,2433,4723,3904,4397,2378,5782,2490,1776,6116,4294,4681,8080,700,1437,4226,3892,3344,3006,101,5077,4802,7736,7559,4697,2804,2843,5071,2912,3392,5568,6347,7740,4230,2948,7925,2312,6808,2052,3203,5421,1952,3631,608,7167,3016,2092,7350,6438,231,932,1434,3797
5,3227,3773,7351,7832,5383,4354,4791,3610,6184,3787,407,2780,5004,5953,5110,6645,811,4333,6049,6268,59,2939,7785,4603,637,4978,6466,988,1396,5305,2010,3712,3575,454,423,7284,2474,2252,3101,3617,820,5387,3939,3532,6408,4491,3793,3117,2589,6904,362,5285,6532,2177,3750,7395,3452,1492,1856,4814,4763,1008,3205,2087,5453,1833,703,5192,4156,3300,6993,7827,3623,7867,4466,4203,7322,3601,5041,6209,5179,3757,348,5593,5422,4759,2605,4941,4654,2630
6,2152,5768,6628,1224,3253,1,4375,255,3104,4227,2507,980,653,5935,5807,5035,3568,7011,6617,3995,6772,5867,3362,1403,6239,4139,5788,1489,2814,1197,1891,1993,5651,7392,7081,2040,5731,447,3447,6255,1997,7035,5615,5467,3606,5316,5452,3884,4376,1971,1991,8088,1620,6007,2280,7497,66,5789,7307,7976,3656,220,7532,7370,1884,3393,461,1774,2725,2503,3387,3427,4411,5664,7144,6995,1578,5016,6947,42,7637,5474,1746,6237,323,3350,3961,4811,6185,1259
7,2611,1020,1382,3435,2646,26,669,2446,7306,7457,7164,6403,5855,3587,3565,3379,7211,5066,7138,2546,7578,7034,5715,1610,2511,1383,5633,5561,295,7289,7586,3687,5401,5344,7217,4303,2208,519,3160,5563,5917,7852,2938,6440,5159,6691,3369,2143,1288,1321,985,7699,1707,1007,2180,8034,5053,5858,5311,6764,5764,6566,3776,5551,409,200,5031,2709,1416,5781,1750,420,7544,2811,5129,4282,3192,4542,6951,6014,960,2878,1304,3482,5219,1356,964,1840,682,7797
8,3180,6791,1074,4845,5995,6331,6905,5919,1038,7910,1237,5952,6042,1306,7014,6033,633,4776,3001,623,2367,1977,2541,7750,5142,6293,872,3964,4388,751,372,4115,3454,5762,2411,1841,4475,6077,6173,46,4245,5889,926,718,3812,7168,7652,5262,567,3867,561,3168,1252,7935,3991,36,1865,381,4841,6528,1985,6570,3965,3399,5112,3693,5120,1367,6802,1710,3383,2908,2321,5125,3899,6023,4419,5962,4263,6146,4427,3328,5862,466,4995,6231,7591,4801,7022,7610
9,2899,7981,583,6034,3984,7013,3707,3061,2565,4317,5251,4053,2629,3563,326,6040,7565,1622,6811,1328,7336,1851,3982,4716,4223,3024,1450,6358,2731,4561,1080,7399,95,4649,6939,7117,1781,5666,2497,385,2073,3026,5294,7744,5102,7717,7114,5884,4920,1386,2786,606,7073,2046,6803,3306,7575,5268,3111,2122,6747,1148,974,3653,702,1462,1815,4302,5154,6768,5800,2400,1071,1608,951,6933,3434,5927,1235,3841,7285,2171,7519,6954,7172,2123,4740,64,3849,6615
