,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,178,191,389,334,5,363,92,293,311,301,245,105,52,331,11,132,134,275,31,237
1,315,212,307,198,53,135,179,223,284,300,102,40,356,81,184,201,140,282,276,142
2,93,263,256,185,174,371,62,112,99,337,111,350,129,287,340,397,176,85,24,159
3,348,41,359,128,32,151,150,333,165,30,115,374,314,259,181,143,19,170,332,366
4,345,249,137,269,130,369,248,278,200,230,57,126,89,192,96,10,390,90,295,210
5,308,116,149,304,357,100,228,12,242,103,34,106,205,144,341,358,375,78,188,262
6,20,42,108,18,250,336,232,79,260,49,323,251,338,360,38,368,394,138,342,64
7,84,306,104,55,186,273,164,258,154,317,386,322,95,15,367,252,125,70,77,400
8,14,206,268,161,255,141,391,270,169,23,254,127,187,209,285,9,384,392,240,25
9,271,244,238,226,172,146,83,318,218,347,97,73,173,243,157,94,329,6,236,339
10,48,274,39,118,330,91,183,281,261,122,28,388,36,387,47,225,222,219,346,365
11,45,328,121,87,351,190,107,21,288,296,396,297,294,279,383,98,88,13,325,3
12,283,44,33,156,398,352,312,101,166,152,385,124,113,335,202,231,71,155,266,131
13,54,167,199,58,110,72,299,272,211,376,4,377,354,158,229,316,148,233,291,82
14,247,114,239,320,379,215,361,63,197,344,37,214,69,35,292,29,17,399,67,372
15,175,145,303,373,246,133,313,177,162,310,147,76,280,286,7,355,221,171,56,74
16,302,370,364,289,22,65,220,196,2,59,324,16,393,168,290,204,217,395,46,68
17,321,195,80,193,277,253,86,207,203,136,382,241,1,51,153,66,298,378,224,265
18,216,380,267,189,208,60,120,353,109,61,257,264,319,182,26,160,235,234,43,327
19,343,123,50,349,75,194,180,163,309,117,326,139,213,8,381,362,27,227,305,119
