,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,209,187,169,392,268,127,240,270,23,254,285,25,206,391,141,384,9,255,161,14
1,331,52,311,275,389,105,31,293,301,245,11,237,191,92,363,134,132,5,334,178
2,387,36,261,219,39,388,346,281,122,28,47,365,274,183,91,222,225,330,118,48
3,243,173,218,6,238,73,236,318,347,97,157,339,244,83,146,329,94,172,226,271
4,259,314,165,170,359,374,332,333,30,115,181,366,41,150,151,19,143,32,128,348
5,144,205,242,78,149,106,188,12,103,34,341,262,116,228,100,375,358,357,304,308
6,182,319,109,234,267,264,43,353,61,257,26,327,380,120,60,235,160,208,189,216
7,286,280,162,171,303,76,56,177,310,147,7,74,145,313,133,221,355,246,373,175
8,287,129,99,85,256,350,24,112,337,111,340,159,263,62,371,176,397,174,185,93
9,168,393,2,395,364,16,46,196,59,324,290,68,370,220,65,217,204,22,289,302
10,335,113,166,155,33,124,266,101,152,385,202,131,44,312,352,71,231,398,156,283
11,158,354,211,233,199,377,291,272,376,4,229,82,167,299,72,148,316,110,58,54
12,35,69,197,399,239,214,67,63,344,37,292,372,114,361,215,17,29,379,320,247
13,192,89,200,90,137,126,295,278,230,57,96,210,249,248,369,390,10,130,269,345
14,15,95,154,70,104,322,77,258,317,386,367,400,306,164,273,125,252,186,55,84
15,360,338,260,138,108,251,342,79,49,323,38,64,42,232,336,394,368,250,18,20
16,8,213,309,227,50,139,305,163,117,326,381,119,123,180,194,27,362,75,349,343
17,81,356,284,282,307,40,276,223,300,102,184,142,212,179,135,140,201,53,198,315
18,279,294,288,13,121,297,325,21,296,396,383,3,328,107,190,88,98,351,87,45
19,51,1,203,378,80,241,224,207,136,382,153,265,195,86,253,298,66,277,193,321
