,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,96,10,390,126,369,249,130,248,278,90,57,269,200,89,210,230,295,137,192,345
1,290,204,217,16,65,370,22,220,196,395,324,289,2,393,68,59,46,364,168,302
2,292,29,17,214,215,114,379,361,63,399,37,320,197,69,372,344,67,239,35,247
3,26,160,235,264,60,380,208,120,353,234,257,189,109,319,327,61,43,267,182,216
4,47,225,222,388,91,274,330,183,281,219,28,118,261,36,365,122,346,39,387,48
5,181,143,19,374,151,41,32,150,333,170,115,128,165,314,366,30,332,359,259,348
6,383,98,88,297,190,328,351,107,21,13,396,87,288,294,3,296,325,121,279,45
7,184,201,140,40,135,212,53,179,223,282,102,198,284,356,142,300,276,307,81,315
8,367,252,125,322,273,306,186,164,258,70,386,55,154,95,400,317,77,104,15,84
9,285,9,384,127,141,206,255,391,270,392,254,161,169,187,25,23,240,268,209,14
10,381,362,27,139,194,123,75,180,163,227,326,349,309,213,119,117,305,50,8,343
11,202,231,71,124,352,44,398,312,101,155,385,156,166,113,131,152,266,33,335,283
12,153,66,298,241,253,195,277,86,207,378,382,193,203,1,265,136,224,80,51,321
13,38,368,394,251,336,42,250,232,79,138,323,18,260,338,64,49,342,108,360,20
14,11,132,134,105,363,191,5,92,293,275,245,334,311,52,237,301,31,389,331,178
15,157,94,329,73,146,244,172,83,318,6,97,226,218,173,339,347,236,238,243,271
16,7,355,221,76,133,145,246,313,177,171,147,373,162,280,74,310,56,303,286,175
17,340,397,176,350,371,263,174,62,112,85,111,185,99,129,159,337,24,256,287,93
18,341,358,375,106,100,116,357,228,12,78,34,304,242,205,262,103,188,149,144,308
19,229,316,148,377,72,167,110,299,272,233,4,58,211,354,82,376,291,199,158,54
