,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,208,216,60,264,109,43,120,61,182,267,380,189,26,319,160,235,353,234,257,327
1,250,20,336,251,260,342,232,49,360,108,42,18,38,338,368,394,79,138,323,64
2,53,315,135,40,284,276,179,300,81,307,212,198,184,356,201,140,223,282,102,142
3,32,348,151,374,165,332,150,30,259,359,41,128,181,314,143,19,333,170,115,366
4,246,175,133,76,162,56,313,310,286,303,145,373,7,280,355,221,177,171,147,74
5,357,308,100,106,242,188,228,103,144,149,116,304,341,205,358,375,12,78,34,262
6,379,247,215,214,197,67,361,344,35,239,114,320,292,69,29,17,63,399,37,372
7,5,178,363,105,311,31,92,301,331,389,191,334,11,52,132,134,293,275,245,237
8,330,48,91,388,261,346,183,122,387,39,274,118,47,36,225,222,281,219,28,365
9,75,343,194,139,309,305,180,117,8,50,123,349,381,213,362,27,163,227,326,119
10,22,302,65,16,2,46,220,59,168,364,370,289,290,393,204,217,196,395,324,68
11,186,84,273,322,154,77,164,317,15,104,306,55,367,95,252,125,258,70,386,400
12,255,14,141,127,169,240,391,23,209,268,206,161,285,187,9,384,270,392,254,25
13,398,283,352,124,166,266,312,152,335,33,44,156,202,113,231,71,101,155,385,131
14,172,271,146,73,218,236,83,347,243,238,244,226,157,173,94,329,318,6,97,339
15,351,45,190,297,288,325,107,296,279,121,328,87,383,294,98,88,21,13,396,3
16,130,345,369,126,200,295,248,230,192,137,249,269,96,89,10,390,278,90,57,210
17,277,321,253,241,203,224,86,136,51,80,195,193,153,1,66,298,207,378,382,265
18,110,54,72,377,211,291,299,376,158,199,167,58,229,354,316,148,272,233,4,82
19,174,93,371,350,99,24,62,337,287,256,263,185,340,129,397,176,112,85,111,159
