,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,186,104,84,15,77,400,317,306,125,70,164,252,95,322,273,55,258,367,154,386
1,357,149,308,144,188,262,103,116,375,78,228,358,205,106,100,304,12,341,242,34
2,255,268,14,209,240,25,23,206,384,392,391,9,187,127,141,161,270,285,169,254
3,174,256,93,287,24,159,337,263,176,85,62,397,129,350,371,185,112,340,99,111
4,172,238,271,243,236,339,347,244,329,6,83,94,173,73,146,226,318,157,218,97
5,75,50,343,8,305,119,117,123,27,227,180,362,213,139,194,349,163,381,309,326
6,398,39,283,335,266,131,152,44,71,155,312,225,113,124,352,156,101,202,166,385
7,379,239,247,35,67,372,344,114,17,399,361,29,69,214,215,320,63,292,197,37
8,22,364,302,168,46,68,59,370,217,395,220,204,393,16,65,289,196,290,2,324
9,351,121,45,279,325,3,296,328,88,13,107,98,294,297,190,87,21,383,288,396
10,330,33,48,387,346,365,122,274,222,219,183,231,36,388,91,118,281,47,261,28
11,250,108,20,360,342,64,49,42,394,138,232,368,338,251,336,18,79,38,260,323
12,110,199,54,158,291,82,376,167,148,233,299,316,354,377,72,58,272,229,211,4
13,32,359,348,259,332,366,30,41,19,170,150,143,314,374,151,128,333,181,165,115
14,277,80,321,51,224,265,136,195,298,378,86,66,1,241,253,193,207,153,203,382
15,208,267,216,182,43,327,61,380,235,234,120,160,319,264,60,189,353,26,109,257
16,246,303,175,286,56,74,310,145,221,171,313,355,280,76,133,373,177,7,162,147
17,130,137,345,192,295,210,230,249,390,90,248,10,89,126,369,269,278,96,200,57
18,53,307,315,81,276,142,300,212,140,282,179,201,356,40,135,198,223,184,284,102
19,5,389,178,331,31,237,301,191,134,275,92,132,52,105,363,334,293,11,311,245
