,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,189,61,43,120,234,267,109,26,235,216,319,264,380,208,327,257,60,160,353,182
1,55,317,77,164,70,104,154,367,125,84,95,322,306,186,400,386,273,252,258,15
2,87,310,325,107,13,121,288,383,88,45,280,297,328,351,3,396,190,98,21,279
3,269,230,295,248,90,137,200,96,390,345,89,127,249,130,210,57,369,9,278,192
4,185,337,24,62,85,256,99,340,176,93,129,350,263,174,159,111,371,397,112,287
5,128,30,332,150,170,359,165,181,19,348,314,374,41,32,366,115,151,143,333,259
6,320,344,67,361,399,239,197,292,17,247,69,214,114,379,372,37,215,29,63,35
7,304,103,188,228,78,149,242,341,375,308,205,106,116,357,262,34,100,358,12,144
8,161,23,240,391,392,268,169,285,384,14,187,126,206,255,25,254,141,10,270,209
9,334,301,31,92,275,389,311,11,134,178,52,105,191,5,237,245,363,132,293,331
10,58,376,291,299,233,199,211,229,148,54,354,377,167,110,82,4,72,316,272,158
11,289,59,46,220,395,364,2,290,217,302,393,16,370,22,68,324,65,204,196,168
12,193,136,224,86,378,80,203,153,298,321,1,241,195,277,265,382,253,66,207,51
13,18,49,342,232,138,108,260,38,394,20,338,251,42,250,64,323,336,368,79,360
14,373,296,56,313,171,303,162,7,221,175,294,76,145,246,74,147,133,355,177,286
15,226,347,236,83,6,238,218,157,329,271,173,73,244,172,339,97,146,94,318,243
16,118,122,346,183,219,39,261,47,222,48,36,388,274,330,365,28,91,225,281,387
17,198,300,276,179,282,307,284,184,140,315,356,40,212,53,142,102,135,201,223,81
18,156,152,266,312,155,33,166,202,71,283,113,124,44,398,131,385,352,231,101,335
19,349,117,305,180,227,50,309,381,27,343,213,139,123,75,119,326,194,362,163,8
