,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,253,382,66,378,86,321,241,207,80,51,224,136,153,1,195,265,298,203,277,193
1,151,115,143,170,150,348,374,333,359,259,332,30,181,314,41,366,19,165,32,128
2,190,396,98,13,107,45,297,21,121,279,325,296,383,294,328,3,88,288,351,87
3,369,57,10,90,248,345,126,278,137,192,295,230,96,89,249,210,390,200,130,269
4,194,326,362,227,180,343,139,163,50,8,305,117,381,213,123,119,27,309,75,349
5,146,97,94,6,83,271,73,318,238,243,236,347,157,173,244,339,329,218,172,226
6,141,254,9,392,391,14,127,270,268,209,240,23,285,187,206,25,384,169,255,161
7,72,4,316,233,299,54,377,272,199,158,291,376,229,354,167,82,148,211,110,58
8,363,245,132,275,92,178,105,293,389,331,31,301,11,52,191,237,134,311,5,334
9,91,28,225,219,183,48,388,281,39,387,346,122,47,36,274,365,222,261,330,118
10,273,386,252,70,164,84,322,258,104,15,77,317,367,95,306,400,125,154,186,55
11,336,323,368,138,232,20,251,79,108,360,342,49,38,338,42,64,394,260,250,18
12,100,34,358,78,228,308,106,12,149,144,188,103,341,205,116,262,375,242,357,304
13,352,385,231,155,312,283,124,101,33,335,266,152,202,113,44,131,71,166,398,156
14,65,324,204,395,220,302,16,196,364,168,46,59,290,393,370,68,217,2,22,289
15,60,257,160,234,120,216,264,353,267,182,43,61,26,319,380,327,235,109,208,189
16,215,37,29,399,361,247,214,63,239,35,67,344,292,69,114,372,17,197,379,320
17,133,147,355,171,313,175,76,177,303,286,56,310,7,280,145,74,221,162,246,373
18,371,111,397,85,62,93,350,112,256,287,24,337,340,129,263,159,176,99,174,185
19,135,102,201,282,179,315,40,223,307,81,276,300,184,356,212,142,140,284,53,198
