,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,219,47,36,365,387,28,261,274,222,122,39,118,388,330,346,91,225,281,48,183
1,85,340,129,159,287,111,99,263,176,337,256,185,350,174,24,371,397,112,93,62
2,395,290,393,68,168,324,2,370,217,59,364,289,16,22,46,65,204,196,302,220
3,138,38,338,64,360,323,260,42,394,49,108,18,251,250,342,336,368,79,20,232
4,392,285,187,25,209,254,169,206,384,23,268,161,127,255,240,141,9,270,14,391
5,78,341,205,262,144,34,242,116,375,103,149,304,106,357,188,100,358,12,308,228
6,378,153,1,265,51,382,203,195,298,136,80,193,241,277,224,253,66,207,321,86
7,70,367,95,400,15,386,154,306,125,317,104,55,322,186,77,273,252,258,84,164
8,13,383,294,3,279,396,288,328,88,296,121,87,297,351,325,190,98,21,45,107
9,170,181,314,366,259,115,165,41,19,30,359,128,374,32,332,151,143,333,348,150
10,155,202,113,131,335,385,166,44,71,152,33,156,124,398,266,352,231,101,283,312
11,171,7,280,74,286,147,162,145,221,310,303,373,76,246,56,133,355,177,175,313
12,399,292,69,372,35,37,197,114,17,344,239,320,214,379,67,215,29,63,247,361
13,227,381,213,119,8,326,309,123,27,117,50,349,139,75,305,194,362,163,343,180
14,275,11,52,237,331,245,311,191,134,301,389,334,105,5,31,363,132,293,178,92
15,90,96,89,210,192,57,200,249,390,230,137,269,126,130,295,369,10,278,345,248
16,233,229,354,82,158,4,211,167,148,376,199,58,377,110,291,72,316,272,54,299
17,6,157,173,339,243,97,218,244,329,347,238,226,73,172,236,146,94,318,271,83
18,234,26,319,327,182,257,109,380,235,61,267,189,264,208,43,60,160,353,216,120
19,282,184,356,142,81,102,284,212,140,300,307,198,40,53,276,135,201,223,315,179
