,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,3442,4321,4375,1098,3453,29,3651,3251,3681,1029,2932,2516,4055,3549,1759,1552,3677,3837,3477,2964,24,4043,2884,4229,643,4346,1598,1307,1966,4469,2831,108,3325,1739,1900,2065,4399,4385,814,707,2168,543,2662,785,4292,2869,2174,3631,1510,3152,1798,1076,476,2785,323,2300,2197,1130,2814,1067,4717,1693,3902,4564,1252,1782,694,3393,744,2612
1,1441,75,3840,3529,2979,2035,901,3408,2500,4408,4117,4610,3633,1758,1144,786,4169,2537,4608,1864,535,2327,4488,777,352,635,1229,3536,344,1636,615,3561,4281,567,2496,3233,3356,85,3021,4665,3873,2380,4071,11,1509,2298,2600,2711,1220,3678,3757,4609,4878,856,2245,3459,301,1934,506,2538,2135,4601,3319,1400,3242,943,4571,384,3972,1453
2,2557,2207,1639,3097,462,4044,2604,3908,3714,79,1436,1684,435,1689,4301,3662,126,4603,3370,719,1212,3852,521,137,4382,3064,143,4569,3620,1834,4411,4262,1423,4671,133,3328,1256,4447,272,1280,1458,4161,1912,2563,815,3958,1671,1888,4206,3342,4685,623,1901,3979,190,4544,2718,590,582,463,4597,2170,4098,4028,749,3548,1821,2822,2804,3496
3,553,2571,591,2467,1323,4099,4174,2940,908,1247,2278,3280,2112,3258,647,381,3691,2178,2906,4620,3000,1857,2474,4025,1347,451,2440,628,347,4769,810,2672,2739,4809,3907,4505,2780,2933,1832,3573,2407,2216,4810,3628,2761,993,3221,1059,3719,338,3718,863,4668,3026,576,1273,2908,1148,3903,1410,672,3729,2870,4278,489,2361,2688,3739,895,3047
4,4225,32,2551,3019,1962,4856,3038,782,4622,3844,2807,868,4054,1442,4832,204,1328,4397,2447,1881,4327,843,4114,1668,657,4455,4363,1822,652,4309,3596,1285,172,1205,2896,3454,3133,859,1811,3641,1180,3423,4088,155,4180,1574,4420,267,1863,12,406,4518,3007,2041,2369,4529,1200,4068,2414,342,1166,1805,253,2923,2508,4272,869,4371,2663,2196
5,1420,3667,4495,123,2514,1971,2687,2430,1419,3142,702,4226,964,778,3821,1103,2193,1519,873,3138,2892,1048,801,3564,362,3712,3522,197,1416,99,375,1406,3478,3967,509,4493,3595,4400,3818,3737,4058,4695,4815,2240,157,1002,4166,216,1195,1062,415,4679,1303,4223,4630,4268,2953,992,4135,1651,3582,457,2344,2214,3683,2161,1527,3410,4097,4629
6,1895,328,1321,2666,2974,2471,4203,3871,578,3552,1275,2561,560,349,4119,659,202,4813,1371,106,2218,716,4797,3555,2588,3135,3467,4306,3335,3345,713,2657,2731,1192,2064,2708,4684,1445,3110,407,4806,2425,4374,2439,4024,488,1772,1332,3222,4595,2576,848,4310,1480,465,963,1378,2853,3594,4511,2484,3581,40,2286,3404,2415,4136,1085,3612,2990
7,2283,585,3016,4450,3009,2383,1231,4873,1368,340,4246,522,2317,1063,321,2577,2617,1612,826,4543,1124,1629,4709,1878,3657,4879,3653,4231,2073,3990,4886,1670,4041,712,4722,1471,3210,1398,4305,115,355,4507,222,3853,3938,1959,3749,544,3513,607,284,3200,2541,2205,4057,3572,736,2153,4021,280,1154,565,414,3121,2881,3238,1107,4640,1309,4275
8,1006,2697,2531,1053,2314,1649,1716,1608,2872,4261,3354,3334,3944,2275,3479,2069,2927,2970,661,2840,511,599,1030,2171,3084,93,3209,2452,3696,1524,1147,2781,3113,2137,4094,2624,2272,2451,4651,587,4748,881,1402,1606,2089,58,4859,3674,1164,2305,23,2868,2558,1343,3753,1956,3155,49,4504,3101,4191,4840,3537,3896,2740,2605,2887,3301,140,3516
9,3341,4338,1232,3680,4754,1375,4638,3208,4198,3661,1596,3407,4418,1818,2124,1119,4763,555,3259,4674,1033,4894,549,2689,1394,1249,1117,1479,3690,2729,2255,2961,2490,373,942,4425,646,2076,675,2724,1905,1505,4047,4636,1163,4816,4841,603,821,1548,2939,2340,912,1090,4444,101,210,4271,485,4027,51,1026,4576,4337,2929,2656,3498,310,1965,935
10,3941,916,3812,536,3713,1695,3239,4675,3492,496,3482,4503,500,3553,3172,1072,3065,3027,1476,1009,800,4138,1661,975,3971,4032,312,3457,4600,3989,263,2223,3470,2477,1948,1348,4436,1243,383,2899,2230,1329,92,2713,4708,510,1326,984,3592,4086,4613,4871,84,1156,4700,3835,2365,1777,4289,3733,1396,508,1374,54,3583,26,3015,1109,4258,3220
11,883,1021,4015,651,4350,1500,4837,3646,4110,3257,2096,985,1004,4767,3436,427,4670,4064,2493,4381,899,4019,4217,4643,3541,3956,27,100,2712,159,3557,3164,876,4369,1882,2770,820,4380,1922,503,3283,3512,2238,4794,2556,2803,622,988,3320,4457,2651,2023,692,2473,1430,2987,726,1638,1970,3618,1573,1603,3488,13,3115,539,949,1052,4148,1165
12,3313,2855,2454,2273,3794,1632,774,738,2960,3613,417,3533,1967,2031,9,2466,2346,546,1162,1655,4106,2461,3129,4143,3300,1581,1947,4257,4074,1679,4697,2328,3340,2157,2983,563,4250,2322,4362,3305,2094,2700,2166,1607,3173,721,2450,1414,1532,255,3366,722,1494,1547,2792,974,1589,3955,4016,2653,1313,4103,3346,4634,4046,324,2759,3863,2492,1913
13,486,1042,1823,2542,3947,809,835,4200,2160,2088,3182,2810,1848,326,4490,4012,230,961,2857,2815,3159,3374,3898,4889,2058,3916,938,1820,2374,1187,3741,1884,4358,2742,3181,1960,2535,2534,277,3163,2401,3081,2980,1259,3814,2977,1239,2716,3463,3926,2850,958,3279,3750,1352,1122,3348,228,4458,3949,2187,2087,1412,2379,386,434,2821,4405,3929,894
14,1883,1849,2213,4666,604,2071,3688,4568,4656,4127,4789,2427,556,1455,3414,1733,1681,4276,1515,2021,1121,3708,1315,2028,4572,3380,2215,2851,1008,450,1302,2511,2962,2249,4777,3288,653,1648,3924,2241,1152,1844,1980,3014,3639,4031,2595,1086,4265,3465,3523,1236,3119,2619,25,1389,1983,1312,2150,4663,2222,1604,751,439,832,4550,2184,1330,3202,2936
15,192,3443,2364,4538,858,2074,257,2758,1005,4100,3542,1282,2694,182,545,969,3302,745,4703,4824,1380,490,3822,1482,4037,1055,1393,2236,3957,4778,1007,2618,3858,4059,1337,1137,453,2144,4406,554,3359,3503,3676,334,759,2146,4541,4718,1411,3965,318,3243,4410,884,4713,2861,2813,4183,2060,3430,2752,2865,2226,3952,4808,1627,1886,1159,1478,875
16,3912,3176,1254,136,4023,1562,4448,3804,246,460,1530,2232,2246,443,495,4208,1087,3954,497,515,4652,3098,3895,1077,2779,1369,1611,3399,1894,2949,3045,3136,2256,2368,4765,425,1939,4333,3226,2972,4144,1485,2788,3371,1299,4880,4277,1754,1038,1892,2325,2290,4419,391,2331,2755,3621,4740,2356,2342,3781,2177,2145,121,102,1920,2996,4260,252,3867
