,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,2352,2476,2680,1949,203,1769,1727,1002,668,1676,1955,230,494,747,2230,2362,2553,2363,1486,3377,2110,3263,1629,392,234,129,2667,1193,2928,828,2234,2377,123,1602,3460,2879,1809,2103,1821,861,902,3586,2319,2640,1893,1353,3049,474,169,2477,2574,1548,952,1613,3023,3365,931,1628,2633,1960
1,796,1180,95,419,1189,3313,3174,2049,1157,77,2291,1550,572,875,2449,1856,2685,3456,2791,3515,1013,189,675,1065,3405,3360,2392,1855,1377,1650,1196,918,589,3404,1516,2609,1917,2982,1,2409,2278,3588,1021,2712,245,2855,1772,1691,1215,264,1413,3370,2517,2434,1744,2525,1791,1559,1119,1906
2,3244,1888,2413,2588,2459,1492,2614,2082,2068,2208,3094,1103,2376,1375,3549,360,75,204,122,1050,1839,1229,1698,3207,728,2638,1622,2483,1315,2819,3232,1147,42,2579,836,3204,284,1787,2391,1871,2788,2214,206,946,3340,2806,1919,2690,2419,1818,2341,1382,374,110,2117,3098,411,1735,623,1378
3,2707,3553,2244,3240,484,2612,2205,2238,489,1461,2902,3468,2719,789,57,2687,1549,3430,2085,314,663,859,313,744,1005,1393,1536,3435,1584,1739,2446,2805,598,1237,1903,2452,2487,1245,2228,2389,1645,2157,1365,468,2315,2547,1786,2364,167,3348,2860,2107,1640,889,649,2,1587,577,1705,3558
4,2426,590,1243,731,2229,2941,1221,1446,195,840,406,1728,900,2837,1601,2351,2054,3393,2033,41,2722,3294,2339,244,98,1972,2490,2361,2627,3110,2541,63,2484,3595,2404,842,2818,3078,600,178,2385,631,3230,3293,585,2706,3213,1905,3095,1504,740,1685,1713,1251,1391,1649,2489,354,1395,1750
5,1625,592,1400,442,3012,625,2334,2330,3221,1214,1693,1040,1544,1586,3522,2898,1708,3236,1011,1246,1096,3304,736,328,1098,2785,1129,2916,2099,2713,3028,3599,884,473,2931,2535,551,184,217,3059,2162,2556,1831,992,2299,1420,1678,942,2594,1324,1510,1202,2471,1436,1904,3120,64,2414,2892,1275
6,2065,2482,1165,1118,1933,2596,1304,3276,499,1325,3376,501,441,1025,2322,1668,3277,965,2562,1426,1733,548,119,2950,2677,3030,2885,2288,326,232,2610,876,2266,200,1347,1351,1285,3378,125,1967,2144,553,3148,1498,703,3554,816,2421,2651,2402,839,2971,3265,1466,2358,2739,179,3105,1368,2331
7,3568,986,3488,1860,1369,2570,262,2123,1434,2160,1348,665,3170,498,246,1114,512,1677,2155,1474,3082,1138,3484,990,275,563,632,3087,3478,3134,285,3541,3157,2834,3250,1058,1187,3068,1319,2417,1669,2213,897,770,1610,138,2097,2698,2258,1575,212,795,1267,2793,1519,1938,2727,3476,1850,870
8,1969,1672,239,426,2575,2533,3295,2095,895,2283,1900,2273,334,968,1792,3289,2937,373,2194,1366,356,2405,1284,3578,1162,3524,1991,2760,2548,994,2669,1338,1337,2433,1798,2815,3546,1017,3186,2824,453,782,1999,53,738,186,1258,689,2133,1440,2335,691,3321,2838,3466,148,2859,514,1841,1313
9,488,3118,434,3287,1447,567,2343,755,117,3387,259,1211,2534,443,633,481,1532,3508,3552,785,605,3017,1054,966,2841,2037,2355,620,1508,1010,1607,3032,1743,194,3153,96,3592,3398,3107,2076,1453,1994,3409,1671,1966,128,1694,3007,2520,3219,3458,1958,794,1132,2508,3262,408,1932,124,2501
10,1659,1432,3334,1804,639,130,1714,2591,2242,2374,1416,2305,2969,771,2617,2381,3577,1719,1133,1428,1934,2752,1468,2306,555,1766,3403,3481,739,58,674,1589,345,2637,1263,2456,2559,2952,1585,3201,2279,3540,1336,213,868,2786,2398,1761,322,379,3024,869,2246,144,2154,578,3191,2873,695,416
11,1852,2799,1731,2304,292,2835,386,329,1912,2021,1060,2297,980,1722,2934,1397,2222,344,1381,2745,160,3371,15,459,3139,1963,809,1765,2422,1298,2528,516,1520,3379,1318,1984,2639,300,3389,2016,1340,2933,1302,3485,2106,3062,1927,2249,3065,1527,429,251,1790,2259,3461,316,1314,2366,3507,808
12,779,1551,2578,298,2691,147,2705,1922,2762,3462,2953,3357,3350,2748,558,1141,2516,1160,2583,3545,1363,66,362,3493,856,1921,34,2920,593,1228,3561,2809,2105,1032,1280,1156,2078,1233,1047,3505,3010,3548,2472,2679,2961,83,741,1197,223,293,1219,2802,995,2137,978,1639,673,860,2621,1451
13,2702,1634,2084,469,2093,1767,1605,982,2232,376,2723,2521,1051,231,3000,1269,2721,446,962,3103,2373,679,2293,2282,1472,3254,2619,297,1670,3431,612,1205,2955,1806,2261,1910,2442,2587,539,3590,1679,1384,1301,3534,471,1534,890,2430,941,12,654,2948,10,1517,1552,1699,3471,2519,2463,2773
14,599,296,1257,1530,1814,1500,3246,526,2856,1236,430,2042,2831,190,1385,905,3418,2289,1143,423,1568,1388,1062,2284,1711,707,394,1858,1383,2886,778,227,2428,3445,3242,2598,715,3183,1296,1268,2276,1878,2470,1256,2975,3025,2618,2163,2046,3192,14,2357,1825,2218,2464,1136,3052,949,2204,3575
15,2839,1496,2411,2778,1195,1071,1974,3489,1993,2576,773,2111,3504,487,2039,3111,2350,109,1372,2455,229,864,2543,1866,2765,2742,2740,3158,3150,772,1642,3016,985,87,22,1581,1654,3422,1652,591,1543,502,456,460,182,247,226,1843,2699,921,1820,3309,3532,3579,1823,767,717,3218,1225,3347
16,2212,1644,3454,1662,3026,1277,2032,1618,3375,1473,2555,2787,500,2672,2424,2199,1305,2427,466,1015,2532,643,2252,3455,1665,3020,3447,719,827,1812,3563,470,3394,1403,587,2028,867,1924,2720,2678,2907,393,989,1614,2630,1273,433,1802,1918,616,1499,1891,306,640,1965,1097,215,704,3089,1920
17,852,2947,93,2844,960,2970,2993,1954,3261,172,233,3424,573,1845,1018,2642,133,425,2889,286,3102,1911,1149,2709,2161,1487,1427,401,3194,1944,2899,1803,97,55,3356,1240,3519,841,2079,2141,1331,3463,582,1115,3258,681,554,1321,1297,1035,2265,1073,3160,1389,1996,2764,3523,2384,3510,1300
18,2767,2655,2147,2965,2498,1701,947,303,896,2090,1124,1740,3122,2143,455,716,1700,1942,85,3151,1367,697,3327,2552,2264,2316,3303,2192,650,2307,3406,486,2439,718,925,1045,3203,915,1405,158,571,2658,2349,2650,46,710,1356,273,1874,2724,3205,1084,1849,3382,2867,807,1186,2231,3312,2074
