,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,2191,1424,901,997,3483,2828,3511,3051,1255,1049,1080,249,1813,1785,1344,903,2146,1216,458,1680,2567,954,2219,685,1946,1294,1470,2756,2015,3009,3226,1317,3178,1142,2746,475,3290,871,1623,619,1902,2010,2012,270,3513,1896,615,216,3237,2569,3364,2781,866,1876,3557,1636,193,2758,706,1287
1,2523,957,1343,1553,657,2927,996,448,2447,81,2602,651,2925,1217,480,1213,1191,220,2989,1512,3211,3433,940,899,2783,1799,1452,5,3018,3399,2608,596,476,2462,405,3453,2140,1718,711,3496,1177,1206,2615,1411,3129,1341,2348,3319,2536,131,3185,266,2001,412,2689,3270,1835,2403,2905,1915
2,486,1367,2143,710,915,2498,697,2349,3303,1740,3205,1874,3122,455,2264,1700,947,3151,1124,2192,571,46,2316,807,303,2965,2655,1186,2867,1942,2439,650,925,2650,3327,273,2724,3382,1084,3406,85,3203,2090,2147,1405,158,2552,1045,1356,2658,896,3312,1701,2767,2231,716,718,2307,2074,1849
3,2108,2073,3570,1360,103,3325,636,2803,730,799,2917,2807,780,2382,1666,1926,1574,1469,1230,524,2763,556,680,2200,1951,2485,844,3284,686,874,2963,557,192,2866,1929,2632,3275,90,3330,221,1598,2526,1109,3525,2529,2572,729,477,1976,1404,1374,2895,3323,708,2277,2972,2406,1518,28,2924
4,2377,2110,747,1353,2103,203,3263,2319,2667,230,2574,169,494,2230,234,2553,1727,3377,1955,1193,902,1893,129,3365,1002,1949,2476,931,3023,2363,123,2928,3460,2640,1629,474,2477,1613,1548,2234,1486,1809,1676,2680,1821,861,392,2879,3049,3586,668,2633,1769,2352,1628,2362,1602,828,1960,952
5,1526,3502,3587,1067,413,2988,2826,1094,2750,1764,1537,52,2153,2454,2190,709,748,2611,1819,672,802,955,1194,2251,1738,2286,2347,804,520,932,3229,3070,854,2451,2694,493,3182,2420,1989,2064,1387,2292,282,3248,291,3115,3019,24,547,1070,945,939,1007,2401,1619,2701,508,3427,3486,2985
6,3163,3084,1033,1421,349,490,811,1826,1838,3436,2964,705,2300,2754,1026,1737,3397,3441,1885,758,832,1092,50,3278,894,564,3457,2196,693,1563,139,3247,1022,1983,1154,1566,2797,3008,2114,2296,3220,983,3324,3517,3124,185,1646,2328,3172,1105,723,1166,3136,2670,478,1226,479,399,2625,161
7,2256,1964,3567,910,308,2663,863,3299,2770,3459,798,701,974,1696,1437,1278,1079,1342,1174,891,2998,3597,343,676,742,315,561,1417,3003,2744,1523,1289,1895,2070,1884,2237,2308,3316,1716,382,1830,483,2524,3072,3302,3100,1721,2329,3438,3354,1615,1506,1034,1697,882,3057,2503,510,644,984
8,999,2958,2250,363,3352,2845,1990,69,1664,3543,1515,820,3231,299,751,2600,3222,696,2664,1688,2995,2475,1491,3209,834,385,684,317,1833,3593,2176,454,528,872,2186,1270,3022,3355,831,2113,2904,1987,2338,964,3076,2353,2122,1185,368,1106,531,403,2496,1953,3042,61,3272,3228,33,2466
9,1338,356,968,186,1017,2575,2405,1999,1991,2273,2335,2133,334,1792,1162,2937,3295,1366,1900,2760,453,738,3524,148,2095,426,1672,2859,3466,373,1337,2548,1798,53,1284,689,1440,2838,691,2669,2194,3546,2283,239,3186,2824,3578,2815,1258,782,895,1841,2533,1969,514,3289,2433,994,1313,3321
10,1774,2337,1282,2295,2794,496,653,2344,1580,1006,3467,1239,1357,2130,2842,819,2091,1087,757,1320,913,1962,2626,3423,3014,3328,2260,991,3214,1104,1781,3385,803,1019,3494,1016,2372,628,1986,3282,2940,1323,3342,1959,541,745,2729,2877,1810,1072,1936,1462,1292,1069,198,40,1641,1379,1832,1572
11,155,2365,276,2207,3314,1861,1131,2167,30,3080,371,2676,279,2653,1525,993,3035,400,1925,1538,3296,3353,2041,410,3128,2755,936,3199,3274,8,2820,2580,3566,1892,2027,280,1795,1998,236,2102,3002,102,74,975,1600,2003,2370,1592,2843,1443,907,1596,825,353,2166,2628,3530,432,3407,2505
12,3016,229,487,247,3422,1195,864,456,2740,2111,1820,2699,3504,2039,2765,2350,1974,2455,773,3158,1543,182,2742,767,3489,2778,1496,717,1823,109,985,3150,22,460,2543,1843,921,3579,3309,1642,1372,1654,2576,2411,1652,591,1866,1581,226,502,1993,1225,1071,2839,3218,3111,87,772,3347,3532
13,637,3210,1975,3013,1172,2832,885,1012,1588,1894,207,622,1316,2057,1445,538,3132,1248,1851,3381,1288,2890,307,1112,2652,3239,1291,533,3188,934,3490,3074,70,544,2168,1808,2507,853,2629,2408,3029,1655,1753,381,3046,375,1880,3092,1857,3440,916,2164,330,361,565,3536,2453,1612,2008,2577
14,1577,1477,2714,261,2115,3338,813,2088,2023,2175,3320,2040,1939,267,2210,142,1444,928,1637,912,1788,1734,1334,271,424,2542,1582,1125,1271,2881,838,1120,2994,580,2891,601,2211,3058,2769,1448,2445,289,27,1524,2034,3063,199,2635,3500,2209,2089,3190,3583,3297,2599,2919,3495,235,1521,295
15,797,929,1571,2223,1985,886,2981,1464,325,2135,1497,1952,2317,1482,988,958,1997,3419,2197,3300,658,814,3529,407,1635,1303,1862,562,732,2359,909,1066,1717,2738,3369,2018,145,2511,2314,1415,449,1712,3271,2318,3245,1479,3425,1531,2390,1111,1561,753,2565,281,1752,2800,2980,2751,2336,1854
