,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,5577,3660,6123,5007,5560,5600,4552,7915,5229,4384,2165,1606,6309,1899,397,2880,6398,3108,4219,3038,6276,7828,5634,4541,6314,7154,7266,4374,4888,4857,3783,2408,589,537,813,1543,2272,694,1946,4422,2768,7344,4146,8047,7311,6026,6324,1706,7254,4359,6851,2477,7736,3763,1076,5044,1453,1011,4448,821,3774,1891,2155,1509,7772,4382,4645,2418,7035,6472,2773,5683,1983,6860,3666,2310,2513,3940,3364,2566,1001,7108,5027,3878,7518,5924,257,325,1584,482
1,3507,1525,448,862,7146,3289,5823,210,4228,5270,6189,7365,5939,1320,1511,7693,1503,3803,1093,1421,6301,4252,3831,6793,4310,1260,4007,1334,5150,6957,4344,2014,730,3366,2459,6218,750,3034,3037,6685,2400,7912,3764,7709,5286,6938,5646,2579,5141,6719,374,737,1477,7358,3517,6363,1644,7258,305,5335,7746,4535,3539,88,7178,5178,4318,7876,7739,6864,2086,6487,6879,7121,2643,5032,2884,4026,1204,2865,2889,2605,6263,1206,8056,1538,2600,3900,3109,652
2,7168,7918,7092,966,4260,5773,2654,3376,6209,5757,7900,3441,494,2047,3671,5042,6607,5728,3389,2765,7433,754,490,5901,5349,7579,3664,6176,5511,1254,838,4032,3744,743,7637,4966,7716,1936,6439,1955,4107,197,375,1251,4811,6921,6592,6302,5449,3499,306,8004,1817,658,3004,21,7083,5898,5058,7066,6070,543,4666,5501,68,1926,2144,2562,720,3486,362,3356,4380,5990,4429,5095,5912,335,3510,7342,438,7713,5472,7904,1337,2414,6076,755,3779,5467
3,5617,2393,2682,7430,3886,6626,5189,2512,3926,7307,1559,3720,1901,5719,735,5540,897,4782,4218,7711,491,7004,6029,4141,6935,1443,2738,7766,6615,6015,3445,1769,3887,4833,6597,336,1028,7774,1673,2589,3237,5102,4975,7415,3293,2832,5357,4813,7162,2078,2841,5987,1155,5426,944,7349,3657,5724,6140,1847,5950,2230,7858,5388,2032,571,2549,3750,1088,102,4882,7563,4967,2936,6107,1068,7611,5920,4836,2601,3190,2256,3018,4423,1253,5857,137,6378,815,2417
4,3093,2850,5209,7896,7127,6608,924,6754,3081,3989,4780,4835,2692,840,1786,3094,4774,4970,1061,5180,4826,3388,1839,5083,4069,4727,548,596,6142,2229,5861,7333,4871,3320,2369,3898,3962,4072,5489,3,6359,5456,3506,1375,3297,4915,1655,5800,1510,5258,6268,7192,2960,6437,2902,1174,5182,1557,3669,2924,7908,1124,1653,2084,7833,2514,7899,5684,2770,2091,7376,1669,7458,5185,6159,6609,5045,5936,3275,7312,5,2625,167,6681,3014,4565,2287,2160,7218,2675
5,2279,4447,684,1921,5361,7380,5046,2157,6264,7668,6447,1819,4792,3206,4754,2735,5346,2721,1965,6214,1218,7102,1837,3001,2346,6773,2591,3711,2536,6895,7150,3673,6266,729,2898,3397,5193,7841,7796,18,3971,7036,282,5451,2610,820,4519,2021,1302,1036,7660,4670,7037,5536,5024,999,3993,2630,4259,5166,7678,722,5123,2624,5828,1216,1329,1075,4425,1564,7917,3454,5649,6914,7903,3885,7582,1280,3758,1882,1038,2766,6341,3531,6083,2404,7413,3147,1735,6080
6,890,3067,6476,2978,7117,5207,5320,5364,487,7990,3655,7464,1438,2480,6126,1723,6048,31,1579,4189,7576,7248,4661,2196,2226,6055,2662,2706,7595,7442,236,6834,1969,481,2434,3699,1764,6092,2382,2349,842,4350,4704,7149,667,3030,4436,147,5359,3935,3623,2717,2223,3316,7521,3626,7871,5875,2995,6101,7175,44,888,5317,3386,4283,2767,198,2263,7636,4294,5910,5508,6034,3635,3665,5696,6813,1650,3331,7207,6362,3403,5569,7522,1063,4491,2323,7147,242
7,4623,6723,7321,3826,4894,3274,5287,4951,7734,466,5812,163,3811,6928,879,6678,2395,181,767,4487,2018,5610,5542,2469,6499,4637,6471,2173,3116,5585,532,1228,4937,4577,7860,3721,4931,2863,5746,4331,6345,5633,1896,161,1322,41,6986,7256,5506,7208,5406,937,818,4795,5013,5806,6996,7456,7962,1640,3500,7126,3681,828,5945,2742,1368,2934,130,1055,2558,6172,4368,1889,4688,3601,223,4061,5344,1524,3100,2857,957,4730,778,3841,6259,7698,7703,7656
8,5248,541,5103,8066,1526,5503,1393,4639,1994,7329,7925,5368,5135,6042,4353,5313,6317,4799,1609,69,1376,3639,5155,3745,4952,136,4351,4089,6155,1488,1750,520,6114,1573,5810,7,5416,4409,5518,3738,3348,8,2429,6852,5660,369,1459,2219,6611,4656,6003,6528,6764,1344,1548,6237,2054,1447,6949,3326,5061,4452,434,5377,2099,1628,819,7246,4445,6574,145,1849,5813,2574,8094,5524,3921,5310,4712,7886,762,5588,5441,6849,7552,4588,2276,4626,6116,2760
9,5863,1938,5211,3981,3450,1172,4154,309,2883,1042,7224,4886,2380,243,4273,6594,6612,8025,7410,1918,146,615,1422,559,5295,1966,7166,4516,4096,4305,7304,2671,37,7985,7153,6801,7336,1555,794,4879,7310,3476,4508,4109,616,5048,2008,3524,6697,4421,273,706,918,3910,5023,2636,7647,1571,7541,4685,6416,5076,5859,4059,6329,6194,3918,4881,1233,829,875,2145,3814,1854,5230,179,3252,4402,7844,1913,6059,7073,7012,4460,7607,7283,6017,3394,5266,1276
