,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1540,1672,1559,459,2108,1267,346,1778,1780,1885,2325,891,2469,328,616,1761,544,2192,1639,752,1161,766,708,706,886,605,535,938,99,2029,748,2241,135,635,1589,1671,217,1423,2129,1437,2435,1784,2401,1747,1054,258,693,652,1564,1368
1,1366,1041,1727,1855,1053,230,150,1129,664,1635,831,1510,1913,1710,931,338,2038,2348,55,93,1204,103,1605,795,2064,1390,1988,2162,1431,580,2165,2376,1321,877,1524,2146,1665,1521,2378,138,2080,1981,1572,576,643,1470,28,2063,16,46
2,1764,1591,887,1377,2290,800,1534,1645,1497,1709,289,1243,866,909,1552,1755,106,1172,1091,944,206,29,2054,248,385,2072,567,1258,2039,2295,2498,1717,2349,976,80,2223,1736,555,1405,1733,406,1630,2487,1750,482,1501,415,371,1182,855
3,634,1198,1636,2053,2111,2324,1766,631,1289,2275,1648,1790,1225,765,113,613,1026,367,745,455,2427,894,1918,172,1177,2147,464,41,2199,38,2484,1527,812,2228,39,2421,2428,2346,2239,145,214,215,1698,575,1655,770,205,1983,923,1477
4,362,2434,1178,940,589,1735,1279,1272,2012,1485,957,2205,1339,1691,2417,781,1857,1713,1916,679,231,92,956,1769,1110,609,2001,2317,185,1391,1074,1621,1296,392,299,1576,234,1925,360,1683,1102,779,1261,2045,1688,1619,561,2251,540,717
5,2136,105,884,798,1553,428,2120,2117,975,1098,1394,906,784,2242,1358,2132,2254,1933,83,2466,142,291,2152,1136,235,1323,1617,2322,2422,542,484,783,2134,1877,1422,1973,624,531,160,263,134,2046,2335,1484,1379,6,980,1264,1408,1290
6,2071,1945,1293,1517,1927,1083,687,329,1252,1906,194,1001,30,1863,2437,37,2141,968,1482,176,2036,2210,86,815,519,1465,1757,1919,1620,414,2308,88,757,1601,1548,179,460,130,1979,1187,1984,1413,1644,2333,2250,2057,283,620,1077,1447
7,1852,960,2113,374,1109,2265,1239,505,183,1438,2049,1699,1894,404,2479,602,2143,1019,1399,66,1558,2426,685,1444,2128,805,1887,297,445,1089,711,2105,1582,1337,495,2237,747,2,1302,2412,1930,122,2007,951,1002,366,1213,327,791,2330
8,1849,1684,2186,566,1028,665,608,507,541,778,1411,547,1188,1990,344,1305,1255,1235,1392,348,703,2368,2374,1692,1895,469,1753,2481,433,2028,829,311,2070,939,1809,2456,2151,1513,2100,993,659,169,1058,1613,79,813,2301,198,663,2178
9,1693,688,309,1270,251,1227,2195,1034,1475,369,2042,1526,755,792,1274,10,2433,1495,1633,2022,1063,1073,1329,2359,869,1714,1509,690,1039,9,2004,1332,285,955,1776,195,2059,492,1936,201,1488,2342,714,874,1283,1774,1393,2300,954,2021
10,224,1369,760,1179,286,1763,1417,992,1469,2337,1695,1879,353,890,2149,902,873,191,186,2019,804,1231,1577,2432,1027,379,1364,43,2360,1112,1686,1775,846,1370,1349,2446,550,350,595,116,1801,1624,111,1347,1723,1989,2457,2480,2198,450
11,1701,1206,1891,31,1103,2212,621,1958,2354,274,1528,1966,1866,276,2221,1884,49,1531,1889,2414,1426,1861,675,1530,2031,1659,1308,1012,914,442,588,2189,1219,1864,295,2389,517,1654,654,1303,471,89,1804,648,124,69,1796,644,1504,871
12,556,1033,1050,1597,2351,1275,1716,619,788,758,1385,461,836,656,2253,1994,1134,1022,1038,2340,1208,742,1606,2425,466,1285,1725,395,1106,2445,1420,2238,2381,427,68,2020,36,1731,734,432,1538,1493,2399,1760,1307,253,2216,729,692,386
13,996,1286,1668,1581,212,1730,2344,1259,1715,1071,1944,715,1093,598,1374,159,864,1896,808,1642,1871,2209,451,1975,2327,910,1265,553,2304,1851,399,1915,197,357,2387,1550,1057,2439,1946,1277,839,2099,151,554,298,123,1294,1335,707,930
14,1215,2150,1146,343,1228,2060,2458,1631,1961,408,2478,862,751,1662,2185,1421,1914,1711,1499,314,903,2257,337,220,2486,510,718,985,1284,1441,2460,26,1911,74,2169,222,1232,1137,889,157,2167,128,1948,54,2370,1740,546,2035,259,463
15,2196,732,629,935,2385,2182,1658,303,2418,888,473,1328,1418,1503,2490,333,2005,1207,1159,2190,678,1398,149,697,67,2201,1546,920,446,1403,1910,1798,1800,416,1222,279,740,1707,1700,824,1940,1626,1395,1712,1138,351,1797,21,1327,885
16,342,990,802,2107,926,2168,1249,1999,213,2097,1024,1042,527,2068,881,1223,1669,970,2258,5,1771,1541,475,2489,71,383,115,1247,1474,2402,389,2365,1150,256,2104,1491,1184,856,1567,1650,1311,1537,323,967,2415,572,1061,1131,2154,1514
