,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2217,1527,1277,1773,144,2115,487,1863,716,2197,801,1302,793,1722,888,766,2289,1032,1486,329,294,1784,1921,1532,909,2184,894,99,1040,1601,1476,2478,327,141,925,1465,355,1425,2167,978,2265,771,180,531,1901,2048,181,1826,1247,1856
1,1774,1872,35,2428,701,1874,1703,231,2301,423,393,522,1381,1116,811,1444,787,607,373,94,1491,228,138,762,1132,1798,1279,1656,1890,1865,2135,1603,2228,2300,2205,1461,1320,1423,654,259,1294,1919,2374,740,625,419,2313,2260,812,1072
2,306,576,351,861,993,1562,714,1635,755,1869,1340,499,1781,847,1021,1511,197,1759,905,2045,1248,2029,2314,1510,600,2304,295,1254,2481,1671,1100,830,1384,768,1835,282,1883,1441,1412,1551,1811,6,2447,1356,243,1459,1683,1410,1682,709
3,1956,1713,1980,2006,2337,1961,865,22,2072,887,720,335,2211,29,82,65,2494,2404,129,1449,1205,2372,1898,1201,1012,2101,1971,660,1139,616,1663,470,2181,512,862,970,359,1182,1927,2204,93,1530,368,395,1737,1536,139,823,1431,2251
4,1930,1987,1126,208,954,1049,990,962,836,1181,2477,2252,903,2247,1580,34,1609,429,1706,1211,1892,2185,784,455,849,286,1608,1403,1357,446,1820,287,2376,1926,1664,376,1531,69,1059,1036,178,2456,988,2379,1222,1188,1612,2279,1026,117
5,1967,2419,381,2189,696,555,2201,1045,331,345,2042,1771,1586,1292,1215,1196,226,1870,1373,1590,2319,1672,711,1065,747,1058,1144,1578,1639,1290,109,557,1569,906,1376,190,622,804,2168,900,2332,2001,1123,1997,891,162,698,366,2143,2098
6,2476,1264,312,40,940,394,1250,488,1213,2433,2455,1727,268,356,43,1653,284,1468,2403,675,1307,1939,167,192,1447,2129,2208,2070,281,2091,1693,1868,1017,1153,530,2395,608,2207,1523,924,2382,2355,471,1154,1621,526,759,706,442,2218
7,291,1779,1442,491,1587,1787,2255,1155,154,1108,1492,2146,1592,1560,341,1687,1131,708,956,177,2380,1730,299,604,258,2462,50,2082,1489,611,985,1537,653,1945,752,2240,648,1429,1550,853,2346,18,2007,234,2398,1129,1104,2152,1344,1397
8,1582,1375,1259,2257,1823,58,1825,480,25,834,2267,1681,1885,2122,1515,1817,577,666,2470,1988,730,1615,639,1571,1604,2440,2360,481,1526,1699,1272,2264,680,439,1522,860,303,1383,49,191,248,172,949,2274,843,1214,2018,434,134,2105
9,1392,2132,574,241,1951,1164,1685,2348,741,1317,1270,437,876,2411,1614,67,1794,1321,2112,2137,2268,1074,2438,1315,2031,757,775,156,2480,2256,175,1735,1283,396,296,16,2454,478,659,1857,679,465,889,1456,2291,238,1405,262,1326,1031
10,1616,859,1516,783,317,1399,1251,1549,2400,565,354,1881,1755,273,1470,1348,1353,599,1023,171,444,1717,2102,2496,1446,1991,2324,2363,661,332,1212,1839,2365,1524,2079,2068,347,1092,174,397,485,2193,1613,645,1841,870,1043,2021,357,2
11,2391,1063,1850,107,2071,1766,1328,1351,496,2151,1216,135,451,1655,91,370,1109,2241,1780,1438,1806,253,1832,1906,2343,1378,1525,313,2258,1848,631,2000,585,1258,1343,1517,1783,644,2367,405,1098,686,998,236,1479,601,1630,1830,754,158
12,1103,2305,185,1893,1411,2155,1207,2059,855,2307,829,1705,1637,230,2426,1339,326,687,1542,541,1844,1028,1030,1050,916,1659,2150,1035,2088,163,222,1661,681,321,409,1949,1649,57,986,33,2083,552,39,683,1763,2486,1184,2422,2176,1464
13,246,694,537,1814,343,1334,2063,311,560,1271,2190,2026,1305,1225,2093,277,2310,24,2037,1891,1056,1882,627,2466,2243,1595,1241,867,1221,774,863,509,647,738,822,872,1854,1791,2027,104,656,1471,736,1867,1203,1519,2479,1345,1289,1210
14,1395,186,2336,539,1371,2013,1011,1483,2358,732,917,2378,1388,1812,255,1323,2269,641,1970,1255,302,1284,1676,1928,1561,1331,603,640,602,252,542,813,760,1570,2215,1477,534,2216,221,1300,1163,342,1746,831,2296,1295,699,1404,1559,1731
15,1725,1576,2165,387,41,1677,1954,417,2392,2010,670,2156,2495,707,1230,2352,1776,379,155,1303,2405,193,1807,338,1034,2489,901,391,758,1620,372,1795,1415,2227,1498,460,2206,1597,1143,213,1753,1287,2179,2187,330,83,458,570,505,744
16,835,554,886,2163,1729,1785,188,987,806,1840,60,1401,1168,1990,1626,216,1297,1039,2457,791,21,832,2425,1948,1120,124,406,511,1299,1736,551,785,2054,462,2285,1355,868,2188,1897,1968,1437,1959,2280,1692,1478,920,960,1695,242,1209
17,1454,1027,941,674,2032,728,454,1964,2388,1583,1610,215,153,729,2375,1015,492,1849,415,2473,1281,80,2113,1765,2209,440,1422,1718,339,412,2089,1577,651,761,1322,1386,55,1193,893,1625,1709,441,1974,2460,2434,1557,931,201,1227,1689
18,959,624,1704,1314,1818,896,1208,2463,127,1005,1732,1244,1638,1276,1821,588,285,1088,1358,1910,2248,2126,1975,1978,827,669,1702,2364,930,1738,324,1252,223,1187,1090,885,1235,769,2200,1387,489,2108,525,108,879,1310,668,2485,233,1553
19,2067,2429,1657,1416,1096,734,103,388,845,26,2246,1495,1674,2148,1943,2136,1749,1931,2349,1341,1390,1238,2139,544,1647,1346,2415,1288,199,2144,579,176,20,638,994,850,1350,196,203,657,923,591,1083,1161,2194,1918,382,1558,1119,1810
20,123,2377,2341,851,2334,2290,1369,1719,249,1484,663,1298,140,1847,983,575,1033,263,2356,2451,1001,183,1069,1915,1095,1308,658,1786,402,267,112,2318,633,2062,1076,2249,1301,136,858,1929,159,2213,718,982,386,1394,2238,1191,2389,1751
21,2081,1908,1022,479,120,1518,581,1711,2235,1490,1909,713,1097,1724,421,689,1756,1266,422,1507,1643,1064,1374,725,995,976,1772,1385,2182,1720,2397,1564,1862,957,2158,1879,205,407,333,1992,1053,73,1091,2109,1650,1782,745,19,652,1112
22,2387,1976,1141,1666,449,2009,817,2174,2097,237,2203,2016,928,1690,1046,615,825,1500,1102,1618,445,1634,1504,1110,1700,264,2224,398,64,352,1217,966,1585,2345,1257,910,132,2138,1275,389,239,1329,2402,2142,1888,856,448,1858,897,61
23,1845,2066,1900,1200,1232,1128,2295,1151,428,106,1768,1624,2283,2055,722,1957,1540,461,95,2464,1760,933,2231,280,929,820,88,2169,320,411,1379,1175,1051,2030,1488,97,2333,2357,169,2004,1998,214,275,809,690,2370,1828,86,436,1475
24,2005,1816,642,337,682,2131,2233,1875,1632,2183,545,1469,1694,1057,1435,739,1715,2120,229,1878,733,9,1170,486,432,453,1183,635,62,533,974,2178,1533,2096,1424,1809,466,1304,1846,2053,251,1952,772,564,113,1268,2497,1833,1852,1627
25,569,559,582,1499,1414,984,1646,1754,490,110,374,2186,1419,2128,298,2015,1085,85,1566,2420,2140,1778,944,1834,915,819,1895,1147,1157,1514,735,2107,1455,1407,300,2173,2040,1190,27,518,218,2373,2044,1073,1568,1588,1237,833,877,1436
