,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1469,2302,542,555,1312,645,590,1572,1105,667,1232,828,946,2494,1921,2236,1172,958,388,1085,312,1631,1861,96,445,391,1570,1990,45,861,2491,829,1032,1756,2260,1744,1433,2378,750,569,1094,513,2427,2301,939,444,2195,386,2166,1597
1,1042,809,449,869,676,240,1510,1253,2191,477,2371,1959,900,808,147,1347,2423,1450,2308,2222,2374,756,371,76,833,635,302,1982,1692,2321,1553,2368,1606,28,265,2150,2384,4,1479,359,389,1110,1313,1600,2123,459,346,2147,1942,2107
2,1642,650,1989,1796,1353,1389,2139,935,2369,2406,1250,1362,1188,2437,606,2283,2392,842,78,487,1155,2288,299,1507,1309,1090,529,1097,628,1281,1298,934,1860,293,2175,368,1991,1799,1732,2217,442,523,260,1166,208,707,261,117,2411,987
3,1283,2231,734,509,2160,591,1930,257,2419,563,378,1414,571,2465,1543,1531,1915,2173,1577,2297,64,1997,373,878,1953,122,2116,1098,601,25,398,1261,1260,1967,1863,985,2198,1019,2305,584,2295,337,255,87,1548,909,2157,1594,787,948
4,1131,1287,1235,709,2447,2417,2149,92,1568,1785,1255,2113,1167,135,212,206,661,58,307,305,2326,2403,2463,46,1837,1473,678,2372,1633,1765,1519,1908,1386,1850,742,535,1273,499,1058,1699,875,2267,178,254,646,1835,860,1486,1596,1824
5,1185,2164,1249,475,1840,679,1502,1482,1304,2230,2193,2013,8,2387,1147,1733,1601,376,786,1788,1560,714,614,940,1849,497,1183,1052,1693,2067,285,659,1516,1497,644,237,317,1016,2279,1278,2461,489,1508,880,82,1276,1575,323,1592,2300
6,969,2207,1029,1901,156,2484,41,277,1927,252,1899,2052,514,1314,1819,1524,848,937,1547,1748,2192,328,234,471,2241,2480,1407,1258,859,1171,814,1893,694,1798,1187,1294,943,1784,1660,1736,819,776,1208,19,2200,188,318,2201,1316,1591
7,1027,13,2074,1800,768,2232,1068,199,205,2056,1121,2262,923,3,2334,2144,112,1279,1815,1466,1248,1625,273,610,464,437,579,712,510,2252,1558,2277,1652,375,2143,1137,1574,550,1264,955,1614,1500,2137,1118,129,2394,2412,1823,718,1584
8,1134,636,1465,2497,65,1305,197,743,749,775,175,1196,2007,259,1393,86,2422,2105,941,572,1922,1984,1533,402,1233,1605,2304,1933,473,739,1151,2471,1969,104,1912,1545,1445,148,1046,2312,1340,2404,1986,1667,352,230,1888,871,797,2037
9,1779,396,109,853,2189,2018,1499,507,111,1296,965,611,893,119,2292,769,1842,289,576,2294,778,492,783,1345,468,160,2290,1836,2433,546,876,547,1218,2475,2077,1811,186,314,2420,2263,2124,1397,2182,1421,1071,1822,1062,2023,686,2012
10,1107,106,2456,2148,1424,1322,658,1163,1620,1993,664,343,1491,2163,2102,521,433,1996,703,1604,723,2003,1165,190,795,127,1438,1189,410,1341,1442,1757,1295,452,1628,2227,2275,2016,1293,1413,1832,1844,2069,600,1245,72,339,1331,581,1416
11,1195,660,1191,2487,2395,1401,1587,1731,1868,1174,2014,1707,1511,340,216,690,438,1709,354,1259,1950,35,1122,2203,1127,1069,862,1675,2103,84,1472,1320,2120,1420,1257,279,1262,689,901,1573,2229,1747,683,1326,1049,1338,1330,141,1766,466
12,634,1666,450,967,2118,1224,224,761,158,1311,366,2317,665,2106,1073,460,1916,269,2035,284,1277,1963,2337,1563,530,2363,2130,1475,2100,846,994,504,2041,108,2070,704,1035,699,18,1457,1325,2233,1204,1618,2162,1521,1453,1639,95,2057
13,1723,1161,51,573,1064,1392,2336,1385,191,37,682,2329,2184,2180,1037,1538,2224,914,961,1207,2060,155,1946,1589,233,1117,566,439,2245,1872,424,1335,1349,619,458,294,1945,2343,102,2438,2165,381,210,2383,652,2431,2097,138,2156,1214
14,2346,874,2498,2307,1242,1806,1834,453,1243,625,1139,193,2099,1266,1875,1964,490,2430,1630,695,938,1443,315,2082,1024,344,267,516,2303,1246,687,971,33,1483,1932,781,1197,2482,271,668,1344,1149,1904,2239,288,840,338,300,2318,1813
15,1369,2269,1280,596,144,476,680,1903,1867,2366,32,1935,920,1705,1133,1761,609,2140,1870,2325,441,70,2017,185,1363,738,950,171,2469,1,2402,2356,522,838,2024,1751,310,1047,1769,932,1337,1048,2341,447,831,2078,1873,720,796,1318
16,474,1017,2063,1146,1741,2256,2296,1292,1877,1086,1585,361,526,2322,1418,2450,607,2174,1775,2215,1410,2330,157,953,895,435,1114,773,181,201,2186,1564,2446,716,984,370,951,617,2264,858,412,632,677,1792,1978,631,830,1951,1238,298
17,1376,757,883,1579,2010,589,1435,681,1490,2050,2214,496,1088,369,1101,1138,2460,1759,821,1782,282,425,1381,2462,1357,1958,626,256,1317,1033,2342,630,1106,1520,1992,1874,811,1352,1142,1609,1794,824,2250,968,430,1425,1696,908,608,69
18,2084,2473,913,67,962,2282,421,440,1270,1803,367,223,501,1372,1948,479,793,2223,1889,1099,17,1739,1140,89,1012,2199,1539,765,1924,588,1713,218,2129,2299,1041,245,2117,696,2178,232,2477,68,275,1175,2335,788,1876,2439,1869,1734
19,2345,238,1209,105,461,1366,1333,1611,1776,319,2319,662,1350,2254,578,146,798,1306,2076,2015,246,554,1949,1676,1219,983,2389,899,779,2328,2125,724,1394,1894,729,2196,2315,2405,184,448,839,131,1463,9,887,1043,1612,2347,1686,805
