,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1944,873,1302,2203,2495,468,313,144,2436,1284,360,68,1093,1660,100,1478,2131,2072,1216,536,321,1989,1687,1288,645,671,1539,656,1878,1012,1804,546,2233,427,1665,307,1717,133,600,1926,404,195,1662,2218,507,2205,2257,2150,2089,1618
1,444,876,564,1197,760,1909,1899,889,1188,59,1056,1140,901,2085,2378,1352,356,1013,2183,2083,779,890,1948,913,1983,2242,713,181,1294,1583,2493,37,66,1606,1203,1397,361,756,2201,2213,1701,1666,1185,337,2303,859,525,2285,1549,924
2,791,369,1168,70,1925,655,2207,174,1002,1900,868,1026,2158,1746,612,557,2018,886,1393,1609,2229,1921,2137,758,2103,1715,1034,1303,374,146,357,123,700,744,1693,1556,1981,1209,540,1588,902,2317,2442,2413,1596,1813,424,1362,1814,97
3,1317,2105,1320,1290,503,1150,1388,2178,2264,784,191,711,80,1645,2003,1691,966,1468,1116,57,2185,602,2058,833,1472,2007,1815,1563,1176,2352,2494,470,189,1307,1968,597,794,1538,2230,58,304,1792,1971,944,402,453,335,1066,1974,1349
4,2361,60,1419,754,2440,1043,286,2254,647,1027,909,1332,1616,1501,1947,1348,479,1843,1098,1829,1134,239,836,621,658,485,2496,2458,469,1995,992,869,238,697,52,2416,2068,1329,24,2373,1083,185,831,2294,2182,2144,1339,802,2238,785
5,2268,1865,1894,204,1993,225,1840,806,1050,1591,2215,1929,816,566,249,2228,135,1702,1497,996,2374,2084,993,1155,316,79,903,440,295,648,2140,1234,1205,2490,158,1128,1841,422,2191,1632,1293,106,1283,534,2279,2161,2093,1838,138,1003
6,2036,2222,587,1868,1886,314,220,2147,325,2029,1500,1009,684,102,95,1851,1144,340,488,2221,1991,997,2245,2188,211,1553,1378,562,567,505,1204,1495,230,2121,973,2480,112,1641,2453,1048,1236,2129,2417,347,1600,2127,1711,35,118,1783
7,71,641,2210,1784,1153,705,1567,1672,1767,1208,908,1163,757,1908,2198,981,297,1933,1354,718,1957,539,674,2021,380,1729,177,2409,2054,1617,2145,2160,1461,1486,15,984,1300,792,451,529,1488,450,854,2097,2251,683,1550,668,703,1906
8,1423,1061,1864,2492,1432,2485,284,2456,2306,2240,2017,1826,1444,726,872,796,846,1456,2357,969,843,1719,672,1036,2369,1576,430,262,2476,1738,331,2066,553,324,396,9,217,626,455,1910,2162,786,78,1448,412,353,2176,32,1860,1858
9,2092,550,2032,994,408,1525,165,1932,240,1827,1132,800,664,1335,1449,1015,394,1778,1406,747,592,1072,940,489,25,437,838,1795,1493,1603,1610,629,2277,1040,2130,2132,467,2394,663,423,1762,1686,1350,861,1005,2310,1220,2165,2313,2319
