,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,4042,8082,8773,3043,1058,1708,9284,3760,9130,6760,9095,2489,2980,3048,8848,7442,2812,4234,1521,8714,3816,1393,8575,7848,1265,7884,8588,2660,3530,7747,6228,7195,4360,3018,8382,7174,8966,4585,865,2388,3073,1613,2839,9082,6405,8378,9787,5394,2835,1687,405,8176,8603,4213,9638,7505,1792,5804,3226,6055,6214,3203,6299,2531,9485,35,4169,2727,4961,4948,835,2936,1517,1974,5686,2702,167,8112,4560,7413,4425,4269,79,188,7474,1561,8759,6431,3443,5825,5717,5388,17,9962,316,3980,6353,9675,7399,8515
1,2547,4101,178,4125,6923,4405,1314,8031,8242,4983,8396,7802,4870,8174,7709,5547,1125,9654,4107,1776,9347,3218,1249,7454,8912,3557,9947,7547,2347,9854,1649,4302,1364,5347,70,5694,4347,3828,1207,9747,7132,5385,7755,4110,5069,3131,5141,8427,8016,8253,3757,3719,3231,3059,1887,797,2892,4367,2796,9033,1076,1175,2473,3431,7924,9833,16,7526,3132,1098,2673,2914,2699,7768,3458,7966,1980,7046,7122,9547,9025,5747,1378,1855,7883,8437,9235,6877,2471,2854,1617,7444,3539,6951,4290,477,9287,7266,8282,1325
2,9617,4259,2656,1814,1971,4171,3538,2649,10,4660,3914,6576,6968,8465,8621,6284,936,7142,1446,8727,4831,586,4901,626,4594,363,6565,8699,1223,5152,1059,6693,6687,9748,4804,2520,8965,5178,7364,8810,5853,2082,3726,3371,1165,3521,2428,9122,1259,3348,4551,6800,6493,1681,5722,7724,6918,8591,2443,9520,8905,2556,5371,866,5985,3363,8491,2826,7557,1987,9351,6712,8289,6367,8426,3379,3192,7009,3690,8193,712,807,8038,4231,875,7687,9799,1190,7929,7770,7211,8476,4409,7355,253,4764,3197,4394,3340,4988
3,9461,7776,7830,6623,4025,5568,4674,5165,5030,6945,1807,4188,1264,4633,5137,6318,4078,5296,8558,3748,8200,1218,4598,6441,160,9194,8973,8765,5045,1271,4318,2100,9074,7711,5827,5545,5337,3509,8417,1414,6924,1779,7808,2176,7325,4967,1589,2149,2545,8339,6107,6559,5647,8220,277,4755,6026,7955,2543,8114,857,5534,2662,915,2263,9173,3823,979,8860,3807,4937,8387,2753,3516,444,6878,9536,18,1127,4978,336,3872,6232,7886,4180,7319,4147,4753,8796,8364,3794,3686,9147,329,442,2579,265,7348,9809,8274
4,8587,7508,1381,3986,8910,9753,4920,1029,8109,6378,8580,8215,7042,1774,381,6592,7741,9570,8909,4921,776,7306,8137,1510,3278,6310,4316,1568,2720,1250,8895,2535,1421,7742,633,5421,7273,132,5790,6620,1334,7833,8799,1462,1502,3744,7180,2639,379,3361,3246,6537,6270,6839,8622,6755,293,3342,7927,213,8763,9476,7243,4414,8710,4322,1040,3817,2508,1721,6413,9295,2098,7959,8093,4868,3453,4377,5018,1022,1847,24,9640,3320,4340,2350,6142,8917,4081,4706,4018,7645,3312,9702,8495,90,2210,7322,4906,6177
5,7855,2244,3041,4218,7852,4774,5197,8825,5855,2255,3769,7384,8124,9278,6927,4039,4338,4270,1822,7991,5599,4780,9655,6080,5752,826,409,2478,3838,2580,3146,6778,2376,6746,184,2146,4346,6720,4168,1302,5422,1546,5710,4651,6096,3466,5481,6144,9119,3893,9409,7267,3065,55,9403,5262,4449,525,848,9966,9455,9592,2346,5051,9746,3766,7300,8512,7286,4114,6225,2283,95,3960,751,2055,9855,8947,9870,9090,3299,5680,2830,4511,2121,9580,3455,8146,1592,3031,8760,7177,2028,1537,8557,1852,2099,5406,146,6200
6,4656,85,6597,4826,8150,4784,5085,859,1551,3566,1348,2301,2187,8716,5026,687,3116,263,7885,6536,5413,2105,1885,7247,7842,1716,6085,2040,7552,7600,3500,3685,8866,5685,6685,6499,9767,197,5570,7773,9642,8371,7085,7416,5248,1011,4816,2310,6743,2228,8589,3682,9567,5060,7685,6516,9394,8316,3534,7837,2455,1780,8353,7357,56,7819,3881,8443,7969,3545,4355,2516,6186,63,4566,285,3147,2375,8516,1982,3993,5166,7695,5626,9285,1432,4916,9158,5490,638,2426,8045,9216,4669,6819,1516,5939,3610,3060,4716
7,4842,3609,730,3662,7772,438,6290,984,6364,8010,4525,6936,2327,4267,2081,9449,4311,2368,4251,3276,1730,664,7495,512,26,6915,8693,7947,2230,7371,1006,8869,8922,6017,9531,1596,4794,7029,5322,9689,3948,5695,829,3272,7330,2623,5564,4953,6958,9596,131,7265,6307,6467,6253,7083,9367,4260,9577,7146,3324,1886,6795,2252,1463,4965,4627,7182,5643,6767,4263,1326,1387,2188,2868,8643,6939,65,8935,419,8001,4379,8678,7161,692,7935,6417,5596,6224,8741,7068,3052,7086,8931,988,39,1186,8255,4786,5424
8,6971,7690,9824,4030,3616,879,869,9895,1591,1431,6644,6793,7237,9902,622,5506,1594,3576,8462,2902,2248,4401,7585,3393,3717,502,9900,8692,7640,3204,2430,4398,9192,64,1106,2538,4067,5426,7951,8425,8706,9157,8125,694,508,8206,1946,598,3674,8088,9318,2716,9553,4733,5003,7613,7703,9871,7906,4950,1402,7321,36,2418,9589,6384,5845,785,6175,1910,5410,3392,4507,6183,2234,1553,8106,2967,5908,2573,3401,2697,2014,8856,7665,7869,3824,3654,248,1226,383,9653,9441,5984,8659,1525,4495,5527,4795,7455
9,8333,2733,1155,8434,432,889,3882,5566,3982,189,2130,1965,4175,5360,1548,8733,9253,2168,7592,9624,8897,1691,933,6502,6786,268,2480,9897,4301,5468,6268,1114,6306,5392,5589,3225,1533,6445,9491,926,6009,6247,3329,6454,5877,6010,5068,3036,8328,8340,2468,8300,868,10000,3380,3467,7278,3733,1178,9197,7533,2918,7804,5933,883,5104,4924,3136,1590,1668,1567,668,8266,5624,4512,9522,4668,4237,6892,9181,205,8784,1333,3243,7792,9076,8933,3639,3144,6868,421,8868,9374,2622,8189,8003,6946,7632,2165,5961
