,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1366,3188,1875,2410,849,3460,3137,3202,1943,2298,250,1546,516,2968,2840,2197,946,1948,1807,1,721,1374,2674,3469,679,1241,2812,1576,2187,958,1946,867,689,2294,399,3019,1661,3361,880,3424,1352,1266,1372,410,2778,1607,2587,2251,3000,1557,2026,92,376,2589,1045,3338,179,677,2945,1605
1,2527,420,855,3250,641,2918,1552,2145,2300,2029,3051,1405,2377,1227,585,1079,47,2,3519,3220,3255,2456,102,640,1860,70,89,2138,643,3286,2990,1424,663,1486,2920,3018,1888,1782,1498,1139,954,3158,2747,1412,3542,1848,196,2942,518,3053,345,1180,930,1799,259,3471,2399,3527,2345,2909
2,204,529,1580,3427,3428,2037,243,358,2776,2845,400,94,2238,1354,1278,534,2252,463,3495,1198,252,627,704,1541,1325,843,2571,2059,248,2829,3028,3600,1497,2057,1554,1448,1844,1853,1856,3244,2477,3080,349,1783,3055,2280,1928,1622,802,1692,2887,13,1830,3034,1285,3116,2650,3525,2666,2243
3,899,159,854,2564,824,2363,2172,2050,2928,1300,3426,3068,932,1202,454,1611,553,1414,783,1818,817,2279,1235,968,237,3078,3592,2246,961,2873,3046,1423,406,3535,510,2222,2094,379,1909,2014,2902,3374,1679,1666,2556,3017,1117,1768,509,3340,2951,2901,2517,1427,2044,290,659,270,2546,3299
4,4,1588,614,1402,3559,2862,1626,291,2766,2296,332,3049,3287,3302,2218,1322,360,230,3157,2427,1444,1905,1274,3396,1306,2590,2755,2903,495,2135,153,2751,2126,3065,1667,45,1763,1004,2916,832,1775,2396,978,1090,779,1648,3022,1030,2019,1651,2227,2115,2022,1205,1435,1584,1960,1924,549,3404
5,1757,2362,3043,694,2680,2793,314,426,1619,835,2623,1983,827,2506,1451,1971,3193,1737,2964,952,1963,535,625,2868,63,965,29,2451,2816,2569,556,1121,2223,743,3119,172,2706,1568,2139,2364,2111,3324,3160,2935,2567,1163,786,3531,2124,1009,2520,2006,569,1827,467,3312,2544,464,475,2811
6,3384,3490,1474,127,1689,2052,637,1041,1521,417,3474,3433,2117,3395,2143,3179,2606,678,1657,1453,2842,1371,512,848,1208,2486,798,3164,3040,724,3488,3440,590,2431,2236,1674,2767,2471,1913,851,3483,1269,326,3214,619,486,465,568,1500,714,3042,3513,1091,277,1445,1766,3290,157,1829,155
7,2712,1357,3383,2463,1108,2338,2734,1123,1054,2704,2659,2875,1519,645,825,1649,2645,419,702,35,864,3504,3172,193,539,2390,1959,620,2090,1833,1840,1122,1761,976,2150,2890,1039,591,2151,2848,1016,905,1720,2791,2180,2412,3343,3007,2404,875,2453,2303,2854,891,1455,2154,1146,1491,1641,1508
8,1633,2743,1458,3413,1237,1311,883,2237,758,2759,1525,622,2129,1604,3367,1190,2930,543,792,794,1574,1231,1033,1675,1850,2028,3345,1544,309,3289,665,2248,151,1956,1204,1192,1747,3472,833,1327,2233,1685,2611,1348,2836,2961,3256,245,1331,2861,2607,716,1211,2409,2910,2939,2523,2489,2046,212
9,2214,3077,2331,221,2852,2290,1518,1197,186,1457,2563,3001,771,834,597,3577,845,1171,2123,2970,1711,1494,503,1007,2253,1275,2152,2733,2283,2186,780,3497,481,670,3327,2530,1353,111,1446,1389,2728,3121,1053,2982,1164,900,2993,3217,1903,1492,939,1733,1955,3480,1941,2339,1594,1142,1536,842
10,3228,3590,2354,2717,59,1113,1995,1047,691,1479,2788,1694,2413,1809,2183,1114,353,2004,3245,2260,1752,2512,871,2969,162,3444,3288,3491,692,948,12,687,2074,469,338,2676,316,447,3275,2870,2952,425,2386,736,3558,3056,2783,676,3530,2181,852,1347,964,2729,521,2648,1064,1087,1073,2033
11,1682,3177,2549,2828,1684,1184,2207,181,2651,337,770,2011,3037,1569,1207,3129,2730,3534,1430,3390,2360,1151,3561,1056,1120,2762,3099,1339,233,2966,473,1048,1067,2781,2010,667,2801,969,915,2664,3303,861,1276,1349,2269,564,612,3397,344,2105,2732,2516,1298,1012,2980,2977,200,558,244,1104
12,2631,829,1691,966,2531,531,2209,1429,773,1632,300,1215,1670,800,1887,2695,2259,2917,929,945,2528,1756,1788,2515,2449,1672,2671,257,2164,1620,373,422,1665,2872,2568,1533,728,1093,980,1972,803,3381,421,1668,1699,1003,2032,2703,3133,1239,1883,2992,3415,3156,2574,1252,3216,1488,3180,2327
13,1125,494,2613,2428,2973,2230,3182,1938,438,1695,2213,604,2893,562,545,3271,3081,1592,3365,974,2627,2739,2149,3451,3589,754,3248,3254,3388,1152,1253,2509,1522,1075,3539,254,3378,1717,2684,2358,2442,865,698,227,456,1563,3201,2444,6,391,917,675,1050,263,1094,1080,1882,2923,75,922
14,507,3265,920,1873,2534,229,1926,2989,1417,2039,1515,194,528,1647,1059,235,2738,2134,2443,1396,2625,3593,1503,2159,3257,1469,2330,3136,1732,1970,1800,537,3226,3083,97,1411,1267,3496,1483,455,382,2851,1323,541,2988,1165,577,1771,3524,310,2841,3070,3074,1962,1316,953,3206,1803,1754,402
15,2802,384,2023,3139,110,1038,2440,136,1185,1265,2724,2986,1081,1154,1321,1550,2031,496,2994,1284,2844,2705,2402,2241,1637,2212,1069,1991,2421,444,2561,892,3432,1570,2292,3417,7,1780,223,2382,2086,2537,16,2080,2383,2603,616,3105,642,1206,1520,477,289,3295,3187,3127,1177,2406,1976,2637
