,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,2626,3559,2564,550,1794,2151,1877,1511,2499,1957,891,2465,1418,5,723,625,604,2858,1551,1296,3494,3244,2134,3408,2703,3078,2909,1765,1225,1695,598,1473,3071,931,3036,1939,3248,1882,779,103,2469,113,1647,743,1681,3196,87,155,2672,2719,2994,363,933,1744,1498,1067,2141,2147,2005,1417
1,954,494,1209,3267,3239,1906,2253,2731,872,3317,3451,413,2451,3313,381,1285,2988,1510,2588,2714,1745,19,509,2832,1000,1446,669,3119,1219,3065,2038,1611,3085,968,2609,1150,525,1237,1837,961,3205,3102,1461,1234,237,2225,1863,3471,1023,608,729,2920,2307,215,319,2048,3213,2947,566,1357
2,542,3413,290,955,152,111,661,2213,702,3558,301,1740,805,2384,3149,2349,191,1437,1641,2843,495,1381,634,797,2889,1953,3285,979,601,472,1989,3301,3414,2544,1404,3302,744,1569,2605,2195,1620,3486,3107,1198,2381,700,3370,2230,86,3183,1491,2270,1017,2509,3087,1895,581,2819,1480,3530
3,1931,783,233,154,1318,2146,423,3534,648,150,1880,2051,909,2144,1051,3336,2339,2388,865,2938,3276,2373,2771,2873,2269,2258,73,792,438,2860,2501,3245,1238,3574,133,1988,1185,2027,1806,1047,1665,3368,600,2127,2643,1183,1186,3551,2205,2700,2126,2397,2350,1791,1110,249,650,1975,1860,2346
4,2599,2036,937,441,1314,1021,703,31,194,715,1390,1575,33,1014,2533,998,3327,3098,1523,2492,32,2550,1045,2636,529,3480,1605,2206,1801,2930,1923,2177,1325,2280,1248,3282,2060,2427,1038,1151,984,3207,3250,828,47,1591,2903,2801,3120,2897,2300,2237,3552,2674,3355,1220,1226,108,1310,2721
5,3089,1561,761,318,2826,2908,2706,2047,1531,1702,2912,1003,2518,788,217,2681,2853,3596,2356,482,2101,611,3278,3227,1143,1116,2952,1019,2992,2180,403,1999,464,3147,850,3588,735,1736,959,458,978,878,1729,3010,2301,497,570,1819,1429,2276,3141,2590,1020,1062,2742,1425,1937,2937,1668,208
6,2851,295,2366,2375,2001,2950,67,1478,1698,3048,1661,1466,2661,447,1228,3106,2334,2053,827,3384,1777,2326,2348,1714,2374,938,437,1590,3162,173,2545,2837,2484,936,1776,2252,2885,2090,1419,127,1949,161,2986,1061,727,3165,375,2881,277,324,1013,2810,2423,3033,2702,1431,1494,175,1887,2670
7,1163,2086,3332,53,819,1516,610,2181,49,153,820,1356,3103,2311,2651,1638,1481,1705,1214,1363,2085,1878,1603,2654,1556,2537,2756,222,1397,3312,57,170,1543,2510,1962,517,2940,1987,1898,1684,2750,1778,2965,2607,426,3568,1623,1022,3194,2425,1731,1787,1609,1648,2386,2592,2650,682,2504,3211
8,167,1992,213,1783,3321,1281,3561,424,2577,109,3271,1944,2021,1677,485,1650,250,2171,2398,3220,701,880,186,547,859,2460,3178,3094,1277,2981,2890,3064,2313,847,2337,1589,1170,2455,2984,3577,82,1737,2900,3360,2635,1513,784,1378,607,2578,1775,162,3206,1395,1153,1941,1845,248,3397,1430
9,2129,1069,676,24,2462,2547,138,2441,694,2091,2585,3359,1850,3325,2063,855,1245,2429,439,2452,1633,1443,1450,409,3340,1078,2142,1598,2416,1471,629,663,1428,2662,1255,376,993,314,2812,3299,3035,1380,1741,3108,401,2194,2789,874,2100,1350,1373,3351,2624,1100,3421,1982,1451,972,3318,3182
10,1732,796,3569,2745,2993,1250,2830,2507,462,1500,2209,84,2283,160,945,1779,3503,2092,3198,1800,210,2735,2056,3252,2409,1858,2822,1103,683,3265,2997,1585,425,2791,1076,2163,2026,1825,2182,1564,868,1246,1366,2308,2775,2553,2114,1998,1833,93,704,2419,921,144,1721,565,2486,408,1433,2611
11,1869,2478,3515,3204,3419,2125,128,1909,2107,1652,2174,1959,1604,164,628,1485,573,2641,377,1361,21,1391,2034,75,1315,841,2117,3581,1723,3258,2111,1413,3153,3193,2359,2007,1182,1799,326,2736,3208,1126,304,2468,1870,3081,1747,1701,480,1216,1875,989,468,3061,3452,199,1345,1423,3395,2615
12,179,3319,854,3583,815,3599,3145,392,2302,379,1824,3075,2916,786,511,3473,339,172,2175,2360,3407,1133,606,2973,1929,2323,287,2759,2941,44,2235,2138,184,1344,964,2862,653,2188,1147,3416,2743,2412,3398,2220,1392,1279,3504,681,2485,329,2770,3428,12,1107,2275,145,1490,440,1752,2437
13,1902,3353,2413,2407,3571,2464,3069,932,449,183,1922,198,1424,764,2249,2014,2196,853,189,176,1493,1533,1109,1885,1282,3434,3478,451,1807,2496,1912,2199,3050,1178,2255,343,3549,3304,136,2030,2167,2318,1462,631,1104,970,435,3405,3049,3311,2002,1991,1599,196,2372,2653,562,2631,3314,206
14,2221,824,3544,2658,3433,1836,672,90,1389,684,2967,2483,759,500,2699,346,568,2729,3570,564,1159,947,1873,1628,1568,790,551,871,2140,3492,567,3083,46,3576,2608,2065,364,3479,3281,2899,3287,40,1861,1086,1571,1177,3387,2686,6,3076,2192,2482,373,736,2794,126,1942,3031,1756,2898
15,1249,2457,3146,3054,345,2303,745,2906,1222,3535,1682,1117,623,3296,3338,3363,897,410,1659,2186,1566,3346,3001,3032,388,3003,2035,102,239,1211,330,1915,323,858,2389,2932,2575,1358,987,849,965,2569,1594,643,2357,1280,632,1921,2751,1033,2479,992,1057,3329,2113,1651,2619,3335,2435,303
16,2000,1818,892,178,2461,1401,3308,3209,1188,2136,268,3117,3584,1113,934,3539,2433,1555,1683,1273,2399,1945,1407,374,3016,335,2563,1414,2160,286,8,2526,754,1029,807,1553,2737,1034,1910,3466,3429,3477,1396,1158,2183,2071,3330,746,829,2421,908,1796,2338,1167,2029,404,2491,3361,1544,1139
17,953,2210,2772,2926,1138,1212,3030,823,2215,1769,2152,1399,1479,399,3176,338,2058,1891,3573,141,2841,2914,211,107,2112,2044,2705,2644,3350,3004,3152,3520,1122,70,1095,455,3224,2075,309,2513,688,2541,3018,3379,1693,1822,1755,846,1810,1412,2170,265,2076,3077,769,677,2273,116,2256,266
18,1457,3115,2519,1063,2216,407,3560,98,2666,1979,543,3527,3444,2251,2108,2688,635,341,533,1007,613,1521,901,2669,442,2013,3531,2788,3399,1735,355,493,3483,558,1797,1240,137,3509,706,2395,1980,2319,3593,1099,693,2777,1951,296,1859,2260,3158,241,251,860,2710,3522,1655,1409,1846,3109
19,1365,552,1636,3012,1135,3393,333,1173,2855,489,1483,1565,181,2052,3454,490,2309,730,1602,787,2880,2587,2322,1080,1105,1193,1772,2884,3043,3079,717,3448,1119,967,782,2869,976,2918,2010,2622,456,924,697,1584,2254,415,10,801,2565,1098,845,2116,3240,1557,3114,3488,2579,3262,3590,2466
20,837,713,1394,1946,1467,2383,3167,2158,943,3446,2079,2676,2803,2490,2798,344,960,2945,2325,580,3390,1838,1733,1828,1771,212,541,836,2936,2123,3027,3533,966,253,806,3383,1867,1616,448,214,666,2500,35,2062,2749,1476,235,1338,3122,1697,1927,1560,1169,1065,2018,995,3367,1442,3430,3402
21,3564,3063,1181,2288,2453,1006,2067,2223,1495,2972,2431,2103,1278,2187,2892,1678,1847,280,219,2957,2042,2746,2757,3155,1179,398,1455,201,1842,2802,2863,612,3548,1782,452,431,873,981,3223,2882,2799,1161,427,2549,2848,142,2506,1754,3133,2088,2694,2934,27,94,99,1370,2871,986,236,904
22,38,2470,2842,1582,1904,907,1242,3357,2878,3006,1666,2951,1256,54,651,78,3315,3420,1517,2953,2358,3388,3410,1262,1508,2012,244,2130,2797,1131,224,1612,1175,1382,536,1844,893,1501,2353,2041,2922,1351,750,3259,619,2722,16,1545,915,282,3538,2165,1538,857,2512,2754,2082,2304,1459,2552
23,765,3163,774,1339,597,2233,1484,642,140,3326,2677,3391,839,2069,951,2008,3542,2758,1304,3219,406,2320,2317,1408,1692,340,1474,1823,1990,25,3277,1011,1872,3468,3441,789,2434,1160,163,2066,2189,1608,1342,177,283,3369,384,3547,667,2115,2414,2724,844,2634,2240,2341,1254,1276,3475,2450
24,2596,1896,1444,791,2613,122,3462,386,2671,2752,3438,348,209,1275,2524,3523,902,2567,591,180,2755,2738,1223,292,1379,502,898,561,3514,2094,3222,630,2245,949,1639,1422,2262,633,2895,3288,1089,3580,2428,1347,3417,2331,2971,3056,762,3201,1082,2495,1032,443,1821,2896,1348,2098,1199,3
25,2371,3294,274,1247,2247,1973,29,1330,2711,776,1146,2032,1673,2773,2840,486,1593,2760,3490,2364,117,2489,3341,2488,1689,1180,1268,652,231,2944,2096,1112,2403,3412,894,238,1041,2704,1142,2234,654,2,627,2948,2656,3014,2991,3142,557,1359,1136,1547,1475,732,3186,2979,1784,2476,2970,711
26,2143,120,55,574,1154,1274,3342,1607,1441,2516,1540,1005,833,3510,1865,2330,234,913,15,741,3495,3044,2831,695,2836,3310,867,2850,139,453,3450,3230,1613,3185,3426,1093,1376,973,3164,1123,2796,466,278,3203,1672,1336,3242,1132,1614,1115,2846,1362,2591,1864,3334,3307,2070,2003,360,1074
27,477,262,1205,3587,58,3546,863,3566,2820,848,2627,1934,636,2257,505,3445,1176,1265,3134,1286,1081,2617,308,2558,755,544,2762,1546,731,2748,1680,1027,899,2949,2477,2176,232,3197,3521,3011,916,2556,2266,2009,3184,2440,2447,626,2272,2872,2598,842,1206,361,418,595,3175,1997,2602,332
28,357,80,89,2554,2040,3066,3020,2782,1326,3234,751,2625,2294,1624,2990,1410,752,3226,3502,1644,3469,767,3228,2110,3333,1489,889,1893,1463,2623,997,2472,3257,1766,1194,1671,2131,1637,1635,36,389,939,2211,3059,1905,1121,3151,1606,1562,1190,1658,378,2244,60,2807,171,2530,460,624,2539
29,1899,471,2297,269,2865,2673,1524,2084,2378,1289,353,205,3377,3506,996,896,2982,569,3337,2037,3095,3436,887,1615,3181,2517,3154,1669,112,1068,1118,1849,718,1152,692,3097,2604,2692,1774,2363,2823,356,71,42,1903,305,156,2157,1111,2282,3217,875,2838,2340,3455,1258,1964,670,1940,3467
30,2122,3135,3582,586,3021,2883,1406,270,900,3266,2149,2402,3212,1120,129,2408,589,2443,840,2139,1438,1368,1679,3365,1044,2532,1759,2204,1674,825,428,3256,2667,2715,481,3241,3463,2584,2178,647,928,3157,1156,2958,2657,639,1320,169,1742,7,444,518,393,3447,2279,3375,675,2089,575,1352
