,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1185,135,676,1502,1126,1130,96,1598,1518,704,752,709,636,647,1041,1291,1000,498,227,1512,472,328,1052,1110,211,803,199,151,78,1406,635,1523,1005,1178,46,390,771,922,886,871
1,75,952,193,1371,116,1418,1090,213,1392,611,869,1487,1561,161,497,234,155,1278,152,382,1427,1446,1233,392,580,1312,651,431,1560,194,1339,1548,655,131,1599,664,920,640,191,900
2,288,548,1376,967,1397,108,494,1049,1267,1227,1009,509,1082,741,11,94,389,542,576,625,1394,629,1439,512,1219,577,1346,1286,379,5,1156,83,1362,1430,798,71,1144,785,1374,732
3,1077,1451,416,1500,971,300,908,405,748,326,230,1442,312,1277,452,658,543,772,153,1123,695,1536,1216,630,867,21,1553,973,1208,804,613,1043,703,407,72,637,924,330,1127,1597
4,1301,1244,1180,117,460,671,1164,50,524,575,619,736,574,1404,915,1114,917,831,905,767,764,285,517,1462,1344,1055,256,63,164,844,1356,1413,1177,1484,1381,277,700,34,929,447
5,1272,479,1001,930,600,802,173,1232,585,242,705,1279,502,449,1471,1492,1569,882,488,470,593,316,91,112,1022,1200,1587,1268,713,768,1531,82,1377,1369,561,841,299,535,612,520
6,1433,4,1062,779,978,1420,1506,1187,649,197,997,1287,1367,787,166,1282,418,1596,670,1138,107,399,1263,413,383,1432,1455,54,817,769,569,555,139,341,544,783,911,178,1357,628
7,734,806,1290,541,1448,534,314,1191,149,558,287,833,1583,453,1557,80,1529,122,1425,395,1399,1494,1203,1057,560,74,313,660,714,16,113,1280,1008,1054,955,865,1421,505,252,1248
8,504,834,1466,953,86,1028,134,986,958,1307,1142,373,10,375,1600,1128,1355,70,1117,552,1010,1530,1141,702,602,1379,690,106,79,945,919,283,745,319,1359,1032,1407,683,990,121
9,880,1020,1435,1045,1242,473,1555,8,278,458,171,1255,1024,476,3,1235,1074,1513,518,888,158,402,897,368,1590,1328,1194,1363,85,387,233,401,1292,1193,674,150,1038,1086,661,969
10,335,1570,111,1565,147,916,525,996,140,1476,516,196,825,1485,276,836,895,1133,739,445,205,1078,776,1230,738,434,36,1033,685,1429,1076,633,756,356,652,1108,1428,1102,1281,857
11,1003,363,1103,1544,715,605,889,175,1243,88,1253,443,701,198,578,1545,56,872,258,297,968,33,1224,1120,422,893,1537,1483,598,923,180,441,1558,1499,1438,43,729,1257,587,1158
12,1119,500,440,1517,1116,936,1541,571,1072,906,1046,61,666,456,1269,31,728,1081,1321,1311,397,69,474,348,1176,944,1507,243,563,347,1581,596,954,257,963,1340,469,740,765,599
13,1199,1504,723,84,567,1456,1524,374,1247,983,1538,446,1088,342,48,928,1521,481,999,475,921,1294,1284,1526,572,350,1525,1271,272,337,686,471,22,951,507,878,815,145,249,417
14,727,1098,1095,1306,1017,1575,935,266,1067,1314,1491,830,467,394,100,1105,995,1335,215,981,1508,556,1129,1288,688,606,304,207,733,294,412,826,807,408,241,584,229,1016,586,1285
15,141,725,1486,154,1341,1401,1440,352,1139,1056,221,678,801,980,1065,1300,461,120,1410,355,20,301,370,861,225,200,1112,1047,1215,464,1100,302,421,977,1573,1460,987,203,1516,1040
16,1490,1125,793,1318,559,1050,235,483,956,648,646,842,1556,1089,38,1205,448,847,1220,985,459,1391,45,1143,268,1159,644,1036,1204,1542,790,557,384,138,696,496,853,236,603,843
17,718,827,1169,385,976,894,357,684,248,918,325,796,1449,1574,966,553,1333,238,1505,1273,404,1209,365,358,1042,656,1591,393,424,588,531,1030,409,396,848,511,1445,486,1296,850
18,1165,1080,653,286,532,617,1481,280,777,582,126,1121,1468,201,40,1302,65,162,167,360,1109,1594,601,1480,682,913,187,81,1071,828,1303,1568,1467,1395,706,521,679,1528,681,1161
19,538,692,339,547,1061,490,1431,1582,260,579,862,1447,210,1390,451,159,1539,1515,540,331,835,1361,979,261,246,1459,103,731,1351,491,1137,1181,1350,349,410,1522,870,940,259,222
20,1051,1330,53,177,794,864,522,1025,1012,1173,1319,17,711,1592,1559,254,762,1124,1322,1013,743,1004,32,1450,109,1265,403,188,1091,1039,774,282,279,1270,439,442,482,1493,770,791
21,1310,965,1332,183,97,1011,58,589,1411,6,1175,1146,30,782,721,1189,1571,371,1122,1550,1463,1572,168,1417,799,503,784,592,749,691,876,1171,1470,49,1070,51,430,1150,320,76
22,854,960,667,1336,291,44,26,273,295,1415,110,1048,934,1094,1059,851,214,184,737,903,98,730,454,309,1488,1489,310,1317,1498,1066,223,1387,398,427,1261,1534,590,1532,1104,1510
23,1245,270,959,669,124,484,1422,1183,1589,485,694,125,1035,346,353,818,962,1211,90,1027,1511,943,478,1593,904,604,849,99,1206,480,292,1201,829,1461,423,814,708,224,938,1372
24,822,609,536,816,939,892,1217,1239,1202,450,949,1019,465,231,1179,1163,438,1327,59,1099,726,539,902,750,1085,982,1092,909,514,1275,262,699,133,87,102,1472,1434,1551,616,239
25,884,165,887,436,899,1514,1501,60,1388,717,366,25,378,946,1585,444,343,1444,1197,615,581,1580,533,62,290,508,712,1577,67,1329,1564,1096,77,247,757,1380,1101,873,808,1084
26,773,860,1002,317,614,1148,228,1540,209,1588,1241,1044,950,435,1118,93,1384,1308,28,64,1228,2,1495,693,315,181,293,1562,1068,840,1289,641,1299,1334,1058,1196,176,119,1034,253
27,1520,415,1283,267,933,1298,689,662,130,809,1192,898,634,1250,334,564,1382,204,1014,778,391,937,487,351,627,340,1309,510,992,1402,1151,610,1240,530,1170,428,591,1419,941,338
28,623,1464,137,568,639,359,118,1323,673,657,1274,1324,202,324,1093,759,1184,747,1295,39,1262,251,1353,1207,37,1345,838,89,1408,621,19,160,1595,820,1354,323,226,1584,1358,1368
29,289,308,1069,354,1452,792,192,318,1134,1509,333,1053,1167,1348,631,41,573,925,1031,1060,1212,1370,468,1533,1293,650,163,1325,1029,1236,1136,148,18,433,845,1316,7,1168,68,1023
