,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,2177,2198,135,278,3243,2659,687,1927,5224,1806,3955,5616,7871,7135,823,3252,3751,7988,9747,3140,5269,9482,2206,4173,4586,6305,7407,8042,939,8930,4532,5748,1486,7167,1965,9221,3760,6985,4625,9272,142,6815,7641,2257,8801,8511,7916,2460,3674,5162,8307,24,4160,7197,5583,8023,4478,6347,6432,4593,2299,6036,8788,3205,9793,2907,4041,8529,6751,6945,3684,1780,9337,6921,212,7222,3712,1357,8353,493,1289,6517,5995,4217,2508,6649,2354,2848,5884,7187,2538,5905,21,7343,3391,7873,9416,6721,4946,9848
1,8791,6487,5942,3510,6435,366,575,6461,3893,1933,9583,8845,5293,8544,6366,2363,403,1492,6402,4888,1280,2674,9149,4451,602,3459,648,116,210,8662,6235,8118,8664,82,7561,7487,3202,6906,8623,5798,982,9163,2035,2647,5383,7807,9516,8563,1987,767,3584,1829,1434,3095,8448,6629,516,4858,2698,9946,397,1662,4352,4616,6843,4334,4011,1842,3200,8858,8636,2566,8725,550,2352,8162,7646,7725,8663,2370,9533,7703,6894,7784,1454,9083,9724,7301,1351,276,4804,1616,8217,9071,4611,8913,7756,6173,5327,563
2,6679,9222,4881,1951,9295,558,7710,9725,9919,9907,3518,9174,6104,1197,4932,7753,7579,81,9199,6986,6241,8599,8261,1146,114,6645,4146,2881,3302,621,4293,5621,5561,1800,8767,2936,8766,8463,699,1388,8573,9333,2445,716,1126,330,1107,2415,9041,49,738,4019,2534,410,1502,9357,5316,6405,529,5852,6773,4643,4787,4690,8711,9520,864,5888,7786,2270,1456,1345,7946,8089,8904,6736,732,5218,3872,5581,5419,4322,7403,3235,9045,5781,7553,6824,6004,4931,7479,5160,1050,5977,5106,7894,1283,435,7198,3723
3,7606,9726,7484,3601,8302,3117,1179,588,611,2258,5840,1785,6352,2621,8783,4134,8054,591,4682,7451,4088,7402,5009,6562,5143,967,4298,1814,7669,3281,262,6791,7471,8704,1787,317,8112,3504,222,1031,7012,2734,3664,4105,1908,5675,5319,6023,3529,698,1638,7488,3997,9081,852,9060,3325,3439,8745,3427,5334,1415,6433,4823,6981,4972,6506,7353,9595,9507,8554,5596,3521,8844,8700,4239,9039,5131,4071,9414,9764,7976,4018,3603,5986,6817,5384,1925,7900,1953,8259,6711,195,4874,2002,2196,3047,1990,6358,8146
4,8628,7443,9660,4272,4335,6516,2911,8786,2016,290,4846,2148,3320,1490,3381,4268,1683,9975,5644,9926,8388,9431,3209,3240,4133,241,8120,7425,4933,4620,4894,4647,8708,855,8811,2468,2069,3534,5196,5585,3845,8108,2240,1696,9387,183,8323,6083,2953,4191,6254,991,5972,5249,8375,7313,589,7404,3501,3410,3860,5998,1459,3380,1824,5460,3732,3330,6313,2093,1163,2962,8050,492,7604,5455,4610,7665,8630,5454,7431,1665,7910,7643,9810,4400,4897,6999,1477,7273,2565,9785,2126,9599,247,5472,2839,7193,7181,5892
5,5820,4776,5074,8274,4136,6053,7411,3285,9301,8621,9920,3753,1568,6529,2483,7389,622,9718,3387,3756,122,377,4109,5059,1932,1435,9013,8692,2408,593,8367,4072,45,3594,6616,6048,4035,6384,6477,507,42,9123,9260,2795,2996,3312,2019,3576,8339,2582,2735,246,9949,129,7265,2163,5366,2021,6527,8003,2247,820,3773,4055,7573,1291,7696,9742,7899,6561,5462,10000,1109,1592,5594,1988,7716,9906,8522,7286,8265,1470,1875,148,9748,540,7269,1971,6332,1232,9284,7367,9767,7342,6167,9585,9684,7102,2775,1086
6,1095,9838,16,2395,972,2006,1931,7506,8135,5887,4778,8428,8124,2507,8611,9283,9806,6878,6196,523,965,2980,9179,5739,9355,7617,3393,3415,4045,8506,9011,9368,3100,5751,3180,2623,6597,4223,3247,1433,7392,6266,3059,6103,4454,4309,2004,5980,8356,8982,3641,4502,1805,7388,1008,139,8942,6474,5045,670,5182,2254,5726,1679,1242,9208,9543,7340,934,985,5698,8547,8435,564,5264,7624,7634,6442,9026,8220,9417,3009,9800,3761,93,2072,3443,984,473,5532,3694,751,8158,6182,1029,8542,3457,6507,6001,437
7,2685,8480,3275,7818,9288,33,7520,6598,4005,9693,6348,5360,7993,5841,6876,5094,7602,6367,8861,9219,1177,8113,2956,1994,6079,6979,5209,3125,6120,5984,7963,3411,268,291,5989,3695,566,2764,2973,1248,9367,8504,653,1611,5953,216,7654,6623,7319,4747,7186,4017,3995,4443,851,8010,7380,1219,3848,8474,9231,8284,1117,5072,3242,3342,5672,4393,1768,2741,6445,4873,5789,502,8995,441,8476,9171,6439,6883,4525,8679,1013,709,7521,5296,8895,6726,961,324,5844,2287,4220,5804,7210,1141,616,7259,4412,5802
8,1122,9046,5276,9120,2824,5369,3199,6063,6058,2323,3192,4570,4856,7217,4597,9192,1173,3874,5521,3397,8780,8814,9315,4714,615,9032,1682,3660,7206,5470,5091,4087,6826,6695,1975,1475,1969,7159,8171,9537,7907,9075,8738,9626,1051,6786,1002,3425,2928,2376,727,6968,6754,3091,1729,8107,327,6152,461,2564,1103,3065,8253,126,2455,2803,5848,937,7238,9339,7144,5515,6112,5713,7080,2356,7383,3515,8427,1783,6024,5709,2864,3899,7104,5174,2701,1722,3422,2433,8313,7377,9712,6526,8806,4122,872,8875,6280,1864
9,4983,9732,8905,5153,4311,1195,5575,3994,6742,7062,986,9314,5746,4598,7609,9270,4152,1040,594,4484,5856,7672,1671,3941,1504,8180,7724,6221,4038,5347,973,7450,8354,5146,6145,5401,1056,7875,2238,3500,2924,8776,5183,1765,7006,3721,1500,1391,6930,87,7071,5573,5493,3131,5929,6973,7586,6162,468,8496,7399,5830,7925,9321,2167,315,8384,5155,6535,572,2724,7256,4807,4176,8758,3294,837,1048,467,1015,6211,1022,6513,140,743,3046,7299,5562,9887,5873,7727,209,7290,2472,8407,9600,9206,9604,725,8627
