,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,18,702,437,494,694,587,439,221,291,187,332,579,456,340,47,798,506,647,544,854,77,563,709,41,467,542,751,783,65,344
1,171,464,263,297,430,550,95,389,826,537,682,817,566,633,162,770,43,119,121,133,839,200,359,328,99,813,883,247,864,815
2,740,578,534,435,3,553,146,631,574,75,264,97,44,271,412,867,373,381,663,680,673,756,704,545,249,414,230,490,681,452
3,744,601,7,199,329,157,361,8,689,567,182,192,237,718,800,163,265,677,692,122,706,858,555,662,296,198,855,761,468,446
4,208,120,424,672,502,725,251,572,807,224,785,176,116,829,482,716,741,451,832,234,453,510,443,402,355,92,106,629,58,600
5,253,319,606,543,509,258,320,255,193,782,155,597,698,565,661,142,294,881,786,745,38,27,899,602,405,345,491,229,462,455
6,519,842,283,222,830,584,262,586,428,885,628,795,688,272,520,190,293,201,185,810,54,372,609,288,470,126,804,69,101,599
7,552,15,559,322,275,459,699,652,580,260,317,228,85,6,343,728,743,894,622,325,811,738,248,505,181,642,400,365,244,717
8,358,695,348,416,512,775,471,892,856,819,212,503,675,660,723,650,148,188,153,123,68,165,546,641,35,303,705,645,91,139
9,295,90,13,809,737,20,701,70,752,362,460,267,897,525,286,570,213,900,78,841,581,398,109,326,526,859,747,158,750,175
10,803,86,330,463,211,724,564,877,173,179,318,833,485,261,60,862,638,535,843,61,504,284,562,287,24,168,620,762,540,458
11,423,861,273,426,583,385,840,621,154,757,497,370,246,664,472,603,449,22,115,84,386,484,216,314,846,777,180,160,876,431
12,749,66,646,818,240,50,764,822,194,127,36,197,607,151,659,667,648,356,582,797,656,640,383,305,403,831,110,551,170,290
13,595,34,848,313,79,378,532,821,17,394,596,104,475,45,666,528,339,89,625,396,697,766,799,849,338,445,166,875,417,289
14,118,635,878,135,624,49,533,12,254,802,351,714,806,575,369,408,733,637,444,376,409,191,366,48,816,866,130,9,891,336
15,536,613,323,349,851,523,516,835,808,266,499,334,81,556,364,29,489,708,64,433,591,715,128,250,312,397,183,96,879,787
16,368,367,554,399,693,630,245,341,300,167,150,342,788,871,700,278,758,886,873,670,429,790,186,393,651,37,107,415,19,108
17,561,270,524,691,598,302,285,679,674,379,735,589,31,280,21,527,493,231,131,558,760,102,763,531,159,614,406,457,684,480
18,590,259,223,147,548,765,759,46,335,780,793,769,252,487,395,665,62,363,703,476,71,337,401,465,626,10,773,483,178,754
19,388,791,529,274,232,863,438,772,407,1,353,469,683,202,736,51,448,206,440,850,112,387,210,616,209,771,391,823,26,837
20,500,310,732,421,893,333,685,23,143,812,820,649,612,117,243,501,307,792,518,419,227,324,125,33,382,114,668,887,870,55
21,828,140,311,711,617,195,481,80,784,422,720,169,789,615,655,149,392,268,172,454,547,801,28,411,304,236,889,357,196,794
22,331,508,103,836,269,541,592,557,727,238,257,573,571,76,778,225,492,796,282,588,67,354,678,52,838,585,390,308,847,56
23,57,207,138,410,134,627,292,141,722,309,214,710,83,375,888,2,845,874,132,753,511,347,432,857,890,576,895,316,739,39
24,690,507,608,281,852,276,59,277,161,644,73,768,869,87,14,604,776,42,721,32,486,352,860,384,568,461,189,726,730,418
25,184,623,814,82,98,538,653,657,427,220,450,517,496,658,707,321,654,203,882,441,569,853,731,218,643,239,156,136,30,315
26,144,824,594,834,256,152,298,474,4,611,434,560,111,746,100,145,521,350,279,105,868,687,242,729,880,884,577,16,404,686
27,610,495,712,696,513,779,241,299,442,748,767,498,671,676,217,371,301,124,74,619,93,129,477,734,113,174,235,713,360,634
28,805,774,488,306,226,215,478,40,346,742,896,11,233,618,898,436,72,669,204,473,639,5,420,827,605,466,53,844,94,632
29,377,719,413,514,177,522,515,865,447,219,539,88,164,636,137,549,479,25,755,63,593,380,327,872,825,530,425,205,781,374
