,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,567,122,800,8,329,677,744,163,761,718,601,237,858,182,692,855,555,199,7,662,706,192,446,689,361,468,198,157,265,296
1,75,680,412,631,3,381,740,867,490,271,578,44,756,264,663,230,704,435,534,545,673,97,452,574,146,681,414,553,373,249
2,179,61,60,877,211,535,803,862,762,261,86,485,284,318,843,620,562,463,330,287,504,833,458,173,564,540,168,724,638,24
3,422,454,655,80,617,268,828,149,357,615,140,789,801,720,172,889,28,711,311,411,547,169,794,784,481,196,236,195,392,304
4,802,376,369,12,624,637,118,408,9,575,635,806,191,351,444,130,366,135,878,48,409,714,336,254,533,891,866,49,733,816
5,644,32,14,277,852,42,690,604,726,87,507,869,352,73,721,189,860,281,608,384,486,768,418,161,59,730,461,276,776,568
6,611,105,100,474,256,350,144,145,16,746,824,111,687,434,279,577,242,834,594,729,868,560,686,4,298,404,884,152,521,880
7,224,234,482,572,502,451,208,716,629,829,120,116,510,785,832,106,443,672,424,402,453,176,600,807,251,58,92,725,741,355
8,782,745,661,255,509,881,253,142,229,565,319,698,27,155,786,491,899,543,606,602,38,597,455,193,320,462,345,258,294,405
9,187,854,47,221,694,647,18,798,783,340,702,456,563,332,544,751,709,494,437,41,77,579,344,291,439,65,542,587,506,467
10,812,419,243,23,893,792,500,501,887,117,310,612,324,820,518,668,125,421,732,33,227,649,55,143,685,870,114,333,307,382
11,260,325,343,652,275,894,552,728,365,6,15,85,738,317,622,400,248,322,559,505,811,228,717,580,699,244,642,459,743,181
12,167,670,700,341,693,886,368,278,415,871,367,788,790,150,873,107,186,399,554,393,429,342,108,300,245,19,37,630,758,651
13,537,133,162,389,430,119,171,770,247,633,464,566,200,682,121,883,359,297,263,328,839,817,815,826,95,864,813,550,43,99
14,127,797,659,822,240,356,749,667,551,151,66,607,640,36,582,110,383,818,646,305,656,197,290,194,764,170,831,50,648,403
15,220,441,707,657,98,203,184,321,136,658,623,496,853,450,882,156,731,82,814,218,569,517,315,427,653,30,239,538,654,643
16,748,619,217,299,513,124,610,371,713,676,495,671,129,767,74,235,477,696,712,734,93,498,634,442,241,360,174,779,301,113
17,819,123,723,892,512,188,358,650,645,660,695,675,165,212,153,705,546,416,348,641,68,503,139,856,471,91,303,775,148,35
18,394,396,666,821,79,89,595,528,875,45,34,475,766,596,625,166,799,313,848,849,697,104,289,17,532,417,445,378,339,338
19,379,558,21,679,598,231,561,527,457,280,270,31,102,735,131,406,763,691,524,531,760,589,480,674,285,684,614,302,493,159
20,219,63,137,865,177,25,377,549,205,636,719,164,380,539,755,425,327,514,413,872,593,88,374,447,515,781,530,522,479,825
21,742,473,898,40,226,669,805,436,844,618,774,233,5,896,204,53,420,306,488,827,639,11,632,346,478,94,466,215,72,605
22,780,476,395,46,548,363,590,665,483,487,259,252,337,793,703,773,401,147,223,465,71,769,754,335,759,178,10,765,62,626
23,309,753,888,141,134,874,57,2,316,375,207,83,347,214,132,895,432,410,138,857,511,710,39,722,292,739,576,627,845,890
24,1,850,736,772,232,206,388,51,823,202,791,683,387,353,440,391,210,274,529,616,112,469,837,407,438,26,771,863,448,209
25,266,433,364,835,851,708,536,29,96,556,613,81,715,499,64,183,128,349,323,250,591,334,787,808,516,879,397,523,489,312
26,757,84,472,621,583,22,423,603,160,664,861,246,484,497,115,180,216,426,273,314,386,370,431,154,840,876,777,385,449,846
27,362,841,286,70,737,900,295,570,158,525,90,897,398,460,78,747,109,809,13,326,581,267,175,752,701,750,859,20,213,526
28,238,588,778,557,269,796,331,225,308,76,508,571,354,257,282,390,678,836,103,52,67,573,56,727,592,847,585,541,492,838
29,885,810,520,586,830,201,519,190,69,272,842,688,372,628,185,804,609,222,283,288,54,795,599,428,262,101,126,584,293,470
