,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,824,4,298,144,100,884,746,242,474,594,404,145,686,521,16,434,687,880,868,611,729,560,279,152,256,577,834,105,111,350
1,842,428,262,519,520,126,272,609,586,283,101,190,599,293,69,628,372,470,54,885,288,795,185,584,830,804,222,810,688,201
2,508,727,592,331,778,585,76,678,557,103,847,225,56,492,308,257,354,838,67,238,52,573,282,541,269,390,836,588,571,796
3,623,427,653,184,707,239,658,731,657,814,30,321,315,654,136,450,853,643,569,220,218,517,882,538,98,156,82,441,496,203
4,270,674,285,561,21,614,280,763,679,524,684,527,480,493,457,735,102,159,760,379,531,589,131,302,598,406,691,558,31,231
5,259,335,759,590,395,10,487,401,46,223,178,665,754,62,483,793,337,626,71,780,465,769,703,765,548,773,147,476,252,363
6,719,447,515,377,137,530,636,327,865,413,781,549,374,479,205,539,380,825,593,219,872,88,755,522,177,425,514,63,164,25
7,15,580,699,552,343,642,6,248,652,559,244,728,717,743,365,317,738,181,811,260,505,228,622,459,275,400,322,325,85,894
8,495,442,241,610,217,174,676,477,299,712,360,371,634,301,713,767,129,113,93,748,734,498,74,779,513,235,696,619,671,124
9,601,689,361,744,800,198,718,555,8,7,468,163,446,265,761,182,858,296,706,567,662,192,692,157,329,855,199,122,237,677
10,66,194,764,749,659,831,151,383,822,646,170,667,290,648,551,36,640,403,656,127,305,197,582,50,240,110,818,797,607,356
11,702,291,439,18,47,542,340,709,221,437,65,798,344,506,783,332,563,467,77,187,41,579,544,587,694,751,494,854,456,647
12,140,784,481,828,655,236,615,28,80,311,196,149,794,392,357,720,801,304,547,422,411,169,172,195,617,889,711,454,789,268
13,464,826,95,171,162,813,633,359,389,263,864,770,815,43,247,682,200,99,839,537,328,817,121,550,430,883,297,133,566,119
14,613,808,516,536,364,397,556,128,835,323,879,29,787,489,96,499,715,312,591,266,250,334,64,523,851,183,349,433,81,708
15,90,752,701,295,286,859,525,109,70,13,750,570,175,213,158,460,398,526,581,362,326,267,78,20,737,747,809,841,897,900
16,367,300,245,368,700,37,871,186,341,554,19,278,108,758,415,150,790,651,429,167,393,342,873,630,693,107,399,670,788,886
17,774,346,478,805,898,466,618,420,40,488,94,436,632,72,844,896,5,605,639,742,827,11,204,215,226,53,306,473,233,669
18,207,722,292,57,888,576,375,432,141,138,739,2,39,845,316,214,347,890,511,309,857,710,132,627,134,895,410,753,83,874
19,635,254,533,118,369,866,575,366,12,878,891,408,336,733,9,351,191,816,409,802,48,714,444,49,624,130,135,376,806,637
20,120,807,251,208,482,92,829,443,572,424,58,716,600,741,629,785,510,355,453,224,402,176,832,725,502,106,672,234,116,451
21,861,154,840,423,472,777,664,216,621,273,876,603,431,449,160,497,484,846,386,757,314,370,115,385,583,180,426,84,246,22
22,578,574,146,740,412,414,271,704,631,534,681,867,452,373,490,264,756,249,673,75,545,97,663,553,3,230,435,680,44,381
23,319,193,320,253,661,345,565,899,255,606,462,142,455,294,229,155,27,405,38,782,602,597,786,258,509,491,543,745,698,881
24,507,161,59,690,14,461,87,860,277,608,730,604,418,776,726,73,352,568,486,644,384,768,721,276,852,189,281,32,869,42
25,695,856,471,358,723,303,660,546,892,348,91,650,139,148,645,212,165,35,68,819,641,503,153,775,512,705,416,123,675,188
26,791,407,438,388,736,771,202,210,772,529,26,51,837,448,823,353,387,209,112,1,616,469,440,863,232,391,274,850,683,206
27,34,17,532,595,666,445,45,799,821,848,417,528,289,339,875,596,766,338,697,394,849,104,625,378,79,166,313,396,475,89
28,86,173,564,803,60,168,261,562,877,330,540,862,458,638,762,318,284,24,504,179,287,833,843,724,211,620,463,61,485,535
29,310,143,685,500,243,114,117,125,23,732,870,501,55,307,887,820,324,382,227,812,33,649,518,333,893,668,421,419,612,792
