,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,254,179,332,47,60,201,298,112,272,147,234,294,66,228,100,269,251,310,61,295
1,111,63,322,217,41,280,337,255,45,39,320,339,356,210,169,14,51,93,383,365
2,333,107,56,225,335,127,323,399,110,83,3,122,188,6,316,364,168,270,146,329
3,78,397,105,230,128,115,286,319,37,224,87,71,261,363,391,375,80,123,265,75
4,327,367,58,157,262,46,48,150,32,236,301,343,187,389,117,258,221,359,88,64
5,142,151,312,326,237,242,219,366,11,213,276,175,284,165,49,132,252,126,211,121
6,204,381,223,218,89,27,271,207,4,370,35,34,357,355,344,54,120,302,372,43
7,388,360,31,23,102,361,377,216,244,336,387,172,24,8,124,185,331,68,208,65
8,178,30,206,7,145,351,180,114,353,324,263,371,285,118,349,57,249,176,195,59
9,374,12,141,321,191,373,140,148,314,94,134,282,50,386,268,44,293,103,144,198
10,259,177,181,108,341,36,95,328,313,53,384,232,260,199,28,257,72,289,215,183
11,29,70,393,287,281,196,203,152,109,246,166,84,130,277,162,348,368,171,325,13
12,170,155,139,15,380,212,192,248,264,153,161,330,299,67,297,62,288,241,304,33
13,20,91,292,205,79,9,240,214,338,235,229,369,136,194,267,290,138,352,16,296
14,318,116,362,346,18,358,174,40,226,99,379,227,81,119,76,231,90,189,283,278
15,97,345,398,104,160,167,1,376,385,197,133,92,243,154,42,311,238,74,184,309
16,86,19,38,300,390,305,308,5,173,303,98,131,400,190,273,317,137,135,52,350
17,250,256,69,347,340,85,202,222,2,182,239,21,143,149,200,291,96,395,247,274
18,77,392,279,307,156,266,106,113,396,394,17,163,101,55,245,22,233,209,125,354
19,315,342,73,220,275,253,10,26,382,82,164,158,159,378,193,129,334,25,186,306
