,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,356,220,141,321,224,161,342,123,320,74,295,153,3,240,307,77,39,309,12,293
1,201,360,362,245,110,242,19,109,21,289,98,205,211,108,340,359,89,288,79,275
2,118,134,290,52,346,292,28,352,53,178,269,2,272,85,26,247,324,198,344,400
3,299,146,345,214,298,138,376,158,71,226,5,204,40,261,370,41,271,182,357,8
4,43,260,122,207,124,249,319,349,135,353,162,372,48,63,209,13,325,160,246,251
5,131,210,190,388,93,64,82,183,76,100,189,137,365,215,27,329,206,255,396,374
6,259,114,152,84,300,88,381,358,102,176,180,294,167,287,387,237,127,54,60,203
7,155,80,196,194,91,267,47,341,393,168,326,323,258,379,195,20,73,235,253,16
8,49,140,132,83,308,218,29,312,397,270,181,322,361,87,45,337,112,156,239,232
9,216,382,234,81,103,311,115,59,111,188,277,213,44,164,297,191,265,243,304,212
10,399,286,250,171,172,371,310,202,354,116,25,37,149,11,30,348,252,4,238,285
11,282,23,139,244,223,377,70,130,248,159,65,10,151,274,386,119,291,380,177,262
12,350,66,373,145,175,263,333,173,266,281,318,42,148,296,9,99,68,185,221,199
13,227,200,339,51,6,165,256,142,67,120,279,225,305,187,129,169,395,335,46,367
14,78,363,144,315,347,31,273,69,334,95,170,236,222,332,15,58,327,316,128,157
15,231,192,219,375,32,186,117,7,125,197,264,233,56,338,343,390,336,105,174,90
16,24,154,34,284,313,121,369,394,184,317,57,366,217,278,384,150,104,50,113,97
17,96,94,35,328,392,355,230,18,254,179,364,147,378,86,208,107,391,143,72,133
18,228,303,33,92,22,36,276,163,306,126,229,383,314,302,62,330,14,351,385,55
19,268,283,280,136,331,75,38,368,193,398,257,106,301,17,241,389,1,61,166,101
