,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,115,59,190,269,208,272,294,225,165,220,81,194,341,149,381,276,25,166,323,57
1,153,126,313,60,271,169,86,161,389,37,164,351,374,237,228,118,78,24,387,284
2,39,324,136,256,346,52,363,98,290,174,345,247,162,178,142,5,320,252,182,99
3,370,112,51,319,61,109,167,157,105,275,292,209,298,8,244,243,364,318,31,277
4,306,111,88,261,321,177,68,110,72,74,384,377,322,395,251,71,95,134,172,221
5,312,69,392,43,347,97,19,185,355,184,279,203,386,333,53,358,33,27,140,195
6,286,129,205,34,30,359,133,372,193,156,305,186,62,334,170,315,230,73,128,310
7,385,304,93,375,138,66,218,199,302,137,224,197,124,152,46,238,159,242,180,231
8,258,376,400,278,38,291,47,48,201,122,54,7,300,65,356,151,366,183,255,214
9,3,4,50,192,339,102,350,314,260,139,270,307,127,212,202,295,360,328,67,89
10,227,245,240,391,188,378,6,383,145,343,274,87,330,130,75,1,204,285,36,42
11,121,40,155,44,92,96,365,398,26,123,311,259,12,340,393,281,100,382,249,223
12,235,367,120,241,144,15,253,236,196,108,331,173,154,45,299,141,327,266,63,296
13,267,368,158,28,114,344,316,76,216,263,232,11,77,18,94,289,83,390,293,373
14,55,342,325,268,362,189,17,2,282,233,160,396,49,207,217,348,187,150,211,10
15,181,135,379,206,369,317,104,198,58,353,116,91,337,117,246,14,79,280,254,176
16,191,80,171,21,20,394,354,147,148,229,41,329,380,168,283,349,262,9,352,82
17,23,335,264,399,56,213,371,303,125,388,90,29,13,326,163,200,215,119,265,113
18,257,175,32,106,332,131,336,297,85,273,35,287,146,288,103,210,222,250,84,361
19,226,309,248,219,234,239,143,101,397,179,22,70,16,308,64,107,301,132,338,357
