,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,285,399,15,103,62,99,379,56,226,190,11,131,275,282,162,248,263,247,279,298
1,281,348,31,398,116,3,32,194,269,196,318,168,82,40,368,287,258,246,297,78
2,250,9,83,239,323,174,334,81,335,148,199,152,388,85,155,253,38,43,369,352
3,189,57,54,242,117,355,291,339,14,260,147,356,316,121,293,59,68,384,219,129
4,122,317,391,48,236,259,108,191,64,324,126,255,382,240,72,349,63,357,20,86
5,28,308,135,112,344,180,251,8,284,249,395,192,6,186,353,102,123,172,394,188
6,26,296,21,309,397,272,329,205,7,283,79,288,181,380,228,167,377,51,24,90
7,169,210,400,5,267,74,143,294,157,110,340,113,256,299,193,128,146,215,328,163
8,313,307,160,286,177,47,159,70,232,245,141,268,363,91,27,171,332,164,156,301
9,252,55,373,33,235,396,244,330,76,49,336,173,101,362,95,243,120,111,289,137
10,370,34,278,213,314,273,144,206,35,53,69,312,364,125,266,80,231,119,306,218
11,254,153,233,212,229,347,241,238,372,127,178,67,374,115,109,207,170,118,29,237
12,179,100,304,176,302,360,354,280,165,58,366,387,22,88,151,315,30,89,154,130
13,359,358,124,132,73,227,37,385,321,92,203,98,139,46,222,93,361,87,326,327
14,320,60,2,346,77,142,44,375,367,311,145,342,12,182,96,223,201,319,310,136
15,216,350,140,224,66,149,10,185,345,325,161,175,16,392,277,106,376,351,41,105
16,36,338,383,389,195,158,39,61,17,71,381,214,45,331,94,184,393,211,133,337
17,97,18,322,1,217,234,200,84,183,303,138,75,305,187,262,365,343,202,204,270
18,150,274,271,333,198,4,371,208,276,386,52,221,42,197,292,166,104,390,25,50
19,114,19,290,209,65,257,300,220,265,230,225,23,341,261,295,264,13,134,107,378
