,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,105,209,132,265,198,261,80,358,7,255,273,230,400,331,182,260,245,26,1,192
1,62,185,88,259,59,371,243,227,295,85,108,256,318,97,141,174,390,234,222,196
2,25,60,309,18,393,158,219,369,345,203,5,323,120,296,22,398,129,263,16,339
3,297,164,350,217,94,364,30,290,285,148,160,76,4,253,71,149,282,77,302,397
4,236,6,330,325,193,78,396,66,69,232,75,225,156,199,150,73,365,266,251,319
5,395,36,181,115,86,45,246,126,355,168,65,24,275,349,312,361,352,118,366,35
6,113,324,123,258,399,161,157,167,274,27,287,41,173,87,247,107,122,356,284,303
7,39,329,42,370,101,307,293,109,83,363,254,367,79,48,288,316,153,28,128,313
8,197,267,208,240,155,249,152,9,89,337,102,195,32,353,377,21,272,238,289,228
9,135,139,165,131,212,344,204,394,142,74,332,98,333,315,374,47,40,322,50,159
10,362,241,29,300,117,327,154,359,67,216,277,201,257,283,326,206,82,91,84,31
11,138,52,231,2,179,379,213,270,51,239,280,46,210,221,244,292,248,376,269,70
12,268,271,373,215,294,13,34,119,348,114,233,188,20,137,276,388,53,49,237,380
13,72,392,55,140,111,328,61,346,314,252,281,54,387,99,90,44,169,334,134,347
14,124,186,92,187,335,116,14,375,175,176,340,386,146,200,306,202,95,133,242,180
15,320,336,81,308,96,305,385,127,317,190,12,171,145,183,136,194,357,166,125,56
16,214,321,384,205,382,10,351,144,106,100,391,170,33,147,112,291,184,104,304,57
17,301,103,338,207,278,162,38,23,218,178,298,381,223,130,63,143,191,378,3,354
18,224,226,264,211,151,15,372,68,250,342,229,279,310,93,172,58,19,341,343,43
19,383,163,235,37,177,17,368,64,220,311,8,299,389,189,121,286,262,110,360,11
