,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,158,384,377,24,261,151,365,285,257,127,252,156,21,70,189,101,159,180,132,361
1,126,23,322,290,396,144,86,382,71,362,113,399,1,303,137,179,319,199,83,75
2,39,276,42,246,318,264,232,251,395,293,209,175,239,95,58,31,231,192,295,129
3,243,210,357,306,321,120,41,282,138,284,173,272,304,356,4,80,123,245,117,34
4,269,338,398,381,85,366,236,165,92,14,359,203,122,36,106,5,270,110,324,131
5,320,105,335,22,308,166,238,207,115,218,54,89,136,353,167,355,255,198,46,323
6,281,201,160,157,91,213,47,191,74,135,184,250,372,286,326,116,183,170,234,339
7,313,78,100,221,274,32,347,340,109,77,125,288,333,140,273,341,25,149,111,334
8,391,48,143,289,26,186,283,63,244,9,38,96,81,226,336,300,394,307,235,315
9,61,350,108,271,56,351,51,393,370,311,50,228,219,287,10,204,35,378,147,130
10,291,344,103,124,59,152,345,30,262,332,44,298,225,240,331,387,11,87,155,190
11,181,90,69,212,202,275,389,237,242,390,57,114,216,205,217,53,12,280,309,260
12,40,65,88,49,305,222,197,93,13,358,66,249,352,371,148,194,373,185,268,374
13,214,169,328,118,29,259,195,200,279,6,348,227,193,164,94,316,62,392,68,349
14,375,337,299,162,386,182,43,104,317,154,292,20,211,64,266,55,97,230,383,33
15,16,367,19,208,3,385,98,139,329,153,376,67,342,187,277,254,296,73,206,215
16,177,354,7,364,174,52,146,27,229,17,267,265,363,15,241,247,297,346,343,79
17,163,8,330,258,263,278,223,107,178,248,368,172,37,176,150,224,327,168,314,18
18,99,102,397,196,233,84,388,145,294,142,310,82,72,134,379,256,400,45,119,133
19,253,161,28,112,220,128,60,369,2,380,325,360,171,302,301,312,141,76,121,188
