,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,93,110,221,288,220,138,280,228,398,332,162,50,16,275,217,66,249,349,281,37
1,373,115,375,42,346,244,329,282,352,100,95,313,251,133,161,174,98,57,169,1
2,75,269,132,345,180,44,23,363,101,195,342,48,339,259,63,331,76,319,264,242
3,103,216,29,192,265,72,362,399,191,90,36,368,194,289,124,28,189,385,168,310
4,225,337,320,144,114,378,80,241,159,206,350,67,52,336,200,212,283,123,19,164
5,77,215,219,356,27,333,176,185,86,175,38,182,232,267,397,395,299,286,34,31
6,261,272,292,122,65,245,298,71,129,359,204,229,296,8,170,147,297,354,92,99
7,386,89,91,214,334,247,263,45,203,380,56,328,21,187,262,321,11,227,199,146
8,4,205,209,78,343,293,74,113,383,128,260,153,202,344,355,104,347,73,184,158
9,18,257,294,3,51,326,252,79,155,309,274,324,361,106,81,207,236,59,277,341
10,193,87,303,60,238,121,374,382,85,152,388,307,190,26,157,338,88,94,140,287
11,218,391,253,390,284,171,136,119,312,84,173,12,64,135,318,165,105,141,234,305
12,258,83,211,163,254,396,151,126,117,364,213,381,226,116,233,120,148,222,20,208
13,353,33,183,177,315,134,125,290,314,166,131,39,327,268,32,370,201,118,304,130
14,371,55,178,186,5,196,70,317,351,154,308,107,61,167,198,369,302,316,172,127
15,112,279,243,394,68,17,291,149,7,9,376,387,156,197,224,300,41,10,366,384
16,231,322,22,145,392,256,62,53,54,14,246,137,223,295,389,25,325,372,210,237
17,250,273,109,278,179,58,255,181,335,285,276,24,323,143,46,82,47,230,271,365
18,49,2,311,393,142,239,270,30,235,358,13,306,97,111,377,96,367,240,266,108
19,360,400,15,40,188,102,139,357,43,150,69,248,379,348,6,160,301,35,340,330
