,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,814,549,793,282,465,319,773,58,186,54,653,70,769,26,668,38,698,381,321,326,433,871,629,269,863,254,141,391,742,679
1,126,806,172,436,327,758,618,396,686,144,774,323,166,55,510,362,494,403,623,828,328,602,626,696,35,484,252,173,657,655
2,266,677,493,193,479,425,532,306,267,692,861,519,813,97,734,148,402,238,423,697,53,453,757,209,60,612,693,317,819,280
3,672,246,628,168,56,838,332,190,140,181,563,671,338,407,842,204,700,603,794,885,124,129,622,226,531,717,223,514,877,94
4,702,741,67,132,176,216,797,799,389,722,300,167,546,324,516,37,874,781,639,593,706,555,85,478,714,561,376,116,45,361
5,547,869,417,290,615,401,428,210,883,393,568,590,409,488,586,43,119,211,375,165,59,589,727,685,761,330,617,839,270,31
6,295,285,882,143,643,377,891,554,720,289,214,36,505,878,191,605,610,355,848,344,683,408,275,498,351,29,537,156,64,849
7,809,329,347,244,299,822,343,304,52,571,735,283,728,404,125,763,130,255,446,21,807,832,120,682,179,688,770,583,264,580
8,74,145,899,808,681,511,747,128,578,316,847,271,152,870,160,98,843,497,836,382,90,212,854,438,468,821,121,123,174,371
9,379,538,800,44,678,512,897,73,431,736,243,169,674,564,234,312,509,76,831,360,325,552,337,760,154,188,305,598,785,451
10,432,435,667,490,331,273,419,840,460,288,142,364,263,164,82,588,170,483,858,850,384,569,738,789,535,229,108,890,570,104
11,762,242,215,824,754,315,759,258,159,296,69,257,207,72,192,346,559,614,239,632,105,183,801,729,662,658,792,524,713,577
12,474,732,276,480,277,48,25,766,638,506,471,641,740,817,635,496,350,333,106,466,634,767,91,230,545,684,600,262,115,310
13,837,886,661,680,385,369,49,348,675,30,750,109,427,645,783,777,486,718,292,228,33,601,80,768,744,249,7,99,787,12
14,725,644,5,857,815,149,8,88,581,841,133,548,765,281,18,880,222,889,81,248,426,147,19,462,365,748,477,676,562,855
15,50,302,888,851,233,354,455,297,642,689,666,739,184,388,611,751,87,523,492,607,437,92,34,259,162,820,495,867,501,39
16,651,413,772,687,311,51,4,776,596,652,189,726,544,606,790,101,640,303,71,146,664,745,187,62,301,710,515,198,395,709
17,470,567,217,185,153,373,884,805,180,669,161,529,2,314,322,78,110,778,659,543,213,779,753,194,892,482,879,32,656,636
18,107,157,420,646,236,487,534,517,502,485,756,786,75,804,708,647,340,9,182,77,827,342,553,218,398,421,876,46,472,887
19,621,113,784,135,500,272,865,591,411,853,177,834,17,670,13,16,458,3,625,810,731,22,454,845,518,695,584,287,221,390
20,240,525,40,96,205,86,251,476,359,830,445,663,594,424,400,701,383,597,694,260,520,313,711,856,440,528,399,550,576,353
21,232,461,163,386,900,557,199,896,592,201,852,542,293,864,14,690,513,278,93,582,265,117,463,206,540,397,394,574,893,358
22,235,151,716,859,816,536,705,503,320,788,412,724,811,158,755,862,803,224,23,835,733,27,66,298,197,422,24,441,6,65
23,363,225,530,231,673,802,134,541,624,489,79,556,100,171,595,294,573,572,560,818,648,464,456,118,723,457,558,619,15,527
24,368,469,378,430,28,439,111,526,604,565,829,356,860,719,261,309,895,504,587,57,307,630,898,308,357,522,127,336,102,633
25,139,241,63,665,448,637,237,20,467,279,150,608,791,712,833,746,825,406,443,95,771,245,844,103,475,247,220,872,566,367
26,178,196,387,429,405,521,112,416,579,61,775,473,450,268,318,585,137,507,780,707,703,620,89,335,715,131,491,894,372,881
27,846,631,499,704,138,660,47,795,195,352,84,175,873,749,339,599,334,654,345,447,699,284,370,415,227,11,374,366,551,752
28,721,737,253,691,875,609,616,256,444,202,575,650,219,68,414,812,1,452,41,114,274,539,434,649,122,410,764,823,459,291
29,380,203,83,449,613,798,743,782,155,341,42,136,200,508,866,627,250,868,208,392,533,826,442,730,481,10,796,349,286,418
