,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,807,13,248,833,536,621,832,197,258,280,571,73,173,370,282,663,162,730,456,490,479,846,602,448,659,619,37,586,219,425
1,133,553,623,147,50,240,555,469,108,285,273,723,544,783,104,435,353,665,739,4,837,546,689,834,527,873,328,31,326,738
2,74,529,844,674,318,457,174,243,368,692,477,362,335,168,701,849,770,140,454,414,336,249,407,106,600,331,261,804,696,682
3,671,475,309,755,350,675,169,465,758,11,141,483,196,639,809,542,717,79,493,126,525,827,213,751,105,491,71,539,512,618
4,46,484,325,789,713,26,878,332,30,410,836,268,160,647,217,394,385,260,117,842,582,297,547,778,726,98,306,860,869,293
5,803,206,900,508,811,580,672,364,497,230,302,472,278,375,735,200,880,383,734,750,232,346,165,22,742,252,650,65,3,358
6,236,897,495,657,53,287,815,519,782,5,348,347,856,459,687,136,829,492,256,627,530,573,681,772,16,471,205,286,163,35
7,801,733,380,419,154,481,41,229,349,635,762,452,250,44,467,626,453,676,292,584,864,188,416,892,568,655,485,107,54,458
8,34,857,552,215,729,317,767,242,812,771,59,138,703,486,390,180,543,599,604,395,496,187,673,76,15,877,430,784,251,333
9,283,128,821,649,610,850,214,118,313,316,853,377,311,731,176,691,171,103,769,445,460,572,10,724,381,680,405,262,839,253
10,569,403,38,354,192,24,781,777,210,526,775,822,418,81,222,221,516,656,119,523,411,662,428,818,371,737,124,376,513,848
11,841,851,628,86,48,679,185,605,865,447,617,384,181,246,570,564,97,356,366,19,451,179,334,716,208,707,374,521,592,798
12,606,462,296,6,831,446,310,561,157,427,304,223,578,294,776,244,303,587,439,699,68,158,817,800,828,482,667,51,790,305
13,153,712,402,532,894,315,874,624,759,209,330,700,389,110,871,706,83,137,352,172,498,494,233,695,441,226,404,648,391,161
14,259,534,670,122,710,77,329,615,191,799,741,344,646,589,341,369,847,502,116,175,152,84,537,115,896,382,806,524,620,423
15,406,359,134,80,227,351,245,70,596,254,47,810,814,743,885,805,45,531,611,241,567,443,155,431,819,591,594,632,637,392
16,112,288,151,845,550,100,87,422,177,464,764,563,872,886,360,195,82,889,319,238,320,505,868,506,473,697,702,295,257,528
17,202,186,488,499,560,386,114,321,39,400,255,399,204,94,722,515,566,579,669,688,338,704,651,694,393,796,598,511,291,653
18,189,125,307,507,150,883,139,264,787,813,239,612,14,705,33,120,510,184,429,520,773,613,590,401,421,540,763,565,633,686
19,388,719,1,797,412,343,852,658,622,442,434,21,749,593,518,101,487,231,887,23,413,727,60,194,178,237,870,761,577,220
20,792,732,554,201,300,645,123,876,509,135,774,450,372,597,396,56,131,324,666,652,166,415,514,263,417,379,642,614,64,756
21,276,397,843,93,361,265,595,791,562,438,891,802,478,861,474,148,893,455,322,218,862,470,289,301,85,17,693,357,203,75
22,746,823,747,25,28,224,899,616,858,167,398,225,607,327,279,29,684,863,468,678,58,558,824,7,476,367,601,129,660,144
23,867,866,52,378,463,342,625,557,156,337,757,461,281,62,661,895,235,879,340,339,274,199,748,575,109,182,718,825,190,142
24,271,91,55,709,193,898,247,88,72,795,67,752,548,745,40,854,786,549,875,640,638,426,170,12,183,61,432,788,794,736
25,765,127,581,721,766,881,90,890,760,559,20,551,585,18,517,859,728,8,2,545,740,603,234,641,449,538,32,146,102,57
26,636,269,884,9,634,355,207,541,503,708,882,143,424,654,145,99,630,440,298,576,149,830,272,290,365,668,779,631,266,228
27,420,95,387,436,785,299,164,711,888,683,198,270,835,522,69,720,489,444,466,284,42,408,753,121,715,63,111,501,820,816
28,629,535,212,826,504,754,855,36,96,744,308,480,277,608,793,609,113,130,132,840,556,43,312,373,664,409,216,49,838,574
29,500,66,588,643,583,714,677,314,433,533,92,808,437,78,275,690,27,644,725,768,698,363,323,159,685,89,211,267,345,780
