,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,570,398,133,383,147,881,181,719,138,836,32,845,737,608,413,650,275,721,446,114,112,646,71,183,101,572,889,748,506,460
1,55,640,191,813,804,516,706,65,421,562,705,781,362,523,882,361,769,146,18,561,766,14,496,688,60,47,49,318,494,702
2,734,566,404,663,312,839,443,899,304,249,598,436,140,132,695,543,46,739,729,333,107,35,509,339,507,415,217,790,416,376
3,74,575,73,513,792,135,471,162,825,685,595,278,364,153,97,167,264,665,69,611,759,859,823,765,91,477,852,544,694,83
4,359,546,478,472,687,348,409,777,207,537,205,366,620,386,68,322,895,651,893,403,206,419,779,558,289,321,100,486,680,48
5,652,356,104,212,455,379,340,787,563,295,869,297,867,276,632,789,307,733,844,247,331,323,190,320,511,21,735,656,6,418
6,462,134,63,498,746,778,473,559,145,469,776,260,25,850,178,697,876,237,427,451,16,894,233,54,252,629,793,173,627,740
7,148,94,743,522,428,677,285,351,11,829,87,327,505,3,658,130,801,666,814,270,456,5,579,684,649,866,842,580,482,23
8,277,846,9,858,888,675,709,319,410,817,703,151,414,644,111,349,679,85,528,454,458,118,430,796,62,176,747,103,232,467
9,34,24,664,172,332,631,583,457,377,668,231,80,676,171,643,429,193,224,898,853,10,809,887,669,605,401,274,865,194,461
10,432,551,659,431,244,293,481,180,628,105,531,532,485,116,582,470,125,378,555,884,491,782,855,294,216,442,614,8,591,560
11,751,831,805,96,495,90,242,603,880,141,158,713,360,768,422,716,715,2,350,500,828,26,189,529,689,542,182,641,120,131
12,210,745,857,590,243,268,394,711,798,601,316,578,815,113,712,444,253,37,218,623,767,602,736,730,13,236,329,239,12,325
13,827,837,184,372,671,840,235,50,540,393,696,296,878,222,157,241,61,568,30,373,525,633,624,309,783,616,169,738,483,164
14,674,44,464,143,29,877,229,215,838,395,257,310,102,219,536,168,287,728,626,420,701,732,433,195,812,637,354,439,891,760
15,871,402,306,726,300,129,463,417,201,59,615,806,259,800,313,117,681,524,795,43,835,124,286,533,756,79,762,780,45,488
16,328,636,686,225,822,240,690,480,672,137,720,56,155,254,508,484,384,723,288,892,753,185,343,52,518,284,324,585,369,722
17,283,539,119,188,725,317,230,510,385,519,78,280,667,820,772,727,512,764,426,221,17,870,412,27,754,475,355,290,875,358
18,42,757,900,526,67,699,515,818,267,308,786,670,833,587,380,698,344,213,22,76,245,534,335,115,657,571,714,159,607,70
19,53,382,258,434,810,197,530,299,873,423,223,407,541,574,717,128,397,363,653,142,547,548,392,744,635,165,594,896,152,438
20,160,196,700,848,346,341,499,64,166,642,861,567,466,645,794,708,678,843,227,718,445,437,66,447,391,58,228,192,741,41
21,489,88,40,854,599,122,92,448,573,606,497,610,150,897,77,830,406,121,19,758,824,255,1,775,819,851,279,269,474,692
22,799,305,791,655,621,468,625,707,93,200,220,662,648,72,315,390,613,581,639,371,82,154,203,441,773,553,399,126,387,622
23,872,109,336,704,808,7,770,527,597,425,788,291,452,797,214,357,84,211,374,352,123,334,554,752,57,535,435,256,609,785
24,841,826,874,302,28,39,596,521,106,375,186,552,36,202,479,724,879,149,802,502,156,198,199,108,353,673,660,816,549,784
25,619,303,890,110,75,538,250,298,774,389,179,127,576,368,763,89,550,742,647,338,771,654,208,226,139,396,749,370,885,492
26,683,588,265,20,98,886,617,292,301,408,710,504,136,883,238,868,163,545,174,862,330,564,365,490,161,440,15,411,807,691
27,803,4,731,282,144,170,261,381,520,750,593,618,388,347,248,81,476,487,86,811,761,860,834,503,821,569,187,493,33,273
28,314,604,584,326,565,863,682,449,557,175,38,864,592,424,311,337,246,638,453,281,400,271,634,342,832,612,263,177,95,586
29,99,589,204,577,234,272,514,450,345,517,262,251,266,661,600,501,556,31,465,51,693,630,849,847,209,856,405,367,459,755
